hanzi,unicode_codepoint,gif_filename
抓,25235,25235.gif
投,25237,25237.gif
抖,25238,25238.gif
抗,25239,25239.gif
折,25240,25240.gif
抚,25242,25242.gif
抛,25243,25243.gif
抠,25248,25248.gif
抡,25249,25249.gif
抢,25250,25250.gif
护,25252,25252.gif
报,25253,25253.gif
抨,25256,25256.gif
披,25259,25259.gif
抬,25260,25260.gif
抱,25265,25265.gif
抵,25269,25269.gif
抹,25273,25273.gif
抻,25275,25275.gif
押,25276,25276.gif
抽,25277,25277.gif
抿,25279,25279.gif
拂,25282,25282.gif
拄,25284,25284.gif
担,25285,25285.gif
拆,25286,25286.gif
拇,25287,25287.gif
拈,25288,25288.gif
拉,25289,25289.gif
拌,25292,25292.gif
拍,25293,25293.gif
拎,25294,25294.gif
拐,25296,25296.gif
拒,25298,25298.gif
拓,25299,25299.gif
拔,25300,25300.gif
拖,25302,25302.gif
拗,25303,25303.gif
拘,25304,25304.gif
拙,25305,25305.gif
招,25307,25307.gif
拜,25308,25308.gif
拟,25311,25311.gif
拢,25314,25314.gif
拣,25315,25315.gif
拥,25317,25317.gif
拦,25318,25318.gif
拧,25319,25319.gif
拨,25320,25320.gif
择,25321,25321.gif
括,25324,25324.gif
拭,25325,25325.gif
拯,25327,25327.gif
拱,25329,25329.gif
拳,25331,25331.gif
拴,25332,25332.gif
拷,25335,25335.gif
拼,25340,25340.gif
拽,25341,25341.gif
拾,25342,25342.gif
拿,25343,25343.gif
持,25345,25345.gif
挂,25346,25346.gif
指,25351,25351.gif
挈,25352,25352.gif
按,25353,25353.gif
挎,25358,25358.gif
挑,25361,25361.gif
挖,25366,25366.gif
挚,25370,25370.gif
挛,25371,25371.gif
挞,25374,25374.gif
挟,25375,25375.gif
挠,25376,25376.gif
挡,25377,25377.gif
挣,25379,25379.gif
挤,25380,25380.gif
挥,25381,25381.gif
挨,25384,25384.gif
挪,25386,25386.gif
挫,25387,25387.gif
振,25391,25391.gif
挲,25394,25394.gif
挺,25402,25402.gif
挽,25405,25405.gif
捂,25410,25410.gif
捅,25413,25413.gif
捆,25414,25414.gif
捉,25417,25417.gif
捋,25419,25419.gif
捌,25420,25420.gif
捍,25421,25421.gif
捎,25422,25422.gif
捏,25423,25423.gif
捐,25424,25424.gif
捕,25429,25429.gif
捞,25438,25438.gif
损,25439,25439.gif
捡,25441,25441.gif
换,25442,25442.gif
捣,25443,25443.gif
捧,25447,25447.gif
捭,25453,25453.gif
据,25454,25454.gif
捯,25455,25455.gif
捶,25462,25462.gif
捷,25463,25463.gif
捺,25466,25466.gif
捻,25467,25467.gif
掀,25472,25472.gif
掂,25474,25474.gif
掇,25479,25479.gif
授,25480,25480.gif
掉,25481,25481.gif
掌,25484,25484.gif
掏,25487,25487.gif
掐,25488,25488.gif
排,25490,25490.gif
掖,25494,25494.gif
掘,25496,25496.gif
掠,25504,25504.gif
探,25506,25506.gif
掣,25507,25507.gif
接,25509,25509.gif
控,25511,25511.gif
推,25512,25512.gif
掩,25513,25513.gif
措,25514,25514.gif
掬,25516,25516.gif
掮,25518,25518.gif
掰,25520,25520.gif
掳,25523,25523.gif
掴,25524,25524.gif
掷,25527,25527.gif
掸,25528,25528.gif
掺,25530,25530.gif
掼,25532,25532.gif
揉,25545,25545.gif
揍,25549,25549.gif
描,25551,25551.gif
提,25552,25552.gif
插,25554,25554.gif
揖,25558,25558.gif
揠,25568,25568.gif
握,25569,25569.gif
揣,25571,25571.gif
揩,25577,25577.gif
揪,25578,25578.gif
揭,25581,25581.gif
援,25588,25588.gif
揽,25597,25597.gif
搀,25600,25600.gif
搁,25601,25601.gif
搂,25602,25602.gif
搅,25605,25605.gif
搌,25612,25612.gif
搏,25615,25615.gif
搐,25616,25616.gif
搓,25619,25619.gif
搔,25620,25620.gif
搜,25628,25628.gif
搞,25630,25630.gif
搡,25633,25633.gif
搪,25642,25642.gif
搬,25644,25644.gif
搭,25645,25645.gif
携,25658,25658.gif
搽,25661,25661.gif
摁,25665,25665.gif
摄,25668,25668.gif
摆,25670,25670.gif
摇,25671,25671.gif
摈,25672,25672.gif
摊,25674,25674.gif
摒,25682,25682.gif
摔,25684,25684.gif
摘,25688,25688.gif
摞,25694,25694.gif
摧,25703,25703.gif
摩,25705,25705.gif
摸,25720,25720.gif
摹,25721,25721.gif
摽,25725,25725.gif
撂,25730,25730.gif
撅,25733,25733.gif
撇,25735,25735.gif
