rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,new_sn
35950,1,海市蜃楼,hǎishì-shènlóu,,,,光线因不同密度空气层的折射，把远处景物显示在空中或地面的奇异幻景。多发生在夏天沿海一带或沙漠中，发生时可见极远处隐约有山峦、城池、亭台楼阁等，不久就全部消失。古人以为由蜃（大蛤蜊）吐气而成,,2
35974,2,全票,quánpiào,,,名,选举中的全部选票,他以全票当选,1
35974,1,全票,quánpiào,,,名,定价不打折扣的车票、门票等,小孩身高超过1.20米，应购买全票。,2
35976,1,揉搓,róucuo,,,动,用手摁着反复摩擦（物品）,洗丝绸衣服不要用力揉搓。,1
35976,2,揉搓,róucuo,,,动,〈口〉折磨；烦扰,我已够烦的了，你就别再揉搓我了。,2
35985,1,留驻,liúzhù,,,动,留下并驻扎下来,维和部队继续留驻。,1
35985,2,留驻,liúzhù,,,动,【留存】一直存在,留驻青春容光,2
35993,1,泥坑,níkēng,,,名,烂泥淤积的低洼处,,1
35993,2,泥坑,níkēng,,,名,比喻难以自拔的肮脏境地,被这帮坏人拉进了泥坑。,2
36001,2,飘零,piāolíng,,,动,漂泊；流落,飘零在外，无依无靠。,1
36001,1,飘零,piāolíng,,,动,飘落；凋零,残叶随风飘零,2
36003,2,圆场,yuánchǎng,,,动,为打破僵局或调解纠纷而从中解说或提出折中办法,他俩吵翻了，我去给圆场。,1
36003,1,圆场,yuánchǎng,,,名,戏曲动作程式，为了表现舞台空间的转换，剧中人在舞台上按规定环行路线绕行,跑圆场,2
36004,2,实数,shíshù,,,名,数学上对有理数和无理数的统称,,1
36004,1,实数,shíshù,,,名,真实的数字,到底卖什么价，你说个实数。,2
36007,1,拿人,nárén,,,动,捉人,刑警队已去拿人,1
36007,2,拿人,nárén,,,动,故意要挟别人或使人为难,甭拿人，你不上，这出戏照样演。,2
36007,3,拿人,nárén,,,动,指吸引人,他表演的小品真拿人。,3
36038,2,海量,hǎiliàng,,,名,很大的酒量,他真是海量，喝一瓶白酒都不醉。,1
36038,1,海量,hǎiliàng,,,名,敬词，大海一样宽宏的度量,您海量，请多包涵。,2
36041,2,穷追不舍,qióngzhuī-bùshě,,,,紧紧追问，毫不放松,记者们连连发问，穷追不舍。,1
36041,1,穷追不舍,qióngzhuī-bùshě,,,,追赶到底，决不放过,对残敌穷追不舍,2
36064,2,开斋,kāizhāi,,,动,伊斯兰教教徒结束封斋,,1
36064,1,开斋,kāizhāi,,,动,因斋戒而吃素的人解除斋戒，恢复吃荤,,2
36073,1,封冻,fēngdòng,,,动,（江河湖泊等）水面完全结冰,,1
36073,2,封冻,fēngdòng,,,动,土地冻结,,2
36100,2,鬼混,guǐhùn,,,动,跟品行不好的人混杂在一起，过不正当的生活；特指男女厮混在一起,不要同那些不三不四的人在一起鬼混。,1
36100,1,鬼混,guǐhùn,,,动,糊里糊涂、无所事事地混日子,,2
36104,2,潇潇,xiāoxiāo,,,形,形容小雨飘洒,春雨潇潇,1
36104,1,潇潇,xiāoxiāo,,,形,形容风急雨骤,,2
36122,1,切口,qièkǒu,,,名,指旧时某些行业或秘密会党中用的暗语,,1
36122,2,切口,qiēkǒu,,,名,书页裁切的边,切口不齐,2
36122,4,切口,qiēkǒu,,,名,外科手术指用刀切开的口子,,3
36122,3,切口,qiēkǒu,,,名,图书从版心到裁切处所留的空白,上下切口各留2.5厘米。,4
36126,2,同族,tóngzú,,,名,同族的人,率同族南迁,1
36126,1,同族,tóngzú,,,动,同属一个民族或宗族,我和他同族,2
36127,1,母系,mǔxì,,,形,属于母亲一方血统的（跟“父系”相区别）,舅舅是母系亲属,1
36127,2,母系,mǔxì,,,形,属于母女相承袭系统的,母系社会,2
