id,topic,hanzi,frequency_rank
253,HSK2,姓,1260
254,HSK2,妻子,1286
255,HSK2,丈夫,1530
256,HSK2,晴,1621
257,HSK2,房间,1804
258,HSK2,踢,1825
259,HSK2,休息,1854
260,HSK2,考试,2023
261,HSK2,旁边,2138
262,HSK2,快乐,2337
263,HSK2,游泳,2367
264,HSK2,自行车,2542
265,HSK2,颜色,2850
266,HSK2,手机,2891
267,HSK2,哥哥,3262
268,HSK2,早上,3327
269,HSK2,上班,3475
270,HSK2,便宜,3530
271,HSK2,姐姐,3543
272,HSK2,弟弟,3595
273,HSK2,妹妹,3891
274,HSK2,生日,3945
275,HSK2,咖啡,3951
276,HSK2,公共汽车,5530
277,HSK2,教室,6002
278,HSK2,牛奶,6819
279,HSK2,跳舞,6867
280,HSK2,唱歌,6992
281,HSK2,生病,7198
282,HSK2,手表,7211
283,HSK2,服务员,7560
284,HSK2,起床,7637
285,HSK2,西瓜,8842
286,HSK2,左边,8988
287,HSK2,右边,9084
288,HSK2,跑步,14521
289,HSK3,国家,5
290,HSK3,自己,16
291,HSK3,世界,19
292,HSK3,地,30
293,HSK3,重要,36
294,HSK3,认为,37
295,HSK3,表示,44
296,HSK3,关系,53
297,HSK3,主要,57
298,HSK3,要求,66
299,HSK3,用,67
300,HSK3,举行,69
301,HSK3,会议,71
302,HSK3,如果,77
303,HSK3,文化,79
304,HSK3,把,90
305,HSK3,提高,90
306,HSK3,参加,91
307,HSK3,历史,92
308,HSK3,分,94
309,HSK3,需要,102
310,HSK3,地方,110
311,HSK3,只,113
312,HSK3,还是,113
313,HSK3,种,116
314,HSK3,必须,116
315,HSK3,关,117
316,HSK3,为了,117
317,HSK3,影响,118
318,HSK3,发现,119
319,HSK3,出现,122
320,HSK3,决定,123
321,HSK3,而且,124
322,HSK3,解决,128
323,HSK3,被,133
324,HSK3,特别,136
325,HSK3,又,140
326,HSK3,一定,141
327,HSK3,其他,143
328,HSK3,城市,145
329,HSK3,根据,148
330,HSK3,作用,152
331,HSK3,环境,154
332,HSK3,比赛,155
333,HSK3,老,160
334,HSK3,水平,165
335,HSK3,西,170
336,HSK3,努力,178
337,HSK3,过去,183
338,HSK3,教,187
339,HSK3,位,190
340,HSK3,一样,191
341,HSK3,先,196
342,HSK3,使,197
343,HSK3,了解,199
344,HSK3,虽然,210
345,HSK3,东,212
346,HSK3,信,215
347,HSK3,一直,217
348,HSK3,应该,221
349,HSK3,万,227
350,HSK3,经过,227
351,HSK3,关于,229
352,HSK3,更,232
353,HSK3,放,235
354,HSK3,新闻,236
355,HSK3,才,237
356,HSK3,口,266
357,HSK3,接,267
358,HSK3,像,269
359,HSK3,啊,270
360,HSK3,完成,275
361,HSK3,以后,281
362,HSK3,银行,289
363,HSK3,结束,290
364,HSK3,带,294
365,HSK3,条,297
366,HSK3,马,304
367,HSK3,难,307
368,HSK3,体育,329
369,HSK3,一般,332
370,HSK3,南,333
371,HSK3,比较,334
372,HSK3,或者,351
373,HSK3,跟,355
374,HSK3,办法,369
375,HSK3,当然,381
376,HSK3,变化,390
377,HSK3,花,402
378,HSK3,然后,425
379,HSK3,拿,445
380,HSK3,最近,447
381,HSK3,机会,456
382,HSK3,注意,465
383,HSK3,极,466
384,HSK3,选择,466
385,HSK3,为什么,474
