rank,hanzi,pinyin,raw_html
1734,玻,bō,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>玻</x-hw><x-pr> bō</x-pr>
<dt>见下。<a href=""entry://玻璃"">玻璃</a><x-f>，</x-f><a href=""entry://玻璃布"">玻璃布</a><x-f>，</x-f><a href=""entry://玻璃钢"">玻璃钢</a><x-f>，</x-f><a href=""entry://玻璃幕墙"">玻璃幕墙</a><x-f>，</x-f><a href=""entry://玻璃丝"">玻璃丝</a><x-f>，</x-f><a href=""entry://玻璃体"">玻璃体</a><x-f>，</x-f><a href=""entry://玻璃纤维"">玻璃纤维</a><x-f>，</x-f><a href=""entry://玻璃小鞋"">玻璃小鞋</a><x-f>，</x-f><a href=""entry://玻璃纸"">玻璃纸</a><x-f>，</x-f><a href=""entry://玻璃砖"">玻璃砖</a><x-f>。</x-f>
"
1767,傅,fù,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script>傅 1 <x-pr> fù</x-pr>
<dt><x-sn>①</x-sn><x-gram>动</x-gram>〈文〉教导<x-f>。</x-f></dt><dd><x-ex><x-key>傅</x-key>之以德</x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>名</x-g>传授技艺的人<x-f>。</x-f></dt><dd><x-ex>师<x-key>傅</x-key></x-ex></dd>
<dt><x-sn>③</x-sn><sbl2>○</sbl2><x-g>名</x-g>姓<x-f>。</x-f></dt></dt><hr><dt class='title'>傅 2 <x-pr> fù</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>动</x-gram>依附；附着<x-f>。</x-f></dt><dd><x-ex>皮之不存，毛将安<x-key>傅</x-key>?</x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>动</x-g>涂抹；使附着<x-f>。</x-f></dt><dd><x-ex><x-key>傅</x-key>粉</x-ex></dd><t-note><x-lb>用法说明</x-lb>“傅”字不能简化成“付”<x-f>。</x-f></t-note>
"
1849,桃,táo,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>桃</x-hw><x-pr> táo</x-pr>
<dt><x-sn>①</x-sn><x-gram>名</x-gram>桃树，落叶小乔木，叶子长椭圆形，开白色或红色花。花色艳丽，可供观赏。果实叫桃<x-er>儿</x-er>或桃子，近球形或扁球形，多数表面有茸毛，肉厚汁多，味甜，是常见水果。核仁可以做药材<x-f>。</x-f>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>名</x-g>核桃<x-f>。</x-f></dt><dd><x-ex><x-key>桃</x-key>酥</x-ex></dd>
<dt><x-sn>③</x-sn><sbl>→</sbl><x-g>名</x-g>形状像桃的东西<x-f>。</x-f></dt><dd><x-ex>棉<x-key>桃</x-key></x-ex></dd>
<dt><x-sn>④</x-sn><sbl2>○</sbl2><x-g>名</x-g>姓<x-f>。</x-f></dt>
"
1907,垃,lā,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>垃</x-hw><x-pr> lā</x-pr>
<dt>见下。<a href=""entry://垃圾"">垃圾</a><x-f>，</x-f><a href=""entry://垃圾电站"">垃圾电站</a><x-f>，</x-f><a href=""entry://垃圾股"">垃圾股</a><x-f>，</x-f><a href=""entry://垃圾新闻"">垃圾新闻</a><x-f>，</x-f><a href=""entry://垃圾邮件"">垃圾邮件</a><x-f>，</x-f><a href=""entry://垃圾债券"">垃圾债券</a><x-f>。</x-f><br><t-note><x-lb>用法说明</x-lb>统读 lā，不读 lè<x-f>。</x-f></t-note>
"
1928,荐,jiàn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script>荐 1 <x-pr> jiàn</x-pr>（薦）
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>名</x-gram>草席；草垫子<x-f>。</x-f></dt><dd><x-ex>草<x-key>荐</x-key></x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>名</x-g>野兽、牲口吃的草<x-f>。</x-f></dt><dd><x-ex>麋鹿食<x-key>荐</x-key></x-ex></dd></dt><hr><dt class='title'>荐 2 <x-pr> jiàn</x-pr>（薦）
<dt><x-gram>动</x-gram>推举；介绍<x-f>。</x-f></dt><dd><x-ex>推<x-key>荐</x-key></x-ex><x-ex><x-lb> | </x-lb><x-key>荐</x-key>举</x-ex><x-ex><x-lb> | </x-lb><x-key>荐</x-key>引</x-ex></dd>
"
1936,庞,páng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script>庞 1 <x-pr> páng</x-pr>（龐）
<dt><x-sn>①</x-sn><x-gram>形</x-gram>庞大<x-f>。</x-f></dt><dd><x-ex><x-key>庞</x-key>然大物</x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>形</x-g>多而杂<x-f>。</x-f></dt><dd><x-ex><x-key>庞</x-key>杂</x-ex></dd>
<dt><x-sn>③</x-sn><sbl2>○</sbl2><x-g>名</x-g>姓<x-f>。</x-f></dt></dt><hr><dt class='title'>庞 2 <x-pr> páng</x-pr>（龐）
<dt><x-gram>名</x-gram>脸盘<x-er>儿</x-er><x-f>。</x-f><dd><x-ex>面<x-key>庞</x-key></x-ex></dd>
"
2033,葡,pú,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>葡</x-hw><x-pr> pú</x-pr>
<dt>见下。<a href=""entry://葡萄"">葡萄</a><x-f>，</x-f><a href=""entry://葡萄干"">葡萄干</a><x-f>，</x-f><a href=""entry://葡萄灰"">葡萄灰</a><x-f>，</x-f><a href=""entry://葡萄酒"">葡萄酒</a><x-f>，</x-f><a href=""entry://葡萄球菌"">葡萄球菌</a><x-f>，</x-f><a href=""entry://葡萄胎"">葡萄胎</a><x-f>，</x-f><a href=""entry://葡萄糖"">葡萄糖</a><x-f>，</x-f><a href=""entry://葡萄紫"">葡萄紫</a><x-f>。</x-f>
"
2044,抑,yì,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script>抑 1 <x-pr> yì</x-pr>
<dt><x-sn>①</x-sn><x-gram>动</x-gram>往下压；压制<x-f>。</x-f></dt><dd><x-ex>贬<x-key>抑</x-key></x-ex><x-ex><x-lb> | </x-lb><x-key>抑</x-key>恶扬善</x-ex><x-ex><x-lb> | </x-lb><x-key>抑</x-key>制</x-ex><x-ex><x-lb> | </x-lb>压<x-key>抑</x-key></x-ex><x-ex><x-lb> | </x-lb>平<x-key>抑</x-key></x-ex></dd>
<dt><x-sn>②</x-sn><sbl2>○</sbl2><x-g>名</x-g>姓<x-f>。</x-f></dt></dt><hr><dt class='title'>抑 2 <x-pr> yì</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>连</x-gram>连接分句，表示选择关系，相当于“还是”<x-f>。</x-f></dt><dd><x-ex>黄帝者，人邪，<x-key>抑</x-key>非人邪?</x-ex></dd>
<dt><x-sn>②</x-sn><sbl2>○</sbl2>连连接分句，表示转折关系，相当于“可是”<x-f>。</x-f></dt><dd><x-ex>吾不忘也，<x-key>抑</x-key>未有以致罪焉<x-f>。</x-f></x-ex></dd>
"
2077,豫,yù,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script>豫 1 <x-pr> yù</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>形</x-gram>安乐；安逸<x-f>。</x-f></dt><dd><x-ex>忧劳可以兴国，逸<x-key>豫</x-key>可以亡身<x-f>。</x-f></x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>形</x-g>欢快；高兴<x-f>。</x-f></dt><dd><x-ex>面有不<x-key>豫</x-key>之色</x-ex></dd></dt><hr><dt class='title'>豫 2 <x-pr> yù</x-pr>
<dt><x-gram>名</x-gram>河南的别称<x-f>。</x-f></dt><dd><x-ex><x-key>豫</x-key>剧</x-ex></dd><t-note><x-lb>用法说明</x-lb>“豫”字左边是“予”，不是“矛”<x-f>。</x-f></t-note>
"
2114,柴,chái,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script>柴 1 <x-pr> chái</x-pr>
<dt><x-sn>①</x-sn><x-gram>名</x-gram>柴火<x-f>。</x-f></dt><dd><x-ex>上山打<x-key>柴</x-key></x-ex><x-ex><x-lb> | </x-lb><x-key>柴</x-key>米油盐</x-ex><x-ex><x-lb> | </x-lb><x-key>柴</x-key>草</x-ex><x-ex><x-lb> | </x-lb>木<x-key>柴</x-key></x-ex></dd>
<dt><x-sn>②</x-sn><sbl2>○</sbl2><x-g>名</x-g>姓<x-f>。</x-f></dt></dt><hr><dt class='title'>柴 2 <x-pr> chái</x-pr>
<dt>〈口〉
<dt><x-sn>①</x-sn><x-gram>形</x-gram>又干又瘦<x-f>。</x-f></dt><dd><x-ex>老人病得很重，人都变<x-key>柴</x-key>了<x-f>。</x-f></x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>形</x-g>（食物）纤维粗而多，嚼不烂<x-f>。</x-f></dt><dd><x-ex>肉<x-key>柴</x-key>了不好吃</x-ex></dd>
<dt><x-sn>③</x-sn><sbl2>○</sbl2><x-g>形</x-g>质量、能力等低下<x-f>。</x-f></dt><dd><x-ex>这筐西瓜怎么那么<x-key>柴</x-key>，不是生的，就是烂的<x-f>。</x-f></x-ex></dd>
"
2237,辟,bì,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script>辟 1 <x-pr> bì</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>名</x-gram>天子；国君<x-f>。</x-f></dt><dd><x-ex>复<x-key>辟</x-key></x-ex></dd>
<dt><x-sn>②</x-sn><sbl2>○</sbl2><x-g>动</x-g>征召；特指官府征聘荐举并授予官职<x-f>。</x-f></dt><dd><x-ex>征<x-key>辟</x-key></x-ex></dd></dt><hr><dt class='title'>辟 1 <x-pr> pì</x-pr>（闢）
<dt><x-sn>①</x-sn><x-gram>动</x-gram>开拓；开发<x-f>。</x-f></dt><dd><x-ex><x-key>辟</x-key>地垦荒</x-ex><x-ex><x-lb> | </x-lb>另<x-key>辟</x-key>蹊径</x-ex><x-ex><x-lb> | </x-lb>开<x-key>辟</x-key></x-ex></dd>
<dt><x-sn>②</x-sn><sbl2>○</sbl2><x-g>形</x-g>透彻<x-f>。</x-f></dt><dd><x-ex>精<x-key>辟</x-key></x-ex><x-ex><x-lb> | </x-lb>透<x-key>辟</x-key></x-ex></dd>
<dt><x-sn>③</x-sn><sbl2>○</sbl2><x-g>动</x-g>批驳；驳斥<x-f>。</x-f></dt><dd><x-ex><x-key>辟</x-key>谬</x-ex><x-ex><x-lb> | </x-lb><x-key>辟</x-key>谣</x-ex></dd></dt><hr><dt class='title'>辟 2 <x-pr> bì</x-pr>
<dt>〈文〉<x-gram>动</x-gram>排除；避免<x-f>。</x-f></dt><dd><x-ex><x-key>辟</x-key>邪</x-ex></dd>
<dt><x-ref>另见</x-ref><a href=""entry://辟"" type=""seealso"">pì</a><x-f>。</x-f></dt><hr><dt class='title'>辟 2 <x-pr> pì</x-pr>
<dt>〈文〉<x-gram>名</x-gram>法律；刑法<x-f>。</x-f></dt><dd><x-ex>大<x-key>辟</x-key></x-ex></dd><t-note><x-lb>用法说明</x-lb>“辟”字读 bì，指君主以及跟君主有关的行为，如“复辟” “征辟”；又指排除，避免，如“辟谷” “辟邪”<x-f>。</x-f></t-note><x-ref>另见</x-ref><a href=""entry://辟"" type=""seealso"">bì</a><x-f>。</x-f>
"
2338,苹,píng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>苹</x-hw><x-pr> píng</x-pr>（蘋）
<dt>见下。<a href=""entry://苹果"">苹果</a><x-f>，</x-f><a href=""entry://苹果绿"">苹果绿</a><x-f>。</x-f><br><t-note><x-lb>用法说明</x-lb>“苹”是“萍”的本字，又用作“蘋（píng）”的简化字<x-f>。</x-f></t-note>另见 pín“𬞟”<x-f>。</x-f>
"
2352,迄,qì,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>迄</x-hw><x-pr> qì</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>动</x-gram>到；至<x-f>。</x-f></dt><dd><x-ex>自古<x-key>迄</x-key>今</x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>副</x-g>表示从某一时间开始直到现在，相当于“一直”<x-f>。</x-f></dt><dd><x-ex><x-key>迄</x-key>无音信</x-ex></dd><t-note><x-lb>用法说明</x-lb>不读 qǐ<x-f>。</x-f></t-note>
"
2402,咪,mī,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>咪</x-hw><x-pr> mī</x-pr>
<dt>见下。<a href=""entry://咪表"">咪表</a><x-f>，</x-f><a href=""entry://咪咪"">咪咪</a><x-f>。</x-f>
"
2531,彬,bīn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>彬</x-hw><x-pr> bīn</x-pr>
<dt>见下。<a href=""entry://彬彬"">彬彬</a><x-f>，</x-f><a href=""entry://彬彬有礼"">彬彬有礼</a><x-f>。</x-f>
"
2568,芙,fú,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>芙</x-hw><x-pr> fú</x-pr>
<dt>见下。<a href=""entry://芙蕖"">芙蕖</a><x-f>，</x-f><a href=""entry://芙蓉"">芙蓉</a><x-f>。</x-f>
"
2708,磊,lěi,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>磊</x-hw><x-pr> lěi</x-pr>
<dt>见下。<a href=""entry://磊磊"">磊磊</a><x-f>，</x-f><a href=""entry://磊落"">磊落</a><x-f>。</x-f>
"
2763,阀,fá,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script>阀 1 <x-pr> fá</x-pr>（閥）
<dt><x-sn>①</x-sn><x-gram>名</x-gram>指封建时代有功勋的世家及在社会上有地位的名门望族、官宦人家<x-f>。</x-f></dt><dd><x-ex>门<x-key>阀</x-key></x-ex><x-ex><x-lb> | </x-lb>名<x-key>阀</x-key></x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>名</x-g>在某方面具有垄断和支配势力的人物或集团<x-f>。</x-f></dt><dd><x-ex>财<x-key>阀</x-key></x-ex><x-ex><x-lb> | </x-lb>军<x-key>阀</x-key></x-ex><x-ex><x-lb> | </x-lb>学<x-key>阀</x-key></x-ex></dd></dt><hr><dt class='title'>阀 2 <x-pr> fá</x-pr>（閥）
<dt><x-gram>名</x-gram><x-etym>英语 valve 音译<x-f>。</x-f></x-etym>管道或机器中起调节、控制作用的装置<x-f>。</x-f></dt><x-dd>▷</x-dd><x-ex>水<x-key>阀</x-key></x-ex><x-ex><x-lb> | </x-lb>气<x-key>阀</x-key></x-ex><x-ex><x-lb> | </x-lb>安全<x-key>阀</x-key>。通称活门<x-f>。</x-f></x-ex>（也说阀门<x-f>。</x-f>）<t-note><x-lb>用法说明</x-lb>“阀”字统读 fá，不读 fā 或 fà<x-f>。</x-f></t-note>
"
2814,桔,jié,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>桔</x-hw><x-pr> jié</x-pr>
<dt>见下。<a href=""entry://桔槔"">桔槔</a><x-f>，</x-f><a href=""entry://桔梗"">桔梗</a><x-f>。</x-f><br><t-note><x-lb>用法说明</x-lb>不是“橘”的简化字<x-f>。</x-f></t-note>
"
2866,慷,kāng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>慷</x-hw><x-pr> kāng</x-pr>
<dt>见下。<a href=""entry://慷慨"">慷慨</a><x-f>，</x-f><a href=""entry://慷慨陈词"">慷慨陈词</a><x-f>，</x-f><a href=""entry://慷慨激昂"">慷慨激昂</a><x-f>，</x-f><a href=""entry://慷慨解囊"">慷慨解囊</a><x-f>，</x-f><a href=""entry://慷他人之慨"">慷他人之慨</a><x-f>。</x-f><br><t-note><x-lb>用法说明</x-lb>统读 kāng，不读 kǎng<x-f>。</x-f></t-note>
"
2875,蝴,hú,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>蝴</x-hw><x-pr> hú</x-pr>
<dt>见下。<a href=""entry://蝴蝶"">蝴蝶</a><x-f>，</x-f><a href=""entry://蝴蝶斑"">蝴蝶斑</a><x-f>，</x-f><a href=""entry://蝴蝶花"">蝴蝶花</a><x-f>，</x-f><a href=""entry://蝴蝶结"">蝴蝶结</a><x-f>，</x-f><a href=""entry://蝴蝶装"">蝴蝶装</a><x-f>。</x-f><br><t-note><x-lb>用法说明</x-lb>统读 hú，不读 hù<x-f>。</x-f></t-note>
"
2911,菩,pú,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>菩</x-hw><x-pr> pú</x-pr>
<dt>见下。<a href=""entry://菩萨"">菩萨</a><x-f>，</x-f><a href=""entry://菩提"">菩提</a><x-f>，</x-f><a href=""entry://菩提树"">菩提树</a><x-f>。</x-f>
"
2912,橄,gǎn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>橄</x-hw><x-pr> gǎn</x-pr>
<dt>见下。<a href=""entry://橄榄"">橄榄</a><x-f>，</x-f><a href=""entry://橄榄绿"">橄榄绿</a><x-f>，</x-f><a href=""entry://橄榄帽"">橄榄帽</a><x-f>，</x-f><a href=""entry://橄榄球"">橄榄球</a><x-f>，</x-f><a href=""entry://橄榄色"">橄榄色</a><x-f>，</x-f><a href=""entry://橄榄油"">橄榄油</a><x-f>，</x-f><a href=""entry://橄榄枝"">橄榄枝</a><x-f>。</x-f>
"
3023,黯,àn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>黯</x-hw><x-pr> àn</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>形</x-gram>昏暗；阴暗<x-f>。</x-f></dt><dd><x-ex>露明星<x-key>黯</x-key></x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>形</x-g>心神沮丧<x-f>。</x-f></dt><dd><x-ex>悄无语，<x-key>黯</x-key>沉吟</x-ex></dd><t-note><x-lb>用法说明</x-lb>跟“暗”不同。“黯”多用于形容伤感、忧郁、沮丧等情绪，如“黯然失色” “黯然神伤”；“暗”多用于形容光线不足等<x-f>。</x-f></t-note>
"
3101,兢,jīng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>兢</x-hw><x-pr> jīng</x-pr>
<dt>见下。<a href=""entry://兢兢"">兢兢</a><x-f>，</x-f><a href=""entry://兢兢业业"">兢兢业业</a><x-f>。</x-f><br><t-note><x-lb>用法说明</x-lb>由两个“克”组成，不是由两个“竞”组成<x-f>。</x-f></t-note>
"
3108,翩,piān,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>翩</x-hw><x-pr> piān</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>动</x-gram>轻快地飞<x-f>。</x-f></dt><dd><x-ex>蜂舞蝶<x-key>翩</x-key></x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>形</x-g>形容动作轻快<x-f>。</x-f></dt><dd><x-ex><x-key>翩</x-key>然</x-ex></dd>
"
3132,蜘,zhī,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>蜘</x-hw><x-pr> zhī</x-pr>
<dt>见下。<a href=""entry://蜘蛛"">蜘蛛</a><x-f>，</x-f><a href=""entry://蜘蛛网"">蜘蛛网</a><x-f>，</x-f><a href=""entry://蜘蛛痣"">蜘蛛痣</a><x-f>。</x-f>
"
3228,澎,péng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>澎</x-hw><x-pr> péng</x-pr>
<dt>见下。<a href=""entry://澎汃"">澎汃</a><x-f>，</x-f><a href=""entry://澎湃"">澎湃</a><x-f>。</x-f><br><t-note><x-lb>用法说明</x-lb>统读 péng，不读 pēng<x-f>。</x-f></t-note>
"
3298,柠,níng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>柠</x-hw><x-pr> níng</x-pr>（檸）
<dt>见下。<a href=""entry://柠檬"">柠檬</a><x-f>，</x-f><a href=""entry://柠檬酸"">柠檬酸</a><x-f>，</x-f><a href=""entry://柠檬汁"">柠檬汁</a><x-f>。</x-f>
"
3315,蝙,biān,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>蝙</x-hw><x-pr> biān</x-pr>
<dt>见下。<a href=""entry://蝙蝠"">蝙蝠</a><x-f>，</x-f><a href=""entry://蝙蝠衫"">蝙蝠衫</a><x-f>，</x-f><a href=""entry://蝙蝠袖"">蝙蝠袖</a><x-f>。</x-f><br><t-note><x-lb>用法说明</x-lb>统读 biān，不读 biǎn<x-f>。</x-f></t-note>
"
3329,琉,liú,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>琉</x-hw><x-pr> liú</x-pr>（*瑠*璢）
<dt>见下。<a href=""entry://琉璃"">琉璃</a><x-f>，</x-f><a href=""entry://琉璃瓦"">琉璃瓦</a><x-f>。</x-f>
"
3349,菠,bō,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>菠</x-hw><x-pr> bō</x-pr>
<dt>见下。<a href=""entry://菠菜"">菠菜</a><x-f>，</x-f><a href=""entry://菠薐菜"">菠薐菜</a><x-f>，</x-f><a href=""entry://菠萝"">菠萝</a><x-f>，</x-f><a href=""entry://菠萝蜜"">菠萝蜜</a><x-f>。</x-f><br><t-note><x-lb>用法说明</x-lb>统读 bō，不读 bó<x-f>。</x-f></t-note>
"
3409,鹦,yīng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>鹦</x-hw><x-pr> yīng</x-pr>（鸚）
<dt>见下。<a href=""entry://鹦哥"">鹦哥</a><x-f>，</x-f><a href=""entry://鹦哥绿"">鹦哥绿</a><x-f>，</x-f><a href=""entry://鹦鹉"">鹦鹉</a><x-f>，</x-f><a href=""entry://鹦鹉螺"">鹦鹉螺</a><x-f>，</x-f><a href=""entry://鹦鹉学舌"">鹦鹉学舌</a><x-f>。</x-f>
"
3418,霹,pī,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>霹</x-hw><x-pr> pī</x-pr>
<dt>见下。<a href=""entry://霹雳"">霹雳</a><x-f>，</x-f><a href=""entry://霹雳舞"">霹雳舞</a><x-f>。</x-f>
"
3465,蜻,qīng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>蜻</x-hw><x-pr> qīng</x-pr>
<dt>见下。<a href=""entry://蜻蜓"">蜻蜓</a><x-f>，</x-f><a href=""entry://蜻蜓点水"">蜻蜓点水</a><x-f>。</x-f>
"
