term,pinyin,cleaned_pinyin,updated_pinyin
造影,zàoyǐng,zàoyǐng,zào yǐng
门阀,ménfá,ménfá,mén fá
对词,duìcí,duìcí,duì cí
寻获,xúnhuò,xúnhuò,xún huò
暑气,shǔqì,shǔqì,shǔ qì
离席,líxí,líxí,lí xí
笑骂,xiàomà,xiàomà,xiào mà
酥脆,sūcuì,sūcuì,sū cuì
脑干,nǎogàn,nǎogàn,nǎo gàn
左近,zuǒjìn,zuǒjìn,zuǒ jìn
引号,yǐnhào,yǐnhào,yǐn hào
谈兴,tánxìng,tánxìng,tán xìng
警灯,jǐngdēng,jǐngdēng,jǐng dēng
烫发,tàngfà,tàngfà,tàng fà
撒野,sāyě,sāyě,sā yě
灯节,dēngjié,dēngjié,dēng jié
歌女,gēnǚ,gēnǚ,gē nǚ
沙砾,shālì,shālì,shā lì
扭送,niǔsòng,niǔsòng,niǔ sòng
爬犁,páli,páli,pá li
惊悸,jīngjì,jīngjì,jīng jì
善报,shànbào,shànbào,shàn bào
降伏,xiángfú,xiángfú,xiáng fú
两面性,liǎngmiànxìng,liǎngmiànxìng,liǎng miàn xìng
天旋地转,tiānxuán-dìzhuàn,tiānxuán dìzhuàn,tiān xuán dì zhuàn
六亲不认,liùqīn-bùrèn,liùqīn bùrèn,liù qīn bù rèn
和衷共济,hézhōng-gòngjì,hézhōng gòngjì,hé zhōng gòng jì
名落孙山,míngluòsūnshān,míngluòsūnshān,míng luò sūn shān
红斑狼疮,hóngbānlángchuāng,hóngbānlángchuāng,hóng bān láng chuāng
束手就擒,shùshǒu-jiùqín,shùshǒu jiùqín,shù shǒu jiù qín
入乡随俗,rùxiāng-suísú,rùxiāng suísú,rù xiāng suí sú
轻车简从,qīngchē-jiǎncóng,qīngchē jiǎncóng,qīng chē jiǎn cóng
一笑置之,yīxiào-zhìzhī,yīxiào zhìzhī,yī xiào zhì zhī
交换价值,jiāohuàn jiàzhí,jiāohuàn jiàzhí,jiāo huàn jià zhí
空前绝后,kōngqián-juéhòu,kōngqián juéhòu,kōng qián jué hòu
有线广播,yǒuxiàn guǎngbō,yǒuxiàn guǎngbō,yǒu xiàn guǎng bō
善罢甘休,shànbà-gānxiū,shànbà gānxiū,shàn bà gān xiū
字斟句酌,zìzhēn-jùzhuó,zìzhēn jùzhuó,zì zhēn jù zhuó
锡伯族,xībózú,xībózú,xī bó zú
田园诗,tiányuánshī,tiányuánshī,tián yuán shī
花名册,huāmíngcè,huāmíngcè,huā míng cè
瞻前顾后,zhānqián-gùhòu,zhānqián gùhòu,zhān qián gù hòu
新媳妇儿,xīnxífur,xīnxífur,xīn xí fu er
息影,xīyǐng,xīyǐng,xī yǐng
锅巴,guōbā,guōbā,guō bā
分拨,fēnbō,fēnbō,fēn bō
损公肥私,sǔngōng-féisī,sǔngōng féisī,sǔn gōng féi sī
便门,biànmén,biànmén,biàn mén
啄木鸟,zhuómùniǎo,zhuómùniǎo,zhuó mù niǎo
饭铺,fànpù,fànpù,fàn pù
摇旗呐喊,yáoqí-nàhǎn,yáoqí nàhǎn,yáo qí nà hǎn
探井,tànjǐng,tànjǐng,tàn jǐng
挥汗如雨,huīhàn-rúyǔ,huīhàn rúyǔ,huī hàn rú yǔ
阑尾炎,lánwěiyán,lánwěiyán,lán wěi yán
耍赖,shuǎlài,shuǎlài,shuǎ lài
轻音乐,qīngyīnyuè,qīngyīnyuè,qīng yīn yuè
二心,èrxīn,èrxīn,èr xīn
危楼,wēilóu,wēilóu,wēi lóu
外院,wàiyuàn,wàiyuàn,wài yuàn
迎来送往,yínglái-sòngwǎng,yínglái sòngwǎng,yíng lái sòng wǎng
刀耕火种,dāogēng-huǒzhòng,dāogēng huǒzhòng,dāo gēng huǒ zhòng
庄户人,zhuānghùrén,zhuānghùrén,zhuāng hù rén
屡教不改,lǚjiào-bùgǎi,lǚjiào bùgǎi,lǚ jiào bù gǎi
四书五经,sìshū wǔjīng,sìshū wǔjīng,sì shū wǔ jīng
羸弱,léiruò,léiruò,léi ruò
伏兵,fúbīng,fúbīng,fú bīng
线段,xiànduàn,xiànduàn,xiàn duàn
垦殖,kěnzhí,kěnzhí,kěn zhí
铜臭,tóngxiù,tóngxiù,tóng xiù
柳絮,liǔxù,liǔxù,liǔ xù
弹坑,dànkēng,dànkēng,dàn kēng
凶光,xiōngguāng,xiōngguāng,xiōng guāng
不自量力,bùzìliànglì,bùzìliànglì,bù zì liàng lì
摸准,mōzhǔn,mōzhǔn,mō zhǔn
摊档,tāndàng,tāndàng,tān dàng
洋铁,yángtiě,yángtiě,yáng tiě
呆账,dāizhàng,dāizhàng,dāi zhàng
阴部,yīnbù,yīnbù,yīn bù
元曲,yuánqǔ,yuánqǔ,yuán qǔ
扒拉,bāla,bāla,bā la
扒拉,pála,pála,pá la
洋芋,yángyù,yángyù,yáng yù
服帖,fútiē,fútiē,fú tiē
空转,kōngzhuàn,kōngzhuàn,kōng zhuàn
处治,chǔzhì,chǔzhì,chǔ zhì
外敷,wàifū,wàifū,wài fū
情丝,qíngsī,qíngsī,qíng sī
鹤立鸡群,hèlì-jīqún,hèlì jīqún,hè lì jī qún
冰点,bīngdiǎn,bīngdiǎn,bīng diǎn
酒糟,jiǔzāo,jiǔzāo,jiǔ zāo
圣水,shèngshuǐ,shèngshuǐ,shèng shuǐ
小白菜,xiǎobáicài,xiǎobáicài,xiǎo bái cài
哑铃,yǎlíng,yǎlíng,yǎ líng
一专多能,yīzhuān-duōnéng,yīzhuān duōnéng,yī zhuān duō néng
腰围,yāowéi,yāowéi,yāo wéi
主动脉,zhǔdòngmài,zhǔdòngmài,zhǔ dòng mài
字节,zìjié,zìjié,zì jié
平仄,píngzè,píngzè,píng zè
智育,zhìyù,zhìyù,zhì yù
茶饭,cháfàn,cháfàn,chá fàn
险局,xiǎnjú,xiǎnjú,xiǎn jú
喧嚷,xuānrǎng,xuānrǎng,xuān rǎng
解疑,jiěyí,jiěyí,jiě yí
神枪手,shénqiāngshǒu,shénqiāngshǒu,shén qiāng shǒu
潜回,qiánhuí,qiánhuí,qián huí
撰著,zhuànzhù,zhuànzhù,zhuàn zhù
金婚,jīnhūn,jīnhūn,jīn hūn
岁尾,suìwěi,suìwěi,suì wěi
焦土,jiāotǔ,jiāotǔ,jiāo tǔ
北极星,běijíxīng,běijíxīng,běi jí xīng
拖网,tuōwǎng,tuōwǎng,tuō wǎng
投寄,tóujì,tóujì,tóu jì
溃决,kuìjué,kuìjué,kuì jué
纪念册,jìniàncè,jìniàncè,jì niàn cè
目光短浅,mùguāng-duǎnqiǎn,mùguāng duǎnqiǎn,mù guāng duǎn qiǎn
校样,jiàoyàng,jiàoyàng,jiào yàng
灭迹,mièjì,mièjì,miè jì
委身,wěishēn,wěishēn,wěi shēn
低度,dīdù,dīdù,dī dù
目中无人,mùzhōng-wúrén,mùzhōng wúrén,mù zhōng wú rén
不信邪,bùxìnxié,bùxìnxié,bù xìn xié
芒硝,mángxiāo,mángxiāo,máng xiāo
不攻自破,bùgōng-zìpò,bùgōng zìpò,bù gōng zì pò
如花似玉,rúhuā-sìyù,rúhuā sìyù,rú huā sì yù
芦荟,lúhuì,lúhuì,lú huì
督学,dūxué,dūxué,dū xué
改型,gǎixíng,gǎixíng,gǎi xíng
慵懒,yōnglǎn,yōnglǎn,yōng lǎn
编创,biānchuàng,biānchuàng,biān chuàng
主桥,zhǔqiáo,zhǔqiáo,zhǔ qiáo
人情世故,rénqíng-shìgù,rénqíng shìgù,rén qíng shì gù
搁笔,gēbǐ,gēbǐ,gē bǐ
夹板,jiābǎn,jiābǎn,jiā bǎn
整党,zhěngdǎng,zhěngdǎng,zhěng dǎng
心急火燎,xīnjí-huǒliǎo,xīnjí huǒliǎo,xīn jí huǒ liǎo
蒙人,mēngrén,mēngrén,mēng rén
白醋,báicù,báicù,bái cù
经血,jīngxuè,jīngxuè,jīng xuè
体外循环,tǐwài xúnhuán,tǐwài xúnhuán,tǐ wài xún huán
宾至如归,bīnzhì-rúguī,bīnzhì rúguī,bīn zhì rú guī
出典,chūdiǎn,chūdiǎn,chū diǎn
凡夫俗子,fánfū-súzǐ,fánfū súzǐ,fán fū sú zǐ
弱肉强食,ruòròu-qiángshí,ruòròu qiángshí,ruò ròu qiáng shí
鬼才,guǐcái,guǐcái,guǐ cái
骂骂咧咧,màma-liēliē,màma liēliē,mà ma liē liē
个人崇拜,gèrén chóngbài,gèrén chóngbài,gè rén chóng bài
告病,gàobìng,gàobìng,gào bìng
蒙难,méngnàn,méngnàn,méng nàn
扇动,shāndòng,shāndòng,shān dòng
推知,tuīzhī,tuīzhī,tuī zhī
举不胜举,jǔbùshèngjǔ,jǔbùshèngjǔ,jǔ bù shèng jǔ
炸裂,zhàliè,zhàliè,zhà liè
火攻,huǒgōng,huǒgōng,huǒ gōng
锥子,zhuīzi,zhuīzi,zhuī zi
宏论,hónglùn,hónglùn,hóng lùn
存活率,cúnhuólǜ,cúnhuólǜ,cún huó lǜ
痰盂,tányú,tányú,tán yú
搏战,bózhàn,bózhàn,bó zhàn
摘抄,zhāichāo,zhāichāo,zhāi chāo
散放,sǎnfàng,sǎnfàng,sǎn fàng
青贮,qīngzhù,qīngzhù,qīng zhù
警衔,jǐngxián,jǐngxián,jǐng xián
澡盆,zǎopén,zǎopén,zǎo pén
柔嫩,róunèn,róunèn,róu nèn
封底,fēngdǐ,fēngdǐ,fēng dǐ
叶面,yèmiàn,yèmiàn,yè miàn
失势,shīshì,shīshì,shī shì
万念俱灰,wànniàn-jùhuī,wànniàn jùhuī,wàn niàn jù huī
赤红,chìhóng,chìhóng,chì hóng
坊间,fāngjiān,fāngjiān,fāng jiān
幽情,yōuqíng,yōuqíng,yōu qíng
什物,shíwù,shíwù,shí wù
宛然,wǎnrán,wǎnrán,wǎn rán
气人,qìrén,qìrén,qì rén
明艳,míngyàn,míngyàn,míng yàn
代沟,dàigōu,dàigōu,dài gōu
国葬,guózàng,guózàng,guó zàng
边框,biānkuàng,biānkuàng,biān kuàng
寒衣,hányī,hányī,hán yī
新欢,xīnhuān,xīnhuān,xīn huān
会刊,huìkān,huìkān,huì kān
受洗,shòuxǐ,shòuxǐ,shòu xǐ
书迷,shūmí,shūmí,shū mí
眼熟,yǎnshú,yǎnshú,yǎn shú
瓦匠,wǎjiang,wǎjiang,wǎ jiang
侧击,cèjī,cèjī,cè jī
竹杠,zhúgàng,zhúgàng,zhú gàng
重音,zhòngyīn,zhòngyīn,zhòng yīn
玉帛,yùbó,yùbó,yù bó
黑米,hēimǐ,hēimǐ,hēi mǐ
雇请,gùqǐng,gùqǐng,gù qǐng
泛称,fànchēng,fànchēng,fàn chēng
岔口,chàkǒu,chàkǒu,chà kǒu
谐调,xiétiáo,xiétiáo,xié tiáo
端口,duānkǒu,duānkǒu,duān kǒu
沸点,fèidiǎn,fèidiǎn,fèi diǎn
请托,qǐngtuō,qǐngtuō,qǐng tuō
显学,xiǎnxué,xiǎnxué,xiǎn xué
碑石,bēishí,bēishí,bēi shí
马刀,mǎdāo,mǎdāo,mǎ dāo
金饭碗,jīnfànwǎn,jīnfànwǎn,jīn fàn wǎn
讥刺,jīcì,jīcì,jī cì
经纶,jīnglún,jīnglún,jīng lún
乐善好施,lèshàn-hàoshī,lèshàn hàoshī,lè shàn hào shī
审读,shěndú,shěndú,shěn dú
八宝粥,bābǎozhōu,bābǎozhōu,bā bǎo zhōu
烈军属,liè-jūnshǔ,liè jūnshǔ,liè jūn shǔ
跌价,diējià,diējià,diē jià
通透,tōngtòu,tōngtòu,tōng tòu
松明,sōngmíng,sōngmíng,sōng míng
耗用,hàoyòng,hàoyòng,hào yòng
讪笑,shànxiào,shànxiào,shàn xiào
倒贴,dàotiē,dàotiē,dào tiē
和畅,héchàng,héchàng,hé chàng
放达,fàngdá,fàngdá,fàng dá
溃退,kuìtuì,kuìtuì,kuì tuì
耳垂,ěrchuí,ěrchuí,ěr chuí
投合,tóuhé,tóuhé,tóu hé
抓典型,zhuādiǎnxíng,zhuādiǎnxíng,zhuā diǎn xíng
煤矸石,méigānshí,méigānshí,méi gān shí
锅炉房,guōlúfáng,guōlúfáng,guō lú fáng
坎肩,kǎnjiān,kǎnjiān,kǎn jiān
数九,shǔjiǔ,shǔjiǔ,shǔ jiǔ
奉调,fèngdiào,fèngdiào,fèng diào
呆若木鸡,dāiruòmùjī,dāiruòmùjī,dāi ruò mù jī
牙床,yáchuáng,yáchuáng,yá chuáng
喜洋洋,xǐyángyáng,xǐyángyáng,xǐ yáng yáng
禁猎,jìnliè,jìnliè,jìn liè
嫉恨,jíhèn,jíhèn,jí hèn
余党,yúdǎng,yúdǎng,yú dǎng
整流,zhěngliú,zhěngliú,zhěng liú
买卖人,mǎimairén,mǎimairén,mǎi mai rén
毛料,máoliào,máoliào,máo liào
金钱豹,jīnqiánbào,jīnqiánbào,jīn qián bào
白药,báiyào,báiyào,bái yào
棋风,qífēng,qífēng,qí fēng
白血球,báixuèqiú,báixuèqiú,bái xuè qiú
自行其是,zìxíngqíshì,zìxíngqíshì,zì xíng qí shì
一来二去,yīlái-èrqù,yīlái èrqù,yī lái èr qù
病退,bìngtuì,bìngtuì,bìng tuì
探身,tànshēn,tànshēn,tàn shēn
武夫,wǔfū,wǔfū,wǔ fū
双喜临门,shuāngxǐ-línmén,shuāngxǐ línmén,shuāng xǐ lín mén
铁流,tiěliú,tiěliú,tiě liú
重光,chóngguāng,chóngguāng,chóng guāng
人多势众,rénduō-shìzhòng,rénduō shìzhòng,rén duō shì zhòng
半死不活,bànsǐ-bùhuó,bànsǐ bùhuó,bàn sǐ bù huó
咯吱,gēzhī,gēzhī,gē zhī
把脉,bǎmài,bǎmài,bǎ mài
村规民约,cūnguīmínyuē,cūnguīmínyuē,cūn guī mín yuē
丧钟,sāngzhōng,sāngzhōng,sāng zhōng
小题大做,xiǎotí-dàzuò,xiǎotí dàzuò,xiǎo tí dà zuò
非此即彼,fēicǐ-jíbǐ,fēicǐ jíbǐ,fēi cǐ jí bǐ
游勇,yóuyǒng,yóuyǒng,yóu yǒng
打结,dǎjié,dǎjié,dǎ jié
闹鬼,nàoguǐ,nàoguǐ,nào guǐ
普天之下,pǔtiānzhīxià,pǔtiānzhīxià,pǔ tiān zhī xià
旧闻,jiùwén,jiùwén,jiù wén
夸大其词,kuādà-qící,kuādà qící,kuā dà qí cí
动手动脚,dòngshǒu-dòngjiǎo,dòngshǒu dòngjiǎo,dòng shǒu dòng jiǎo
半身不遂,bànshēn bùsuí,bànshēn bùsuí,bàn shēn bù suí
阴差阳错,yīnchā-yángcuò,yīnchā yángcuò,yīn chā yáng cuò
翘首以待,qiáoshǒuyǐdài,qiáoshǒuyǐdài,qiáo shǒu yǐ dài
杂症,zázhèng,zázhèng,zá zhèng
老实巴交,lǎoshibājiāo,lǎoshibājiāo,lǎo shi bā jiāo
小瞧,xiǎoqiáo,xiǎoqiáo,xiǎo qiáo
瑟缩,sèsuō,sèsuō,sè suō
弦乐队,xiányuèduì,xiányuèduì,xián yuè duì
肺气肿,fèiqìzhǒng,fèiqìzhǒng,fèi qì zhǒng
悔不该,huǐbùgāi,huǐbùgāi,huǐ bù gāi
请命,qǐngmìng,qǐngmìng,qǐng mìng
籼稻,xiāndào,xiāndào,xiān dào
见世面,jiànshìmiàn,jiànshìmiàn,jiàn shì miàn
君临,jūnlín,jūnlín,jūn lín
芦笙,lúshēng,lúshēng,lú shēng
体无完肤,tǐwúwánfū,tǐwúwánfū,tǐ wú wán fū
染发剂,rǎnfàjì,rǎnfàjì,rǎn fà jì
并吞,bìngtūn,bìngtūn,bìng tūn
盐类,yánlèi,yánlèi,yán lèi
表盘,biǎopán,biǎopán,biǎo pán
得劲,déjìn,déjìn,dé jìn
前肢,qiánzhī,qiánzhī,qián zhī
急骤,jízhòu,jízhòu,jí zhòu
刨花,bàohuā,bàohuā,bào huā
党羽,dǎngyǔ,dǎngyǔ,dǎng yǔ
清仓,qīngcāng,qīngcāng,qīng cāng
夜车,yèchē,yèchē,yè chē
狂跌,kuángdiē,kuángdiē,kuáng diē
托词,tuōcí,tuōcí,tuō cí
前贤,qiánxián,qiánxián,qián xián
蟹黄,xièhuáng,xièhuáng,xiè huáng
海水浴,hǎishuǐyù,hǎishuǐyù,hǎi shuǐ yù
扭秧歌,niǔyāngge,niǔyāngge,niǔ yāng ge
装假,zhuāngjiǎ,zhuāngjiǎ,zhuāng jiǎ
韵母,yùnmǔ,yùnmǔ,yùn mǔ
茅塞顿开,máosè-dùnkāi,máosè dùnkāi,máo sè dùn kāi
络腮胡子,luòsāi húzi,luòsāi húzi,luò sāi hú zi
气壮山河,qìzhuàng-shānhé,qìzhuàng shānhé,qì zhuàng shān hé
二锅头,èrguōtóu,èrguōtóu,èr guō tóu
遗精,yíjīng,yíjīng,yí jīng
泼水节,pōshuǐjié,pōshuǐjié,pō shuǐ jié
自诉,zìsù,zìsù,zì sù
陈词滥调,chéncí-làndiào,chéncí làndiào,chén cí làn diào
瀚海,hànhǎi,hànhǎi,hàn hǎi
万水千山,wànshuǐ-qiānshān,wànshuǐ qiānshān,wàn shuǐ qiān shān
鬃毛,zōngmáo,zōngmáo,zōng máo
祖居,zǔjū,zǔjū,zǔ jū
红帽子,hóngmàozi,hóngmàozi,hóng mào zi
亲骨肉,qīngǔròu,qīngǔròu,qīn gǔ ròu
信号弹,xìnhàodàn,xìnhàodàn,xìn hào dàn
外侮,wàiwǔ,wàiwǔ,wài wǔ
少年法庭,shàonián fǎtíng,shàonián fǎtíng,shào nián fǎ tíng
瞎扯,xiāchě,xiāchě,xiā chě
煤渣,méizhā,méizhā,méi zhā
断句,duànjù,duànjù,duàn jù
误传,wùchuán,wùchuán,wù chuán
儒商,rúshāng,rúshāng,rú shāng
养尊处优,yǎngzūn-chǔyōu,yǎngzūn chǔyōu,yǎng zūn chǔ yōu
容情,róngqíng,róngqíng,róng qíng
底牌,dǐpái,dǐpái,dǐ pái
笑靥,xiàoyè,xiàoyè,xiào yè
冷寂,lěngjì,lěngjì,lěng jì
阴毒,yīndú,yīndú,yīn dú
迟暮,chímù,chímù,chí mù
饥馑,jījǐn,jījǐn,jī jǐn
自许,zìxǔ,zìxǔ,zì xǔ
创口,chuāngkǒu,chuāngkǒu,chuāng kǒu
天晓得,tiānxiǎode,tiānxiǎode,tiān xiǎo de
陪都,péidū,péidū,péi dū
别集,biéjí,biéjí,bié jí
敲门砖,qiāoménzhuān,qiāoménzhuān,qiāo mén zhuān
同屋,tóngwū,tóngwū,tóng wū
约谈,yuētán,yuētán,yuē tán
下狱,xiàyù,xiàyù,xià yù
庸碌,yōnglù,yōnglù,yōng lù
皮件,píjiàn,píjiàn,pí jiàn
女流,nǚliú,nǚliú,nǚ liú
云团,yúntuán,yúntuán,yún tuán
想望,xiǎngwàng,xiǎngwàng,xiǎng wàng
贴面,tiēmiàn,tiēmiàn,tiē miàn
沉陷,chénxiàn,chénxiàn,chén xiàn
庄园主,zhuāngyuánzhǔ,zhuāngyuánzhǔ,zhuāng yuán zhǔ
主笔,zhǔbǐ,zhǔbǐ,zhǔ bǐ
打制,dǎzhì,dǎzhì,dǎ zhì
暖棚,nuǎnpéng,nuǎnpéng,nuǎn péng
排戏,páixì,páixì,pái xì
彩民,cǎimín,cǎimín,cǎi mín
垂挂,chuíguà,chuíguà,chuí guà
男式,nánshì,nánshì,nán shì
洋油,yángyóu,yángyóu,yáng yóu
侍弄,shìnòng,shìnòng,shì nòng
馥郁,fùyù,fùyù,fù yù
早婚,zǎohūn,zǎohūn,zǎo hūn
社火,shèhuǒ,shèhuǒ,shè huǒ
空巢,kōngcháo,kōngcháo,kōng cháo
茧子,jiǎnzi,jiǎnzi,jiǎn zi
火箭筒,huǒjiàntǒng,huǒjiàntǒng,huǒ jiàn tǒng
人氏,rénshì,rénshì,rén shì
听诊,tīngzhěn,tīngzhěn,tīng zhěn
牛气,niúqi,niúqi,niú qi
大师傅,dàshifu,dàshifu,dà shi fu
存根,cúngēn,cúngēn,cún gēn
基底,jīdǐ,jīdǐ,jī dǐ
刨根儿,páogēnr,páogēnr,páo gēn er
生疼,shēngténg,shēngténg,shēng téng
附言,fùyán,fùyán,fù yán
乱蓬蓬,luànpéngpéng,luànpéngpéng,luàn péng péng
成命,chéngmìng,chéngmìng,chéng mìng
校务,xiàowù,xiàowù,xiào wù
点石成金,diǎnshí-chéngjīn,diǎnshí chéngjīn,diǎn shí chéng jīn
糟践,zāojian,zāojian,zāo jian
尔虞我诈,ěryú-wǒzhà,ěryú wǒzhà,ěr yú wǒ zhà
鸣放,míngfàng,míngfàng,míng fàng
善始善终,shànshǐ-shànzhōng,shànshǐ shànzhōng,shàn shǐ shàn zhōng
弱不禁风,ruòbùjīnfēng,ruòbùjīnfēng,ruò bù jīn fēng
自讨苦吃,zìtǎokǔchī,zìtǎokǔchī,zì tǎo kǔ chī
天马行空,tiānmǎ-xíngkōng,tiānmǎ xíngkōng,tiān mǎ xíng kōng
临危受命,línwēi-shòumìng,línwēi shòumìng,lín wēi shòu mìng
订金,dìngjīn,dìngjīn,dìng jīn
广播剧,guǎngbōjù,guǎngbōjù,guǎng bō jù
旷世,kuàngshì,kuàngshì,kuàng shì
峰巅,fēngdiān,fēngdiān,fēng diān
颁行,bānxíng,bānxíng,bān xíng
坏分子,huàifènzǐ,huàifènzǐ,huài fèn zǐ
旁通,pángtōng,pángtōng,páng tōng
冰灯,bīngdēng,bīngdēng,bīng dēng
叉车,chāchē,chāchē,chā chē
挑拣,tiāojiǎn,tiāojiǎn,tiāo jiǎn
瓦楞,wǎléng,wǎléng,wǎ léng
闹哄哄,nàohōnghōng,nàohōnghōng,nào hōng hōng
茅房,máofáng,máofáng,máo fáng
礼数,lǐshù,lǐshù,lǐ shù
凝滞,níngzhì,níngzhì,níng zhì
饮泣,yǐnqì,yǐnqì,yǐn qì
凝思,níngsī,níngsī,níng sī
护兵,hùbīng,hùbīng,hù bīng
碑帖,bēitiè,bēitiè,bēi tiè
瓶塞,píngsāi,píngsāi,píng sāi
贬损,biǎnsǔn,biǎnsǔn,biǎn sǔn
西裤,xīkù,xīkù,xī kù
收文,shōuwén,shōuwén,shōu wén
笑纹,xiàowén,xiàowén,xiào wén
置备,zhìbèi,zhìbèi,zhì bèi
凄婉,qīwǎn,qīwǎn,qī wǎn
河运,héyùn,héyùn,hé yùn
以理服人,yǐlǐ-fúrén,yǐlǐ fúrén,yǐ lǐ fú rén
投其所好,tóuqísuǒhào,tóuqísuǒhào,tóu qí suǒ hào
增删,zēngshān,zēngshān,zēng shān
大姨,dàyí,dàyí,dà yí
渔区,yúqū,yúqū,yú qū
空头支票,kōngtóu zhīpiào,kōngtóu zhīpiào,kōng tóu zhī piào
左右手,zuǒ-yòushǒu,zuǒ yòushǒu,zuǒ yòu shǒu
汁水,zhīshuǐ,zhīshuǐ,zhī shuǐ
药酒,yàojiǔ,yàojiǔ,yào jiǔ
无铅汽油,wúqiān qìyóu,wúqiān qìyóu,wú qiān qì yóu
人高马大,réngāo-mǎdà,réngāo mǎdà,rén gāo mǎ dà
经略,jīnglüè,jīnglüè,jīng lüè
颠扑不破,diānpū-bùpò,diānpū bùpò,diān pū bù pò
活页,huóyè,huóyè,huó yè
纵横驰骋,zònghéng-chíchěng,zònghéng chíchěng,zòng héng chí chěng
刻写,kèxiě,kèxiě,kè xiě
辑要,jíyào,jíyào,jí yào
慷慨陈词,kāngkǎi-chéncí,kāngkǎi chéncí,kāng kǎi chén cí
人工呼吸,réngōng hūxī,réngōng hūxī,rén gōng hū xī
醇酒,chúnjiǔ,chúnjiǔ,chún jiǔ
田亩,tiánmǔ,tiánmǔ,tián mǔ
正告,zhènggào,zhènggào,zhèng gào
纱巾,shājīn,shājīn,shā jīn
无疆,wújiāng,wújiāng,wú jiāng
唐装,tángzhuāng,tángzhuāng,táng zhuāng
拍马屁,pāimǎpì,pāimǎpì,pāi mǎ pì
大族,dàzú,dàzú,dà zú
怨愤,yuànfèn,yuànfèn,yuàn fèn
预后,yùhòu,yùhòu,yù hòu
抱憾,bàohàn,bàohàn,bào hàn
密令,mìlìng,mìlìng,mì lìng
杂色,zásè,zásè,zá sè
调笑,tiáoxiào,tiáoxiào,tiáo xiào
盗汗,dàohàn,dàohàn,dào hàn
团体操,tuántǐcāo,tuántǐcāo,tuán tǐ cāo
验票,yànpiào,yànpiào,yàn piào
太阳镜,tàiyángjìng,tàiyángjìng,tài yáng jìng
街谈巷议,jiētán-xiàngyì,jiētán xiàngyì,jiē tán xiàng yì
艺术片,yìshùpiàn,yìshùpiàn,yì shù piàn
正大光明,zhèngdà-guāngmíng,zhèngdà guāngmíng,zhèng dà guāng míng
死记硬背,sǐjì-yìngbèi,sǐjì yìngbèi,sǐ jì yìng bèi
拾遗补缺,shíyí-bǔquē,shíyí bǔquē,shí yí bǔ quē
举手之劳,jǔshǒuzhīláo,jǔshǒuzhīláo,jǔ shǒu zhī láo
三心二意,sānxīn-èryì,sānxīn èryì,sān xīn èr yì
出点子,chūdiǎnzi,chūdiǎnzi,chū diǎn zi
出乱子,chūluànzi,chūluànzi,chū luàn zi
绝处逢生,juéchù-féngshēng,juéchù féngshēng,jué chù féng shēng
忠贞不渝,zhōngzhēn-bùyú,zhōngzhēn bùyú,zhōng zhēn bù yú
儿童团,értóngtuán,értóngtuán,ér tóng tuán
满山遍野,mǎnshān-biànyě,mǎnshān biànyě,mǎn shān biàn yě
毒计,dújì,dújì,dú jì
打太极拳,dǎtàijíquán,dǎtàijíquán,dǎ tài jí quán
阴阳怪气,yīnyáng-guàiqì,yīnyáng guàiqì,yīn yáng guài qì
橄榄绿,gǎnlǎnlǜ,gǎnlǎnlǜ,gǎn lǎn lǜ
事倍功半,shìbèi-gōngbàn,shìbèi gōngbàn,shì bèi gōng bàn
雕饰,diāoshì,diāoshì,diāo shì
以逸待劳,yǐyì-dàiláo,yǐyì dàiláo,yǐ yì dài láo
一呼百应,yīhū-bǎiyìng,yīhū bǎiyìng,yī hū bǎi yìng
嘎吱,gāzhī,gāzhī,gā zhī
机座,jīzuò,jīzuò,jī zuò
民气,mínqì,mínqì,mín qì
鸡胸,jīxiōng,jīxiōng,jī xiōng
独力,dúlì,dúlì,dú lì
攀附,pānfù,pānfù,pān fù
罗锅,luóguo,luóguo,luó guo
卑下,bēixià,bēixià,bēi xià
急遽,jíjù,jíjù,jí jù
转台,zhuàntái,zhuàntái,zhuàn tái
车轴,chēzhóu,chēzhóu,chē zhóu
留洋,liúyáng,liúyáng,liú yáng
洗尘,xǐchén,xǐchén,xǐ chén
够数,gòushù,gòushù,gòu shù
腻烦,nìfan,nìfan,nì fan
组曲,zǔqǔ,zǔqǔ,zǔ qǔ
延后,yánhòu,yánhòu,yán hòu
润湿,rùnshī,rùnshī,rùn shī
原色,yuánsè,yuánsè,yuán sè
千里眼,qiānlǐyǎn,qiānlǐyǎn,qiān lǐ yǎn
毒气弹,dúqìdàn,dúqìdàn,dú qì dàn
炼制,liànzhì,liànzhì,liàn zhì
颈椎病,jǐngzhuībìng,jǐngzhuībìng,jǐng zhuī bìng
忽闪,hūshǎn,hūshǎn,hū shǎn
忽闪,hūshan,hūshan,hū shan
气筒,qìtǒng,qìtǒng,qì tǒng
叽咕,jīgu,jīgu,jī gu
外溢,wàiyì,wàiyì,wài yì
回返,huífǎn,huífǎn,huí fǎn
弃学,qìxué,qìxué,qì xué
闲扯,xiánchě,xiánchě,xián chě
次货,cìhuò,cìhuò,cì huò
王孙,wángsūn,wángsūn,wáng sūn
毛囊,máonáng,máonáng,máo náng
果酒,guǒjiǔ,guǒjiǔ,guǒ jiǔ
共时,gòngshí,gòngshí,gòng shí
动怒,dòngnù,dòngnù,dòng nù
滴漏,dīlòu,dīlòu,dī lòu
