term,pinyin,cleaned_pinyin,updated_pinyin
出主意,chūzhǔyi,chūzhǔyi,chū zhǔ yi
引人入胜,yǐnrén-rùshèng,yǐnrén rùshèng,yǐn rén rù shèng
不可磨灭,bùkě-mómiè,bùkě mómiè,bù kě mó miè
着意,zhuóyì,zhuóyì,zhuó yì
焕然一新,huànrán-yīxīn,huànrán yīxīn,huàn rán yī xīn
作保,zuòbǎo,zuòbǎo,zuò bǎo
刑侦,xíngzhēn,xíngzhēn,xíng zhēn
物件,wùjiàn,wùjiàn,wù jiàn
糟蹋,zāotà,zāotà,zāo tà
坏蛋,huàidàn,huàidàn,huài dàn
生灵,shēnglíng,shēnglíng,shēng líng
前文,qiánwén,qiánwén,qián wén
战将,zhànjiàng,zhànjiàng,zhàn jiàng
免收,miǎnshōu,miǎnshōu,miǎn shōu
喷泉,pēnquán,pēnquán,pēn quán
精子,jīngzǐ,jīngzǐ,jīng zǐ
衣裙,yīqún,yīqún,yī qún
留守,liúshǒu,liúshǒu,liú shǒu
自由自在,zìyóu-zìzài,zìyóu zìzài,zì yóu zì zài
服务性,fúwùxìng,fúwùxìng,fú wù xìng
指挥家,zhǐhuījiā,zhǐhuījiā,zhǐ huī jiā
西餐,xīcān,xīcān,xī cān
通气,tōngqì,tōngqì,tōng qì
冰山,bīngshān,bīngshān,bīng shān
倒过儿,dàoguòr,dàoguòr,dào guò er
西化,xīhuà,xīhuà,xī huà
义战,yìzhàn,yìzhàn,yì zhàn
战马,zhànmǎ,zhànmǎ,zhàn mǎ
日见,rìjiàn,rìjiàn,rì jiàn
斐然,fěirán,fěirán,fěi rán
要员,yàoyuán,yàoyuán,yào yuán
祖师,zǔshī,zǔshī,zǔ shī
当政,dāngzhèng,dāngzhèng,dāng zhèng
招数,zhāoshù,zhāoshù,zhāo shù
便衣,biànyī,biànyī,biàn yī
盘山,pánshān,pánshān,pán shān
破格,pògé,pògé,pò gé
沙滩排球,shātān páiqiú,shātān páiqiú,shā tān pái qiú
喷射,pēnshè,pēnshè,pēn shè
斟酌,zhēnzhuó,zhēnzhuó,zhēn zhuó
未定,wèidìng,wèidìng,wèi dìng
惆怅,chóuchàng,chóuchàng,chóu chàng
古道,gǔdào,gǔdào,gǔ dào
年三十,niánsānshí,niánsānshí,nián sān shí
海路,hǎilù,hǎilù,hǎi lù
盛誉,shèngyù,shèngyù,shèng yù
凝望,níngwàng,níngwàng,níng wàng
神像,shénxiàng,shénxiàng,shén xiàng
接应,jiēyìng,jiēyìng,jiē yìng
押金,yājīn,yājīn,yā jīn
冲击波,chōngjībō,chōngjībō,chōng jī bō
军情,jūnqíng,jūnqíng,jūn qíng
老话,lǎohuà,lǎohuà,lǎo huà
取款,qǔkuǎn,qǔkuǎn,qǔ kuǎn
木耳,mù'ěr,mù ěr,mù ěr
套餐,tàocān,tàocān,tào cān
压题,yātí,yātí,yā tí
细说,xìshuō,xìshuō,xì shuō
定格,dìnggé,dìnggé,dìng gé
附中,fùzhōng,fùzhōng,fù zhōng
回声,huíshēng,huíshēng,huí shēng
价值规律,jiàzhí guīlǜ,jiàzhí guīlǜ,jià zhí guī lǜ
飞机场,fēijīchǎng,fēijīchǎng,fēi jī chǎng
制片人,zhìpiànrén,zhìpiànrén,zhì piàn rén
铁皮,tiěpí,tiěpí,tiě pí
问号,wènhào,wènhào,wèn hào
星空,xīngkōng,xīngkōng,xīng kōng
自小,zìxiǎo,zìxiǎo,zì xiǎo
围巾,wéijīn,wéijīn,wéi jīn
感伤,gǎnshāng,gǎnshāng,gǎn shāng
幽静,yōujìng,yōujìng,yōu jìng
中尉,zhōngwèi,zhōngwèi,zhōng wèi
运费,yùnfèi,yùnfèi,yùn fèi
古诗,gǔshī,gǔshī,gǔ shī
快车道,kuàichēdào,kuàichēdào,kuài chē dào
雷霆,léitíng,léitíng,léi tíng
府第,fǔdì,fǔdì,fǔ dì
末了,mòliǎo,mòliǎo,mò liǎo
群星,qúnxīng,qúnxīng,qún xīng
鼓楼,gǔlóu,gǔlóu,gǔ lóu
天神,tiānshén,tiānshén,tiān shén
大略,dàlüè,dàlüè,dà lüè
先辈,xiānbèi,xiānbèi,xiān bèi
沙哑,shāyǎ,shāyǎ,shā yǎ
考中,kǎozhòng,kǎozhòng,kǎo zhòng
挽留,wǎnliú,wǎnliú,wǎn liú
发案,fā'àn,fā àn,fā àn
难忍,nánrěn,nánrěn,nán rěn
越冬,yuèdōng,yuèdōng,yuè dōng
绕道,ràodào,ràodào,rào dào
截留,jiéliú,jiéliú,jié liú
冷气,lěngqì,lěngqì,lěng qì
拉拢,lālǒng,lālǒng,lā lǒng
主将,zhǔjiàng,zhǔjiàng,zhǔ jiàng
嘶哑,sīyǎ,sīyǎ,sī yǎ
假币,jiǎbì,jiǎbì,jiǎ bì
长条,chángtiáo,chángtiáo,cháng tiáo
海报,hǎibào,hǎibào,hǎi bào
婆家,pójia,pójia,pó jia
碰巧,pèngqiǎo,pèngqiǎo,pèng qiǎo
微利,wēilì,wēilì,wēi lì
抖擞,dǒusǒu,dǒusǒu,dǒu sǒu
衣袖,yīxiù,yīxiù,yī xiù
追缴,zhuījiǎo,zhuījiǎo,zhuī jiǎo
英雄主义,yīngxióng zhǔyì,yīngxióng zhǔyì,yīng xióng zhǔ yì
欢欣鼓舞,huānxīn-gǔwǔ,huānxīn gǔwǔ,huān xīn gǔ wǔ
不得而知,bùdé'érzhī,bùdé érzhī,bù dé ér zhī
五行,wǔxíng,wǔxíng,wǔ xíng
介于,jièyú,jièyú,jiè yú
露水,lùshuǐ,lùshuǐ,lù shuǐ
死因,sǐyīn,sǐyīn,sǐ yīn
生恐,shēngkǒng,shēngkǒng,shēng kǒng
梯子,tīzi,tīzi,tī zi
卖力,màilì,màilì,mài lì
拼音,pīnyīn,pīnyīn,pīn yīn
蹊径,xījìng,xījìng,xī jìng
伺机,sìjī,sìjī,sì jī
寒气,hánqì,hánqì,hán qì
原籍,yuánjí,yuánjí,yuán jí
魔术师,móshùshī,móshùshī,mó shù shī
公开信,gōngkāixìn,gōngkāixìn,gōng kāi xìn
佩带,pèidài,pèidài,pèi dài
横贯,héngguàn,héngguàn,héng guàn
育苗,yùmiáo,yùmiáo,yù miáo
镌刻,juānkè,juānkè,juān kè
高悬,gāoxuán,gāoxuán,gāo xuán
绝境,juéjìng,juéjìng,jué jìng
强忍,qiǎngrěn,qiǎngrěn,qiǎng rěn
陡峭,dǒuqiào,dǒuqiào,dǒu qiào
有利可图,yǒulì-kětú,yǒulì kětú,yǒu lì kě tú
报界,bàojiè,bàojiè,bào jiè
拘谨,jūjǐn,jūjǐn,jū jǐn
范文,fànwén,fànwén,fàn wén
限价,xiànjià,xiànjià,xiàn jià
声息,shēngxī,shēngxī,shēng xī
否决权,fǒujuéquán,fǒujuéquán,fǒu jué quán
驱赶,qūgǎn,qūgǎn,qū gǎn
套服,tàofú,tàofú,tào fú
工薪阶层,gōngxīn jiēcéng,gōngxīn jiēcéng,gōng xīn jiē céng
谦逊,qiānxùn,qiānxùn,qiān xùn
动画片,dònghuàpiàn,dònghuàpiàn,dòng huà piàn
入药,rùyào,rùyào,rù yào
淳朴,chúnpǔ,chúnpǔ,chún pǔ
交还,jiāohuán,jiāohuán,jiāo huán
硬性,yìngxìng,yìngxìng,yìng xìng
热力,rèlì,rèlì,rè lì
西面,xīmiàn,xīmiàn,xī miàn
藏历,zànglì,zànglì,zàng lì
红枣,hóngzǎo,hóngzǎo,hóng zǎo
回流,huíliú,huíliú,huí liú
营收,yíngshōu,yíngshōu,yíng shōu
情歌,qínggē,qínggē,qíng gē
贵妇,guìfù,guìfù,guì fù
崭露头角,zhǎnlù-tóujiǎo,zhǎnlù tóujiǎo,zhǎn lù tóu jiǎo
溪水,xīshuǐ,xīshuǐ,xī shuǐ
寡人,guǎrén,guǎrén,guǎ rén
旗袍,qípáo,qípáo,qí páo
整风,zhěngfēng,zhěngfēng,zhěng fēng
折叠,zhédié,zhédié,zhé dié
接二连三,jiē'èr-liánsān,jiē èr liánsān,jiē èr lián sān
用光,yòngguāng,yòngguāng,yòng guāng
任由,rènyóu,rènyóu,rèn yóu
大脚,dàjiǎo,dàjiǎo,dà jiǎo
引申,yǐnshēn,yǐnshēn,yǐn shēn
教官,jiàoguān,jiàoguān,jiào guān
斜坡,xiépō,xiépō,xié pō
养家,yǎngjiā,yǎngjiā,yǎng jiā
牧草,mùcǎo,mùcǎo,mù cǎo
承运,chéngyùn,chéngyùn,chéng yùn
收据,shōujù,shōujù,shōu jù
喜气洋洋,xǐqì-yángyáng,xǐqì yángyáng,xǐ qì yáng yáng
深思熟虑,shēnsī-shúlǜ,shēnsī shúlǜ,shēn sī shú lǜ
大动脉,dàdòngmài,dàdòngmài,dà dòng mài
吹嘘,chuīxū,chuīxū,chuī xū
即位,jíwèi,jíwèi,jí wèi
依恋,yīliàn,yīliàn,yī liàn
偏好,piānhào,piānhào,piān hào
悬赏,xuánshǎng,xuánshǎng,xuán shǎng
时钟,shízhōng,shízhōng,shí zhōng
招展,zhāozhǎn,zhāozhǎn,zhāo zhǎn
云天,yúntiān,yúntiān,yún tiān
惊吓,jīngxià,jīngxià,jīng xià
由此看来,yóucǐ-kànlái,yóucǐ kànlái,yóu cǐ kàn lái
思辨,sībiàn,sībiàn,sī biàn
讲义,jiǎngyì,jiǎngyì,jiǎng yì
净水,jìngshuǐ,jìngshuǐ,jìng shuǐ
集子,jízi,jízi,jí zi
口述,kǒushù,kǒushù,kǒu shù
摊主,tānzhǔ,tānzhǔ,tān zhǔ
津津有味,jīnjīn-yǒuwèi,jīnjīn yǒuwèi,jīn jīn yǒu wèi
隐含,yǐnhán,yǐnhán,yǐn hán
严守,yánshǒu,yánshǒu,yán shǒu
年检,niánjiǎn,niánjiǎn,nián jiǎn
隔阂,géhé,géhé,gé hé
有增无减,yǒuzēng-wújiǎn,yǒuzēng wújiǎn,yǒu zēng wú jiǎn
理想主义,lǐxiǎng zhǔyì,lǐxiǎng zhǔyì,lǐ xiǎng zhǔ yì
生态旅游,shēngtài lǚyóu,shēngtài lǚyóu,shēng tài lǚ yóu
敲定,qiāodìng,qiāodìng,qiāo dìng
失修,shīxiū,shīxiū,shī xiū
中子,zhōngzǐ,zhōngzǐ,zhōng zǐ
冰雹,bīngbáo,bīngbáo,bīng báo
叛逆,pànnì,pànnì,pàn nì
小球,xiǎoqiú,xiǎoqiú,xiǎo qiú
影印,yǐngyìn,yǐngyìn,yǐng yìn
九州,jiǔzhōu,jiǔzhōu,jiǔ zhōu
暴躁,bàozào,bàozào,bào zào
折服,zhéfú,zhéfú,zhé fú
奖品,jiǎngpǐn,jiǎngpǐn,jiǎng pǐn
可变,kěbiàn,kěbiàn,kě biàn
吐露,tǔlù,tǔlù,tǔ lù
静坐,jìngzuò,jìngzuò,jìng zuò
失手,shīshǒu,shīshǒu,shī shǒu
始终不渝,shǐzhōng-bùyú,shǐzhōng bùyú,shǐ zhōng bù yú
功用,gōngyòng,gōngyòng,gōng yòng
婆子,pózi,pózi,pó zi
按理,ànlǐ,ànlǐ,àn lǐ
村寨,cūnzhài,cūnzhài,cūn zhài
马铃薯,mǎlíngshǔ,mǎlíngshǔ,mǎ líng shǔ
浇灌,jiāoguàn,jiāoguàn,jiāo guàn
五指,wǔzhǐ,wǔzhǐ,wǔ zhǐ
放肆,fàngsì,fàngsì,fàng sì
拖鞋,tuōxié,tuōxié,tuō xié
颂扬,sòngyáng,sòngyáng,sòng yáng
货主,huòzhǔ,huòzhǔ,huò zhǔ
窘迫,jiǒngpò,jiǒngpò,jiǒng pò
本来面目,běnlái miànmù,běnlái miànmù,běn lái miàn mù
猎物,lièwù,lièwù,liè wù
营区,yíngqū,yíngqū,yíng qū
棕榈,zōnglǘ,zōnglǘ,zōng lǘ
纬度,wěidù,wěidù,wěi dù
山药,shānyao,shānyao,shān yao
弯路,wānlù,wānlù,wān lù
企业所得税,qǐyè suǒdéshuì,qǐyè suǒdéshuì,qǐ yè suǒ dé shuì
芒果,mángguǒ,mángguǒ,máng guǒ
哀伤,āishāng,āishāng,āi shāng
高端,gāoduān,gāoduān,gāo duān
皇室,huángshì,huángshì,huáng shì
评语,píngyǔ,píngyǔ,píng yǔ
受检,shòujiǎn,shòujiǎn,shòu jiǎn
派头,pàitóu,pàitóu,pài tóu
急匆匆,jícōngcōng,jícōngcōng,jí cōng cōng
速率,sùlǜ,sùlǜ,sù lǜ
茶话会,cháhuàhuì,cháhuàhuì,chá huà huì
迷茫,mímáng,mímáng,mí máng
游离,yóulí,yóulí,yóu lí
茄子,qiézi,qiézi,qié zi
长程,chángchéng,chángchéng,cháng chéng
