term,pinyin,cleaned_pinyin
旁征博引,pángzhēng-bóyǐn,pángzhēng bóyǐn
侨汇,qiáohuì,qiáohuì
丧偶,sàng'ǒu,sàng ǒu
填表,tiánbiǎo,tiánbiǎo
冒死,màosǐ,màosǐ
够朋友,gòupéngyou,gòupéngyou
苦行僧,kǔxíngsēng,kǔxíngsēng
流星雨,liúxīngyǔ,liúxīngyǔ
瘾君子,yǐnjūnzǐ,yǐnjūnzǐ
影碟机,yǐngdiéjī,yǐngdiéjī
裂化,lièhuà,lièhuà
偷拍,tōupāi,tōupāi
瓜农,guānóng,guānóng
对襟,duìjīn,duìjīn
屋宇,wūyǔ,wūyǔ
枯槁,kūgǎo,kūgǎo
类聚,lèijù,lèijù
砾石,lìshí,lìshí
开小差,kāixiǎochāi,kāixiǎochāi
一骨碌,yīgūlu,yīgūlu
飞鱼,fēiyú,fēiyú
强压,qiángyā,qiángyā
营私舞弊,yíngsī-wǔbì,yíngsī wǔbì
火塘,huǒtáng,huǒtáng
简章,jiǎnzhāng,jiǎnzhāng
水槽,shuǐcáo,shuǐcáo
遭逢,zāoféng,zāoféng
霜冻,shuāngdòng,shuāngdòng
司乘人员,sī-chéng rényuán,sī chéng rényuán
刀光剑影,dāoguāng-jiànyǐng,dāoguāng jiànyǐng
油盐酱醋,yóu-yán-jiàng-cù,yóu yán jiàng cù
满满当当,mǎnmǎn-dāngdāng,mǎnmǎn dāngdāng
不堪入目,bùkān-rùmù,bùkān rùmù
情投意合,qíngtóu-yìhé,qíngtóu yìhé
传宗接代,chuánzōng-jiēdài,chuánzōng jiēdài
落花流水,luòhuā-liúshuǐ,luòhuā liúshuǐ
爆炒,bàochǎo,bàochǎo
知遇,zhīyù,zhīyù
喜报,xǐbào,xǐbào
设摊,shètān,shètān
恶言,èyán,èyán
簿记,bùjì,bùjì
赶场,gǎnchǎng,gǎnchǎng
监票,jiānpiào,jiānpiào
音系,yīnxì,yīnxì
闸口,zhákǒu,zhákǒu
异类,yìlèi,yìlèi
概貌,gàimào,gàimào
制表,zhìbiǎo,zhìbiǎo
除弊,chúbì,chúbì
钻心,zuānxīn,zuānxīn
鬓发,bìnfà,bìnfà
阡陌,qiānmò,qiānmò
老派,lǎopài,lǎopài
痞子,pǐzi,pǐzi
原种,yuánzhǒng,yuánzhǒng
随缘,suíyuán,suíyuán
妄言,wàngyán,wàngyán
竹编,zhúbiān,zhúbiān
畅想,chàngxiǎng,chàngxiǎng
酒色,jiǔsè,jiǔsè
白道,báidào,báidào
挠头,náotóu,náotóu
预购,yùgòu,yùgòu
马蜂,mǎfēng,mǎfēng
沃野,wòyě,wòyě
板结,bǎnjié,bǎnjié
下市,xiàshì,xiàshì
面面观,miànmiànguān,miànmiànguān
粗加工,cūjiāgōng,cūjiāgōng
下半夜,xiàbànyè,xiàbànyè
文字狱,wénzìyù,wénzìyù
驱动器,qūdòngqì,qūdòngqì
胆结石,dǎnjiéshí,dǎnjiéshí
帝王将相,dìwáng-jiàngxiàng,dìwáng jiàngxiàng
问长问短,wèncháng-wènduǎn,wèncháng wènduǎn
载重量,zàizhòngliàng,zàizhòngliàng
墙报,qiángbào,qiángbào
喷头,pēntóu,pēntóu
重责,zhòngzé,zhòngzé
兵书,bīngshū,bīngshū
仇杀,chóushā,chóushā
闺房,guīfáng,guīfáng
积德,jīdé,jīdé
画刊,huàkān,huàkān
光溜,guāngliu,guāngliu
什锦,shíjǐn,shíjǐn
