term,pinyin,cleaned_pinyin
放量,fàngliàng,fàngliàng
逼人,bīrén,bīrén
偏远,piānyuǎn,piānyuǎn
日均,rìjūn,rìjūn
末期,mòqī,mòqī
军备,jūnbèi,jūnbèi
政治体制,zhèngzhì tǐzhì,zhèngzhì tǐzhì
实战,shízhàn,shízhàn
可想而知,kěxiǎng'érzhī,kěxiǎng érzhī
下届,xiàjiè,xiàjiè
过热,guòrè,guòrè
收割,shōugē,shōugē
推断,tuīduàn,tuīduàn
甜蜜,tiánmì,tiánmì
搭建,dājiàn,dājiàn
饱和,bǎohé,bǎohé
独裁,dúcái,dúcái
大本营,dàběnyíng,dàběnyíng
不以为然,bùyǐwéirán,bùyǐwéirán
心得,xīndé,xīndé
失衡,shīhéng,shīhéng
和议,héyì,héyì
弄虚作假,nòngxū-zuòjiǎ,nòngxū zuòjiǎ
停车场,tíngchēchǎng,tíngchēchǎng
保护人,bǎohùrén,bǎohùrén
发病率,fābìnglǜ,fābìnglǜ
手足,shǒuzú,shǒuzú
丛林,cónglín,cónglín
女朋友,nǚpéngyou,nǚpéngyou
来之不易,láizhībùyì,láizhībùyì
许诺,xǔnuò,xǔnuò
致函,zhìhán,zhìhán
翻阅,fānyuè,fānyuè
强制性,qiángzhìxìng,qiángzhìxìng
形而上,xíng'érshàng,xíng érshàng
见义勇为,jiànyì-yǒngwéi,jiànyì yǒngwéi
非得,fēiděi,fēiděi
到场,dàochǎng,dàochǎng
估量,gūliáng,gūliáng
忘掉,wàngdiào,wàngdiào
选派,xuǎnpài,xuǎnpài
校舍,xiàoshè,xiàoshè
生产方式,shēngchǎn fāngshì,shēngchǎn fāngshì
盘子,pánzi,pánzi
断绝,duànjué,duànjué
快步,kuàibù,kuàibù
增援,zēngyuán,zēngyuán
稀少,xīshǎo,xīshǎo
圣人,shèngrén,shèngrén
综合利用,zōnghé lìyòng,zōnghé lìyòng
母子,mǔzǐ,mǔzǐ
前卫,qiánwèi,qiánwèi
勋章,xūnzhāng,xūnzhāng
不约而同,bùyuē'értóng,bùyuē értóng
残余,cányú,cányú
民居,mínjū,mínjū
饭馆,fànguǎn,fànguǎn
工作日,gōngzuòrì,gōngzuòrì
会当,huìdāng,huìdāng
主攻,zhǔgōng,zhǔgōng
税法,shuìfǎ,shuìfǎ
对称,duìchèn,duìchèn
歌词,gēcí,gēcí
报仇,bàochóu,bàochóu
新婚,xīnhūn,xīnhūn
饱满,bǎomǎn,bǎomǎn
家子,jiāzi,jiāzi
立功,lìgōng,lìgōng
尘土,chéntǔ,chéntǔ
天色,tiānsè,tiānsè
处女,chǔnǚ,chǔnǚ
真空,zhēnkōng,zhēnkōng
核试验,héshìyàn,héshìyàn
剧增,jùzēng,jùzēng
简要,jiǎnyào,jiǎnyào
试探,shìtàn,shìtàn
试探,shìtan,shìtan
攻读,gōngdú,gōngdú
课本,kèběn,kèběn
勘察,kānchá,kānchá
真实性,zhēnshíxìng,zhēnshíxìng
分批,fēnpī,fēnpī
屠宰,túzǎi,túzǎi
宝山,bǎoshān,bǎoshān
头皮,tóupí,tóupí
加倍,jiābèi,jiābèi
特种部队,tèzhǒng bùduì,tèzhǒng bùduì
环境监测,huánjìng jiāncè,huánjìng jiāncè
装配,zhuāngpèi,zhuāngpèi
惯性,guànxìng,guànxìng
举手,jǔshǒu,jǔshǒu
直观,zhíguān,zhíguān
彩虹,cǎihóng,cǎihóng
民主集中制,mínzhǔ jízhōngzhì,mínzhǔ jízhōngzhì
通商,tōngshāng,tōngshāng
文史,wénshǐ,wénshǐ
宪兵,xiànbīng,xiànbīng
虫害,chónghài,chónghài
繁衍,fányǎn,fányǎn
芭蕾舞,bālěiwǔ,bālěiwǔ
猴子,hóuzi,hóuzi
招待所,zhāodàisuǒ,zhāodàisuǒ
小车,xiǎochē,xiǎochē
给以,gěiyǐ,gěiyǐ
金矿,jīnkuàng,jīnkuàng
错综,cuòzōng,cuòzōng
星光,xīngguāng,xīngguāng
到访,dàofǎng,dàofǎng
推选,tuīxuǎn,tuīxuǎn
基石,jīshí,jīshí
电灯,diàndēng,diàndēng
苗族,miáozú,miáozú
受阻,shòuzǔ,shòuzǔ
中坚,zhōngjiān,zhōngjiān
锣鼓,luógǔ,luógǔ
信奉,xìnfèng,xìnfèng
山口,shānkǒu,shānkǒu
流转,liúzhuǎn,liúzhuǎn
麻痹,mábì,mábì
诗文,shīwén,shīwén
恭敬,gōngjìng,gōngjìng
击剑,jījiàn,jījiàn
酋长,qiúzhǎng,qiúzhǎng
商议,shāngyì,shāngyì
天体,tiāntǐ,tiāntǐ
暗自,ànzì,ànzì
电源,diànyuán,diànyuán
收成,shōucheng,shōucheng
好汉,hǎohàn,hǎohàn
庸俗,yōngsú,yōngsú
应运而生,yìngyùn'érshēng,yìngyùn érshēng
情不自禁,qíngbùzìjīn,qíngbùzìjīn
风浪,fēnglàng,fēnglàng
征地,zhēngdì,zhēngdì
淡化,dànhuà,dànhuà
特殊性,tèshūxìng,tèshūxìng
抗争,kàngzhēng,kàngzhēng
广度,guǎngdù,guǎngdù
连环,liánhuán,liánhuán
倒退,dàotuì,dàotuì
皮革,pígé,pígé
袋子,dàizi,dàizi
接班,jiēbān,jiēbān
立交,lìjiāo,lìjiāo
歌星,gēxīng,gēxīng
赖以,làiyǐ,làiyǐ
低级,dījí,dījí
置信,zhìxìn,zhìxìn
老兵,lǎobīng,lǎobīng
明月,míngyuè,míngyuè
剩余劳动,shèngyú láodòng,shèngyú láodòng
通告,tōnggào,tōnggào
宝库,bǎokù,bǎokù
来生,láishēng,láishēng
核能,hénéng,hénéng
立志,lìzhì,lìzhì
华表,huábiǎo,huábiǎo
萧条,xiāotiáo,xiāotiáo
虚拟,xūnǐ,xūnǐ
驱逐舰,qūzhújiàn,qūzhújiàn
复发,fùfā,fùfā
方法论,fāngfǎlùn,fāngfǎlùn
憧憬,chōngjǐng,chōngjǐng
作曲家,zuòqǔjiā,zuòqǔjiā
对峙,duìzhì,duìzhì
凄凉,qīliáng,qīliáng
不拘,bùjū,bùjū
家信,jiāxìn,jiāxìn
经济犯罪,jīngjì fànzuì,jīngjì fànzuì
乡土,xiāngtǔ,xiāngtǔ
支流,zhīliú,zhīliú
菊花,júhuā,júhuā
一般来说,yībānláishuō,yībānláishuō
稿子,gǎozi,gǎozi
排忧,páiyōu,páiyōu
洋人,yángrén,yángrén
降幅,jiàngfú,jiàngfú
绿色食品,lǜsè shípǐn,lǜsè shípǐn
铲除,chǎnchú,chǎnchú
成片,chéngpiàn,chéngpiàn
总工程师,zǒnggōngchéngshī,zǒnggōngchéngshī
崇敬,chóngjìng,chóngjìng
沼泽,zhǎozé,zhǎozé
冷酷,lěngkù,lěngkù
庆幸,qìngxìng,qìngxìng
英俊,yīngjùn,yīngjùn
草场,cǎochǎng,cǎochǎng
鉴赏,jiànshǎng,jiànshǎng
后门,hòumén,hòumén
区区,qūqū,qūqū
医疗队,yīliáoduì,yīliáoduì
姊妹,zǐmèi,zǐmèi
来历,láilì,láilì
春耕,chūngēng,chūngēng
白地,báidì,báidì
羊城,yángchéng,yángchéng
择优,zéyōu,zéyōu
精深,jīngshēn,jīngshēn
荣幸,róngxìng,róngxìng
赛程,sàichéng,sàichéng
情结,qíngjié,qíngjié
名下,míngxià,míngxià
上调,shàngdiào,shàngdiào
上调,shàngtiáo,shàngtiáo
寺庙,sìmiào,sìmiào
想念,xiǎngniàn,xiǎngniàn
正统,zhèngtǒng,zhèngtǒng
共事,gòngshì,gòngshì
后裔,hòuyì,hòuyì
合时,héshí,héshí
责成,zéchéng,zéchéng
平生,píngshēng,píngshēng
建党,jiàndǎng,jiàndǎng
新潮,xīncháo,xīncháo
对子,duìzi,duìzi
下流,xiàliú,xiàliú
蕴含,yùnhán,yùnhán
五星红旗,wǔxīng hóngqí,wǔxīng hóngqí
零星,língxīng,língxīng
电影院,diànyǐngyuàn,diànyǐngyuàn
违禁,wéijìn,wéijìn
梦幻,mènghuàn,mènghuàn
近于,jìnyú,jìnyú
调料,tiáoliào,tiáoliào
家用电器,jiāyòng diànqì,jiāyòng diànqì
黑社会,hēishèhuì,hēishèhuì
莫大,mòdà,mòdà
相貌,xiàngmào,xiàngmào
死伤,sǐshāng,sǐshāng
国难,guónàn,guónàn
编纂,biānzuǎn,biānzuǎn
样式,yàngshì,yàngshì
两样,liǎngyàng,liǎngyàng
辞典,cídiǎn,cídiǎn
信箱,xìnxiāng,xìnxiāng
弹道,dàndào,dàndào
元月,yuányuè,yuányuè
照例,zhàolì,zhàolì
兼备,jiānbèi,jiānbèi
来去,láiqù,láiqù
联名,liánmíng,liánmíng
但见,dànjiàn,dànjiàn
日月,rìyuè,rìyuè
腾腾,téngténg,téngténg
人命,rénmìng,rénmìng
助长,zhùzhǎng,zhùzhǎng
个人所得税,gèrén suǒdéshuì,gèrén suǒdéshuì
照射,zhàoshè,zhàoshè
光泽,guāngzé,guāngzé
怜悯,liánmǐn,liánmǐn
前天,qiántiān,qiántiān
酿成,niàngchéng,niàngchéng
先例,xiānlì,xiānlì
观望,guānwàng,guānwàng
挥舞,huīwǔ,huīwǔ
山羊,shānyáng,shānyáng
同声,tóngshēng,tóngshēng
根基,gēnjī,gēnjī
分说,fēnshuō,fēnshuō
拉力,lālì,lālì
出局,chūjú,chūjú
造假,zàojiǎ,zàojiǎ
零件,língjiàn,língjiàn
头版,tóubǎn,tóubǎn
法拉,fǎlā,fǎlā
反面,fǎnmiàn,fǎnmiàn
封建社会,fēngjiàn shèhuì,fēngjiàn shèhuì
本本,běnběn,běnběn
展厅,zhǎntīng,zhǎntīng
东经,dōngjīng,dōngjīng
直通,zhítōng,zhítōng
持枪,chíqiāng,chíqiāng
灰尘,huīchén,huīchén
有色金属,yǒusè jīnshǔ,yǒusè jīnshǔ
传销,chuánxiāo,chuánxiāo
胜任,shèngrèn,shèngrèn
隔绝,géjué,géjué
刻画,kèhuà,kèhuà
品行,pǐnxíng,pǐnxíng
学名,xuémíng,xuémíng
传统产业,chuántǒngchǎnyè,chuántǒngchǎnyè
自已,zìyǐ,zìyǐ
一大早,yīdàzǎo,yīdàzǎo
房改,fánggǎi,fánggǎi
独生,dúshēng,dúshēng
众说,zhòngshuō,zhòngshuō
守护,shǒuhù,shǒuhù
百科全书,bǎikē quánshū,bǎikē quánshū
亲临,qīnlín,qīnlín
热量,rèliàng,rèliàng
背影,bèiyǐng,bèiyǐng
照耀,zhàoyào,zhàoyào
光电,guāngdiàn,guāngdiàn
光顾,guānggù,guānggù
星球,xīngqiú,xīngqiú
好过,hǎoguò,hǎoguò
干群,gànqún,gànqún
调味,tiáowèi,tiáowèi
杠杆,gànggǎn,gànggǎn
跃居,yuèjū,yuèjū
受挫,shòucuò,shòucuò
国手,guóshǒu,guóshǒu
爆竹,bàozhú,bàozhú
虚伪,xūwěi,xūwěi
上火,shànghuǒ,shànghuǒ
蚂蚁,mǎyǐ,mǎyǐ
潜水,qiánshuǐ,qiánshuǐ
杂文,záwén,záwén
同业,tóngyè,tóngyè
诱发,yòufā,yòufā
书目,shūmù,shūmù
片子,piànzi,piànzi
片子,piānzi,piānzi
评说,píngshuō,píngshuō
要事,yàoshì,yàoshì
震灾,zhènzāi,zhènzāi
银幕,yínmù,yínmù
小于,xiǎoyú,xiǎoyú
登台,dēngtái,dēngtái
山峰,shānfēng,shānfēng
西边,xībian,xībian
些个,xiēge,xiēge
享乐,xiǎnglè,xiǎnglè
坦然,tǎnrán,tǎnrán
自负盈亏,zìfù yíngkuī,zìfù yíngkuī
冷水,lěngshuǐ,lěngshuǐ
买方,mǎifāng,mǎifāng
觉察,juéchá,juéchá
便了,biànliǎo,biànliǎo
工业品,gōngyèpǐn,gōngyèpǐn
不正当竞争,bùzhèngdàng jìngzhēng,bùzhèngdàng jìngzhēng
尾声,wěishēng,wěishēng
分列,fēnliè,fēnliè
大环境,dàhuánjìng,dàhuánjìng
阴暗,yīn'àn,yīn àn
英尺,yīngchǐ,yīngchǐ
饰品,shìpǐn,shìpǐn
查找,cházhǎo,cházhǎo
先导,xiāndǎo,xiāndǎo
威望,wēiwàng,wēiwàng
衰落,shuāiluò,shuāiluò
吃力,chīlì,chīlì
狐狸,húli,húli
迟早,chízǎo,chízǎo
提炼,tíliàn,tíliàn
寄予,jìyǔ,jìyǔ
协办,xiébàn,xiébàn
辩解,biànjiě,biànjiě
骚扰,sāorǎo,sāorǎo
嫌疑犯,xiányífàn,xiányífàn
竞争机制,jìngzhēng jīzhì,jìngzhēng jīzhì
文凭,wénpíng,wénpíng
主动权,zhǔdòngquán,zhǔdòngquán
主产,zhǔchǎn,zhǔchǎn
牛顿,niúdùn,niúdùn
降级,jiàngjí,jiàngjí
堂堂,tángtáng,tángtáng
规程,guīchéng,guīchéng
重振,chóngzhèn,chóngzhèn
不值得,bùzhíde,bùzhíde
反攻,fǎngōng,fǎngōng
晶体,jīngtǐ,jīngtǐ
右派,yòupài,yòupài
生态系统,shēngtài xìtǒng,shēngtài xìtǒng
外加,wàijiā,wàijiā
影像,yǐngxiàng,yǐngxiàng
埋伏,máifú,máifú
说和,shuōhe,shuōhe
行署,xíngshǔ,xíngshǔ
杂志社,zázhìshè,zázhìshè
札记,zhájì,zhájì
逗留,dòuliú,dòuliú
小便,xiǎobiàn,xiǎobiàn
断裂,duànliè,duànliè
飞扬,fēiyáng,fēiyáng
繁育,fányù,fányù
傲慢,àomàn,àomàn
单个儿,dāngèr,dāngèr
查验,cháyàn,cháyàn
市电,shìdiàn,shìdiàn
报人,bàorén,bàorén
游记,yóujì,yóujì
谋划,móuhuà,móuhuà
破案,pò'àn,pò àn
用量,yòngliàng,yòngliàng
物产,wùchǎn,wùchǎn
眼花,yǎnhuā,yǎnhuā
连锁店,liánsuǒdiàn,liánsuǒdiàn
涉足,shèzú,shèzú
立业,lìyè,lìyè
孔雀,kǒngquè,kǒngquè
置疑,zhìyí,zhìyí
车头,chētóu,chētóu
总领事,zǒnglǐngshì,zǒnglǐngshì
敬佩,jìngpèi,jìngpèi
反应堆,fǎnyìngduī,fǎnyìngduī
尚书,shàngshū,shàngshū
解读,jiědú,jiědú
不愧,bùkuì,bùkuì
悲壮,bēizhuàng,bēizhuàng
清澈,qīngchè,qīngchè
冷却,lěngquè,lěngquè
配偶,pèi'ǒu,pèi ǒu
二氧化硫,èryǎnghuàliú,èryǎnghuàliú
成问题,chéngwèntí,chéngwèntí
强壮,qiángzhuàng,qiángzhuàng
相交,xiāngjiāo,xiāngjiāo
熄灭,xīmiè,xīmiè
冰球,bīngqiú,bīngqiú
前头,qiántou,qiántou
下挫,xiàcuò,xiàcuò
遗嘱,yízhǔ,yízhǔ
检阅,jiǎnyuè,jiǎnyuè
兴衰,xīngshuāi,xīngshuāi
凶猛,xiōngměng,xiōngměng
过道,guòdào,guòdào
签发,qiānfā,qiānfā
外务,wàiwù,wàiwù
重金,zhòngjīn,zhòngjīn
雇主,gùzhǔ,gùzhǔ
呵呵,hēhē,hēhē
盛名,shèngmíng,shèngmíng
白领,báilǐng,báilǐng
高位,gāowèi,gāowèi
行市,hángshi,hángshi
光缆,guānglǎn,guānglǎn
下榻,xiàtà,xiàtà
新学,xīnxué,xīnxué
坚硬,jiānyìng,jiānyìng
谢意,xièyì,xièyì
大理石,dàlǐshí,dàlǐshí
细微,xìwēi,xìwēi
畸形,jīxíng,jīxíng
唤醒,huànxǐng,huànxǐng
雪花,xuěhuā,xuěhuā
统计表,tǒngjìbiǎo,tǒngjìbiǎo
走时,zǒushí,zǒushí
夏日,xiàrì,xiàrì
可靠性,kěkàoxìng,kěkàoxìng
射线,shèxiàn,shèxiàn
户籍,hùjí,hùjí
两极,liǎngjí,liǎngjí
心疼,xīnténg,xīnténg
隆隆,lónglóng,lónglóng
光滑,guānghuá,guānghuá
螺旋,luóxuán,luóxuán
月球,yuèqiú,yuèqiú
小分队,xiǎofēnduì,xiǎofēnduì
中常,zhōngcháng,zhōngcháng
叮嘱,dīngzhǔ,dīngzhǔ
补给,bǔjǐ,bǔjǐ
谢绝,xièjué,xièjué
波及,bōjí,bōjí
麻醉,mázuì,mázuì
点火,diǎnhuǒ,diǎnhuǒ
光学,guāngxué,guāngxué
欺负,qīfu,qīfu
攻占,gōngzhàn,gōngzhàn
纪行,jìxíng,jìxíng
车型,chēxíng,chēxíng
澳洲,àozhōu,àozhōu
肖像,xiàoxiàng,xiàoxiàng
排忧解难,páiyōu-jiěnán,páiyōu jiěnán
排忧解难,páiyōu-jiěnàn,páiyōu jiěnàn
报业,bàoyè,bàoyè
知了,zhīliǎo,zhīliǎo
程式,chéngshì,chéngshì
揭发,jiēfā,jiēfā
上相,shàngxiàng,shàngxiàng
杯子,bēizi,bēizi
摄像机,shèxiàngjī,shèxiàngjī
连续剧,liánxùjù,liánxùjù
放置,fàngzhì,fàngzhì
登场,dēngchǎng,dēngchǎng
登场,dēngcháng,dēngcháng
触及,chùjí,chùjí
领悟,lǐngwù,lǐngwù
诸位,zhūwèi,zhūwèi
反问,fǎnwèn,fǎnwèn
门联,ménlián,ménlián
千秋,qiānqiū,qiānqiū
入库,rùkù,rùkù
门下,ménxià,ménxià
孕妇,yùnfù,yùnfù
而立,érlì,érlì
商检,shāngjiǎn,shāngjiǎn
不苟,bùgǒu,bùgǒu
诧异,chàyì,chàyì
同乡,tóngxiāng,tóngxiāng
坍塌,tāntā,tāntā
排污,páiwū,páiwū
严防,yánfáng,yánfáng
大街小巷,dàjiē-xiǎoxiàng,dàjiē xiǎoxiàng
发亮,fāliàng,fāliàng
结尾,jiéwěi,jiéwěi
包容,bāoróng,bāoróng
生性,shēngxìng,shēngxìng
文传,wénchuán,wénchuán
标兵,biāobīng,biāobīng
航空母舰,hángkōng mǔjiàn,hángkōng mǔjiàn
容貌,róngmào,róngmào
相爱,xiāng'ài,xiāng ài
一条街,yītiáojiē,yītiáojiē
样本,yàngběn,yàngběn
主帅,zhǔshuài,zhǔshuài
享年,xiǎngnián,xiǎngnián
书录,shūlù,shūlù
保养,bǎoyǎng,bǎoyǎng
全套,quántào,quántào
直言,zhíyán,zhíyán
手头,shǒutóu,shǒutóu
精选,jīngxuǎn,jīngxuǎn
叛乱,pànluàn,pànluàn
扩充,kuòchōng,kuòchōng
殴打,ōudǎ,ōudǎ
开市,kāishì,kāishì
噪音,zàoyīn,zàoyīn
技术性,jìshùxìng,jìshùxìng
微小,wēixiǎo,wēixiǎo
棘手,jíshǒu,jíshǒu
来者,láizhě,láizhě
盎然,àngrán,àngrán
用事,yòngshì,yòngshì
求新,qiúxīn,qiúxīn
做文章,zuòwénzhāng,zuòwénzhāng
联结,liánjié,liánjié
暖和,nuǎnhuo,nuǎnhuo
下下,xiàxià,xiàxià
相依,xiāngyī,xiāngyī
专案,zhuān'àn,zhuān àn
业外,yèwài,yèwài
残留,cánliú,cánliú
早饭,zǎofàn,zǎofàn
瓷器,cíqì,cíqì
人品,rénpǐn,rénpǐn
兢兢,jīngjīng,jīngjīng
脚印,jiǎoyìn,jiǎoyìn
合营,héyíng,héyíng
勘查,kānchá,kānchá
喝道,hèdào,hèdào
人才市场,réncái shìchǎng,réncái shìchǎng
治水,zhìshuǐ,zhìshuǐ
舍得,shěde,shěde
手套,shǒutào,shǒutào
上头,shàngtou,shàngtou
上头,shàngtóu,shàngtóu
自营,zìyíng,zìyíng
打通,dǎtōng,dǎtōng
疙瘩,gēda,gēda
贺信,hèxìn,hèxìn
那会儿,nàhuìr,nàhuìr
特邀,tèyāo,tèyāo
归宿,guīsù,guīsù
触动,chùdòng,chùdòng
包机,bāojī,bāojī
诚然,chéngrán,chéngrán
京郊,jīngjiāo,jīngjiāo
狡猾,jiǎohuá,jiǎohuá
壮年,zhuàngnián,zhuàngnián
方圆,fāngyuán,fāngyuán
牵涉,qiānshè,qiānshè
讲求,jiǎngqiú,jiǎngqiú
民情,mínqíng,mínqíng
黄瓜,huángguā,huángguā
从重,cóngzhòng,cóngzhòng
拉丁美洲,lādīng měizhōu,lādīng měizhōu
租用,zūyòng,zūyòng
场次,chǎngcì,chǎngcì
免于,miǎnyú,miǎnyú
核定,hédìng,hédìng
哆嗦,duōsuo,duōsuo
谈心,tánxīn,tánxīn
视力,shìlì,shìlì
书包,shūbāo,shūbāo
欢庆,huānqìng,huānqìng
真人,zhēnrén,zhēnrén
贪婪,tānlán,tānlán
更名,gēngmíng,gēngmíng
卖淫,màiyín,màiyín
裁减,cáijiǎn,cáijiǎn
得名,démíng,démíng
矿泉水,kuàngquánshuǐ,kuàngquánshuǐ
终日,zhōngrì,zhōngrì
急速,jísù,jísù
国界,guójiè,guójiè
铁矿,tiěkuàng,tiěkuàng
西文,xīwén,xīwén
自幼,zìyòu,zìyòu
统观,tǒngguān,tǒngguān
交融,jiāoróng,jiāoróng
勤政,qínzhèng,qínzhèng
汇总,huìzǒng,huìzǒng
外流,wàiliú,wàiliú
学部,xuébù,xuébù
地盘,dìpán,dìpán
初具规模,chūjùguīmó,chūjùguīmó
八分,bāfēn,bāfēn
罗布,luóbù,luóbù
新知,xīnzhī,xīnzhī
庆贺,qìnghè,qìnghè
修筑,xiūzhù,xiūzhù
外衣,wàiyī,wàiyī
摘取,zhāiqǔ,zhāiqǔ
投保,tóubǎo,tóubǎo
湿润,shīrùn,shīrùn
合约,héyuē,héyuē
苦战,kǔzhàn,kǔzhàn
盘旋,pánxuán,pánxuán
水系,shuǐxì,shuǐxì
和蔼,hé'ǎi,hé ǎi
受苦,shòukǔ,shòukǔ
重叠,chóngdié,chóngdié
衍生,yǎnshēng,yǎnshēng
史书,shǐshū,shǐshū
静止,jìngzhǐ,jìngzhǐ
强势,qiángshì,qiángshì
语调,yǔdiào,yǔdiào
专政,zhuānzhèng,zhuānzhèng
终场,zhōngchǎng,zhōngchǎng
军校,jūnxiào,jūnxiào
分文,fēnwén,fēnwén
序言,xùyán,xùyán
印度洋,yìndùyáng,yìndùyáng
了得,liǎodé,liǎodé
惭愧,cánkuì,cánkuì
野战,yězhàn,yězhàn
沉痛,chéntòng,chéntòng
融化,rónghuà,rónghuà
雄风,xióngfēng,xióngfēng
参看,cānkàn,cānkàn
超常,chāocháng,chāocháng
附件,fùjiàn,fùjiàn
二氧化碳,èryǎnghuàtàn,èryǎnghuàtàn
引擎,yǐnqíng,yǐnqíng
棉纺,miánfǎng,miánfǎng
工作量,gōngzuòliàng,gōngzuòliàng
看台,kàntái,kàntái
编排,biānpái,biānpái
灯笼,dēnglong,dēnglong
机智,jīzhì,jīzhì
牵连,qiānlián,qiānlián
速成,sùchéng,sùchéng
长廊,chángláng,chángláng
亚于,yàyú,yàyú
绿洲,lǜzhōu,lǜzhōu
少校,shàoxiào,shàoxiào
辛亥革命,xīnhài gémìng,xīnhài gémìng
气概,qìgài,qìgài
差错,chācuò,chācuò
撰文,zhuànwén,zhuànwén
相邻,xiānglín,xiānglín
口占,kǒuzhàn,kǒuzhàn
反差,fǎnchā,fǎnchā
阐释,chǎnshì,chǎnshì
牲口,shēngkou,shēngkou
盛开,shèngkāi,shèngkāi
压低,yādī,yādī
平房,píngfáng,píngfáng
征战,zhēngzhàn,zhēngzhàn
再生产,zàishēngchǎn,zàishēngchǎn
中意,zhòngyì,zhòngyì
儿媳,érxí,érxí
参见,cānjiàn,cānjiàn
灵活性,línghuóxìng,línghuóxìng
当兵,dāngbīng,dāngbīng
清风,qīngfēng,qīngfēng
伤感,shānggǎn,shānggǎn
莫非,mòfēi,mòfēi
资质,zīzhì,zīzhì
样板,yàngbǎn,yàngbǎn
淫秽,yínhuì,yínhuì
欢聚,huānjù,huānjù
警力,jǐnglì,jǐnglì
收养,shōuyǎng,shōuyǎng
厨师,chúshī,chúshī
风范,fēngfàn,fēngfàn
共存,gòngcún,gòngcún
成天,chéngtiān,chéngtiān
染色,rǎnsè,rǎnsè
兴隆,xīnglóng,xīnglóng
充斥,chōngchì,chōngchì
捕捞,bǔlāo,bǔlāo
社会活动,shèhuì huódòng,shèhuì huódòng
心安,xīn'ān,xīn ān
领事馆,lǐngshìguǎn,lǐngshìguǎn
酒会,jiǔhuì,jiǔhuì
言表,yánbiǎo,yánbiǎo
获救,huòjiù,huòjiù
旋风,xuànfēng,xuànfēng
路网,lùwǎng,lùwǎng
容器,róngqì,róngqì
一干,yīgān,yīgān
一并,yībìng,yībìng
北非,běifēi,běifēi
废止,fèizhǐ,fèizhǐ
活生生,huóshēngshēng,huóshēngshēng
发式,fàshì,fàshì
摊子,tānzi,tānzi
闪耀,shǎnyào,shǎnyào
松懈,sōngxiè,sōngxiè
冷门,lěngmén,lěngmén
出游,chūyóu,chūyóu
鲜红,xiānhóng,xiānhóng
票房,piàofáng,piàofáng
主战,zhǔzhàn,zhǔzhàn
失时,shīshí,shīshí
混淆,hùnxiáo,hùnxiáo
骨髓,gǔsuǐ,gǔsuǐ
点缀,diǎnzhuì,diǎnzhuì
气魄,qìpò,qìpò
接地,jiēdì,jiēdì
中正,zhōngzhèng,zhōngzhèng
升学,shēngxué,shēngxué
抽屉,chōuti,chōuti
登门,dēngmén,dēngmén
大头,dàtóu,dàtóu
呼应,hūyìng,hūyìng
胃口,wèikǒu,wèikǒu
倡廉,chànglián,chànglián
操心,cāoxīn,cāoxīn
主演,zhǔyǎn,zhǔyǎn
价位,jiàwèi,jiàwèi
胸脯,xiōngpú,xiōngpú
复仇,fùchóu,fùchóu
罚金,fájīn,fájīn
痊愈,quányù,quányù
油菜,yóucài,yóucài
点评,diǎnpíng,diǎnpíng
量化,liànghuà,liànghuà
接踵,jiēzhǒng,jiēzhǒng
塑像,sùxiàng,sùxiàng
禁地,jìndì,jìndì
参数,cānshù,cānshù
肥料,féiliào,féiliào
上乘,shàngchéng,shàngchéng
住户,zhùhù,zhùhù
脱落,tuōluò,tuōluò
祭司,jìsī,jìsī
硝烟,xiāoyān,xiāoyān
浸泡,jìnpào,jìnpào
兰花,lánhuā,lánhuā
围攻,wéigōng,wéigōng
班主,bānzhǔ,bānzhǔ
打印,dǎyìn,dǎyìn
头晕,tóuyūn,tóuyūn
当权,dāngquán,dāngquán
驻守,zhùshǒu,zhùshǒu
告辞,gàocí,gàocí
年月,niányuè,niányuè
度日,dùrì,dùrì
神社,shénshè,shénshè
后顾,hòugù,hòugù
离休,líxiū,líxiū
胸膛,xiōngtáng,xiōngtáng
学识,xuéshí,xuéshí
门窗,ménchuāng,ménchuāng
受骗,shòupiàn,shòupiàn
耗费,hàofèi,hàofèi
单单,dāndān,dāndān
出工,chūgōng,chūgōng
疑难,yínán,yínán
募捐,mùjuān,mùjuān
许久,xǔjiǔ,xǔjiǔ
选购,xuǎngòu,xuǎngòu
茶馆,cháguǎn,cháguǎn
为力,wéilì,wéilì
复议,fùyì,fùyì
高峰期,gāofēngqī,gāofēngqī
贵重,guìzhòng,guìzhòng
宽广,kuānguǎng,kuānguǎng
喇嘛,lǎma,lǎma
修缮,xiūshàn,xiūshàn
自认,zìrèn,zìrèn
诺贝尔奖,nuòbèi'ěrjiǎng,nuòbèi ěrjiǎng
神父,shénfu,shénfu
预备役,yùbèiyì,yùbèiyì
增效,zēngxiào,zēngxiào
放眼,fàngyǎn,fàngyǎn
驰名,chímíng,chímíng
效能,xiàonéng,xiàonéng
吞吐量,tūntǔliàng,tūntǔliàng
新教,xīnjiào,xīnjiào
吻合,wěnhé,wěnhé
炮声,pàoshēng,pàoshēng
副作用,fùzuòyòng,fùzuòyòng
讲演,jiǎngyǎn,jiǎngyǎn
录像带,lùxiàngdài,lùxiàngdài
炸毁,zhàhuǐ,zhàhuǐ
行商,xíngshāng,xíngshāng
追加,zhuījiā,zhuījiā
迎合,yínghé,yínghé
弱势,ruòshì,ruòshì
想通,xiǎngtōng,xiǎngtōng
称道,chēngdào,chēngdào
难事,nánshì,nánshì
