term,pinyin
剥夺,bōduó
共青团,gòngqīngtuán
月亮,yuèliang
关切,guānqiè
负债,fùzhài
聚会,jùhuì
牌子,páizi
国事,guóshì
一如,yīrú
抛弃,pāoqì
灌溉,guàngài
半夜,bànyè
发觉,fājué
展望,zhǎnwàng
引用,yǐnyòng
纪实,jìshí
假设,jiǎshè
明明,míngmíng
海里,hǎilǐ
分流,fēnliú
助手,zhùshǒu
大雨,dàyǔ
蛋白质,dànbáizhì
文人,wénrén
宏观经济,hóngguān jīngjì
特使,tèshǐ
参议院,cānyìyuàn
过年,guònián
爱人,àiren
大王,dàiwang
大王,dàwáng
失利,shīlì
辅助,fǔzhù
打入,dǎrù
可贵,kěguì
风力,fēnglì
晚饭,wǎnfàn
实物,shíwù
榜样,bǎngyàng
强迫,qiǎngpò
老家,lǎojiā
盛会,shènghuì
跻身,jīshēn
秋天,qiūtiān
增至,zēngzhì
心愿,xīnyuàn
器官,qìguān
引资,yǐnzī
题词,tící
轻微,qīngwēi
更换,gēnghuàn
平凡,píngfán
感人,gǎnrén
备忘,bèiwàng
讲座,jiǎngzuò
一时间,yīshíjiān
航运,hángyùn
加油,jiāyóu
支柱产业,zhīzhù chǎnyè
须要,xūyào
共建,gòngjiàn
了不起,liǎobuqǐ
滋味,zīwèi
木材,mùcái
有余,yǒuyú
传教,chuánjiào
论说,lùnshuō
摄氏度,shèshìdù
行李,xíngli
疼痛,téngtòng
竭力,jiélì
到会,dàohuì
老子,lǎozi
界限,jièxiàn
钓鱼,diàoyú
销量,xiāoliàng
显现,xiǎnxiàn
枢纽,shūniǔ
再有,zàiyǒu
提名,tímíng
拆除,chāichú
总算,zǒngsuàn
同心,tóngxīn
范畴,fànchóu
递交,dìjiāo
棋手,qíshǒu
公用,gōngyòng
拳头,quántou
了事,liǎoshì
病患,bìnghuàn
行走,xíngzǒu
备忘录,bèiwànglù
眼神,yǎnshén
造福,zàofú
大将,dàjiàng
同等,tóngděng
全长,quáncháng
小女,xiǎonǚ
体重,tǐzhòng
战机,zhànjī
牢固,láogù
妇人,fùrén
老鼠,lǎoshǔ
行进,xíngjìn
奴隶,núlì
行经,xíngjīng
警卫,jǐngwèi
巡回,xúnhuí
倾销,qīngxiāo
外科,wàikē
手枪,shǒuqiāng
库区,kùqū
对应,duìyìng
侵害,qīnhài
