term,pinyin
触雷,chùléi
摩肩接踵,mójiān-jiēzhǒng
惨无人道,cǎnwúréndào
半透明,bàntòumíng
矫揉造作,jiǎoróu-zàozuò
丰衣足食,fēngyī-zúshí
自相残杀,zìxiāng-cánshā
如此而已,rúcǐ-éryǐ
飞地,fēidì
野鸡,yějī
呈交,chéngjiāo
泳衣,yǒngyī
初识,chūshí
心火,xīnhuǒ
走漏,zǒulòu
轧机,zhájī
禀告,bǐnggào
黄羊,huángyáng
超车,chāochē
顺乎,shùnhū
老朽,lǎoxiǔ
成虫,chéngchóng
夜航,yèháng
流散,liúsàn
毒犯,dúfàn
无依无靠,wúyī-wúkào
徐步,xúbù
光能,guāngnéng
平装,píngzhuāng
唱盘,chàngpán
主理,zhǔlǐ
环山,huánshān
积怨,jīyuàn
静候,jìnghòu
飞禽,fēiqín
顺流,shùnliú
惹事,rěshì
前赴后继,qiánfù-hòujì
坑坑洼洼,kēngkeng-wāwā
速战速决,sùzhàn-sùjué
见死不救,jiànsǐ-bùjiù
一纸空文,yīzhǐ-kōngwén
绸子,chóuzi
眯缝,mīfeng
拱形,gǒngxíng
形变,xíngbiàn
鹿角,lùjiǎo
铜镜,tóngjìng
金灿灿,jīncàncàn
爆发力,bàofālì
推进器,tuījìnqì
白开水,báikāishuǐ
轻武器,qīngwǔqì
黑板报,hēibǎnbào
避风港,bìfēnggǎng
萧瑟,xiāosè
陵寝,língqǐn
咕咚,gūdōng
神似,shénsì
量度,liángdù
跟风,gēnfēng
夜宵,yèxiāo
空翻,kōngfān
卷宗,juànzōng
历朝,lìcháo
铃铛,língdang
遭灾,zāozāi
分毫,fēnháo
通衢,tōngqú
白文,báiwén
名模,míngmó
豆豉,dòuchǐ
鹿茸,lùróng
证物,zhèngwù
点歌,diǎngē
队旗,duìqí
四边,sìbiān
雄奇,xióngqí
播送,bōsòng
提篮,tílán
山巅,shāndiān
醋酸,cùsuān
祖庙,zǔmiào
回顾展,huígùzhǎn
提携,tíxié
脚镣,jiǎoliào
扩音器,kuòyīnqì
山穷水尽,shānqióng-shuǐjìn
没脸,méiliǎn
斗胆,dǒudǎn
烟波,yānbō
枪林弹雨,qiānglín-dànyǔ
寨主,zhàizhǔ
批注,pīzhù
上劲,shàngjìn
外带,wàidài
言传身教,yánchuán-shēnjiào
过关斩将,guòguān-zhǎnjiàng
烈酒,lièjiǔ
白蚁,báiyǐ
人工授精,réngōng shòujīng
兵权,bīngquán
屠夫,túfū
作乱,zuòluàn
棉絮,miánxù
泡汤,pàotāng
昭然,zhāorán
火鸡,huǒjī
问询,wènxún
迷津,míjīn
心寒,xīnhán
买通,mǎitōng
两立,liǎnglì
调养,tiáoyǎng
熔铸,róngzhù
枪法,qiāngfǎ
穿孔,chuānkǒng
正身,zhèngshēn
掣肘,chèzhǒu
杠铃,gànglíng
幸运儿,xìngyùn'ér
一转眼,yīzhuǎnyǎn
小教,xiǎojiào
单科,dānkē
开宗明义,kāizōng-míngyì
绘声绘色,huìshēng-huìsè
水乳交融,shuǐrǔ-jiāoróng
大模大样,dàmú-dàyàng
永垂不朽,yǒngchuí-bùxiǔ
鱼龙混杂,yúlóng-hùnzá
只争朝夕,zhǐzhēng-zhāoxī
分册,fēncè
暗礁,ànjiāo
传票,chuánpiào
考学,kǎoxué
盗伐,dàofá
修配,xiūpèi
兜风,dōufēng
诸公,zhūgōng
线圈,xiànquān
干贝,gānbèi
黑幕,hēimù
榨菜,zhàcài
换手,huànshǒu
突突,tūtū
丰润,fēngrùn
专修,zhuānxiū
贞洁,zhēnjié
餐巾,cānjīn
根究,gēnjiū
疯人,fēngrén
饥民,jīmín
吸尘器,xīchénqì
调节税,tiáojiéshuì
圆珠笔,yuánzhūbǐ
话匣子,huàxiázi
谋反,móufǎn
挂果,guàguǒ
荒岛,huāngdǎo
凭据,píngjù
上色,shàngsè
上色,shàngshǎi
世风,shìfēng
内耗,nèihào
危坐,wēizuò
加仑,jiālún
牙缝,yáfèng
布设,bùshè
定夺,dìngduó
平心静气,píngxīn-jìngqì
安全系数,ānquán xìshù
卖国贼,màiguózéi
手提箱,shǒutíxiāng
幼童,yòutóng
社群,shèqún
闹腾,nàoteng
倚重,yǐzhòng
落笔,luòbǐ
松劲,sōngjìn
平展,píngzhǎn
票箱,piàoxiāng
切分,qiēfēn
内定,nèidìng
产儿,chǎn'ér
风干,fēnggān
料峭,liàoqiào
谄媚,chǎnmèi
稍纵即逝,shāozòng-jíshì
着床,zhuóchuáng
搜刮,sōuguā
狗屁,gǒupì
花圃,huāpǔ
分野,fēnyě
离弃,líqì
开天辟地,kāitiān-pìdì
选择题,xuǎnzétí
泥沼,nízhǎo
笔锋,bǐfēng
主事,zhǔshì
引燃,yǐnrán
政敌,zhèngdí
汁液,zhīyè
归顺,guīshùn
年根,niángēn
拱门,gǒngmén
应召,yìngzhào
洗漱,xǐshù
吭气,kēngqì
大是大非,dàshì-dàfēi
自由职业,zìyóu zhíyè
群居,qúnjū
一生一世,yīshēng-yīshì
妙不可言,miàobùkěyán
遥相呼应,yáoxiānghūyìng
交迫,jiāopò
锅底,guōdǐ
白大褂,báidàguà
通知单,tōngzhīdān
清教徒,qīngjiàotú
马车夫,mǎchēfū
软绵绵,ruǎnmiánmián
杀毒,shādú
精当,jīngdàng
外城,wàichéng
雅人,yǎrén
单干,dāngàn
进击,jìnjī
财权,cáiquán
循环系统,xúnhuán xìtǒng
花鸟画,huāniǎohuà
苏打,sūdá
定岗,dìnggǎng
小户,xiǎohù
别针,biézhēn
少相,shàoxiang
文辞,wéncí
独步,dúbù
送死,sòngsǐ
生老病死,shēng-lǎo-bìng-sǐ
奶头,nǎitóu
相熟,xiāngshú
胎盘,tāipán
野营,yěyíng
殉葬,xùnzàng
几许,jǐxǔ
滴落,dīluò
季刊,jìkān
野牛,yěniú
暗含,ànhán
魂灵,húnlíng
博引,bóyǐn
花哨,huāshao
愚公移山,yúgōng-yíshān
依然如故,yīrán-rúgù
有恒,yǒuhéng
节衣缩食,jiéyī-suōshí
有恃无恐,yǒushì-wúkǒng
生龙活虎,shēnglóng-huóhǔ
光怪陆离,guāngguài-lùlí
亲密无间,qīnmì-wújiàn
隔音,géyīn
斑马,bānmǎ
警惕性,jǐngtìxìng
电话局,diànhuàjú
试金石,shìjīnshí
插花,chāhuā
到庭,dàotíng
僵直,jiāngzhí
品第,pǐndì
偏方,piānfāng
调阅,diàoyuè
晃荡,huàngdang
劈柴,pǐchai
防地,fángdì
权能,quánnéng
神职,shénzhí
泥鳅,níqiu
节余,jiéyú
游街,yóujiē
五毒,wǔdú
片剂,piànjì
顶礼膜拜,dǐnglǐ-móbài
宽宏大量,kuānhóng-dàliàng
海螺,hǎiluó
千山万水,qiānshān-wànshuǐ
画布,huàbù
不出所料,bùchū-suǒliào
土房,tǔfáng
问安,wèn'ān
坟头,féntóu
打草,dǎcǎo
还礼,huánlǐ
武库,wǔkù
举凡,jǔfán
佐料,zuǒliào
打车,dǎchē
浪迹,làngjì
调戏,tiáoxì
根系,gēnxì
朱雀,zhūquè
不检,bùjiǎn
标准时,biāozhǔnshí
贫下中农,pín-xiàzhōngnóng
讲排场,jiǎngpáichǎng
骨牌,gǔpái
水灵,shuǐling
震怒,zhènnù
凄苦,qīkǔ
平视,píngshì
报摊,bàotān
狂乱,kuángluàn
续聘,xùpìn
翻印,fānyìn
点拨,diǎnbō
公营,gōngyíng
船舷,chuánxián
轩昂,xuān'áng
主轴,zhǔzhóu
市升,shìshēng
路牌,lùpái
番号,fānhào
沙暴,shābào
民愤,mínfèn
另起炉灶,lìngqǐ-lúzào
大前提,dàqiántí
主调,zhǔdiào
伟岸,wěi'àn
翠柏,cuìbǎi
幽香,yōuxiāng
截瘫,jiétān
发酸,fāsuān
标号,biāohào
入画,rùhuà
敌占区,dízhànqū
划线,huàxiàn
费钱,fèiqián
捧腹,pěngfù
搏杀,bóshā
高枕无忧,gāozhěn-wúyōu
大放异彩,dàfàng-yìcǎi
长年累月,chángnián-lěiyuè
达官贵人,dáguān-guìrén
眼皮底下,yǎnpí dǐxia
时隐时现,shíyǐn-shíxiàn
一贫如洗,yīpín-rúxǐ
杂剧,zájù
花鼓,huāgǔ
女娲,nǚwā
花冠,huāguān
纸钱,zhǐqián
败将,bàijiàng
云母,yúnmǔ
丑态,chǒutài
临产,línchǎn
戏水,xìshuǐ
奇谈,qítán
中策,zhōngcè
剧社,jùshè
罐装,guànzhuāng
争雄,zhēngxióng
铅字,qiānzì
火枪,huǒqiāng
角质,jiǎozhì
审稿,shěngǎo
用印,yòngyìn
疆场,jiāngchǎng
闻见,wénjiàn
剪子,jiǎnzi
丑化,chǒuhuà
纹饰,wénshì
奋发有为,fènfā-yǒuwéi
多愁善感,duōchóu-shàngǎn
出神入化,chūshén-rùhuà
处心积虑,chǔxīn-jīlǜ
绝情,juéqíng
文质彬彬,wénzhì-bīnbīn
碧蓝,bìlán
佛光,fóguāng
直感,zhígǎn
动兵,dòngbīng
听戏,tīngxì
断档,duàndàng
让座,ràngzuò
答疑,dáyí
涓涓,juānjuān
增辉,zēnghuī
舞池,wǔchí
首播,shǒubō
欢唱,huānchàng
下家,xiàjiā
傻气,shǎqì
爷儿,yé'ér
混迹,hùnjì
八仙桌,bāxiānzhuō
羞答答,xiūdādā
寒热,hánrè
稀里糊涂,xīlihútú
学前教育,xuéqián jiàoyù
漫山遍野,mànshān-biànyě
金字招牌,jīnzì zhāopái
保证书,bǎozhèngshū
故城,gùchéng
地面站,dìmiànzhàn
编年史,biānniánshǐ
够格,gòugé
攀援,pānyuán
木本,mùběn
书札,shūzhá
牛黄,niúhuáng
作数,zuòshù
领情,lǐngqíng
毒杀,dúshā
转行,zhuǎnháng
视图,shìtú
重臣,zhòngchén
鱼鳞,yúlín
震级,zhènjí
监考,jiānkǎo
导购,dǎogòu
官名,guānmíng
肥美,féiměi
艰深,jiānshēn
出落,chūluo
重版,chóngbǎn
转炉,zhuànlú
旅伴,lǚbàn
烽烟,fēngyān
水柱,shuǐzhù
小我,xiǎowǒ
聚光,jùguāng
农家肥,nóngjiāféi
借方,jièfāng
兼而有之,jiān'éryǒuzhī
洋洋洒洒,yángyáng-sǎsǎ
戴帽子,dàimàozi
敬而远之,jìng'éryuǎnzhī
少不得,shǎobudé
丑角,chǒujué
乘风破浪,chéngfēng-pòlàng
不可救药,bùkě-jiùyào
念念有词,niànniàn-yǒucí
颔首,hànshǒu
抵销,dǐxiāo
纠结,jiūjié
银针,yínzhēn
保价,bǎojià
到案,dào'àn
匀速,yúnsù
腰肢,yāozhī
狼狗,lánggǒu
浑圆,húnyuán
全才,quáncái
叵测,pǒcè
花呢,huāní
雀斑,quèbān
优裕,yōuyù
猎杀,lièshā
买价,mǎijià
青绿,qīnglǜ
气闷,qìmèn
外卖,wàimài
说客,shuìkè
泉源,quányuán
配比,pèibǐ
停航,tíngháng
比翼,bǐyì
防潮,fángcháo
立体感,lìtǐgǎn
胃溃疡,wèikuìyáng
郎君,lángjūn
黑钱,hēiqián
起意,qǐyì
诗画,shīhuà
青豆,qīngdòu
长啸,chángxiào
禁渔,jìnyú
骁勇,xiāoyǒng
祖坟,zǔfén
特种邮票,tèzhǒng yóupiào
自励,zìlì
捧杯,pěngbēi
唱机,chàngjī
烦人,fánrén
出勤,chūqín
海疆,hǎijiāng
寡欢,guǎhuān
便中,biànzhōng
高抬,gāotái
面告,miàngào
重磅,zhòngbàng
趾高气扬,zhǐgāo-qìyáng
海市蜃楼,hǎishì-shènlóu
无可比拟,wúkěbǐnǐ
积劳成疾,jīláo-chéngjí
迅雷不及掩耳,xùnléi bùjí yǎn'ěr
门闩,ménshuān
小聪明,xiǎocōngming
终点站,zhōngdiǎnzhàn
大出血,dàchūxuè
监视器,jiānshìqì
百叶窗,bǎiyèchuāng
冬小麦,dōngxiǎomài
喜剧片,xǐjùpiàn
逻辑性,luójixìng
倾城,qīngchéng
思考题,sīkǎotí
一团糟,yītuánzāo
引以为戒,yǐnyǐwéijiè
全票,quánpiào
揉搓,róucuo
醉汉,zuìhàn
揭秘,jiēmì
罢官,bàguān
谷仓,gǔcāng
聊以,liáoyǐ
留驻,liúzhù
批办,pībàn
约略,yuēlüè
火盆,huǒpén
因袭,yīnxí
讲情,jiǎngqíng
佛事,fóshì
泥坑,níkēng
上算,shàngsuàn
病灶,bìngzào
飘零,piāolíng
山鸡,shānjī
圆场,yuánchǎng
实数,shíshù
剿灭,jiǎomiè
拿人,nárén
削价,xuējià
祥云,xiángyún
姑爷,gūye
女招待,nǚzhāodài
信口开河,xìnkǒu-kāihé
膝关节,xīguānjié
补税,bǔshuì
疲于奔命,píyúbēnmìng
旱涝保收,hànlào-bǎoshōu
视死如归,shìsǐ-rúguī
待定,dàidìng
类固醇,lèigùchún
气象站,qìxiàngzhàn
邮展,yóuzhǎn
横眉,héngméi
海量,hǎiliàng
死心塌地,sǐxīn-tādì
遍体鳞伤,biàntǐ-línshāng
穷追不舍,qióngzhuī-bùshě
浮想联翩,fúxiǎng-liánpiān
亭亭玉立,tíngtíng-yùlì
腰缠万贯,yāochán-wànguàn
破釜沉舟,pòfǔ-chénzhōu
深谋远虑,shēnmóu-yuǎnlǜ
心间,xīnjiān
含羞,hánxiū
秧苗,yāngmiáo
随俗,suísú
作俑,zuòyǒng
挑大梁,tiǎodàliáng
公诉人,gōngsùrén
大部头,dàbùtóu
急刹车,jíshāchē
客套话,kètàohuà
议会制,yìhuìzhì
开斋,kāizhāi
特殊化,tèshūhuà
望族,wàngzú
地球村,dìqiúcūn
刚直,gāngzhí
县太爷,xiàntàiyé
总机,zǒngjī
封冻,fēngdòng
消夏,xiāoxià
城防,chéngfáng
水货,shuǐhuò
商誉,shāngyù
慎行,shènxíng
水烟,shuǐyān
延年益寿,yánnián-yìshòu
破费,pòfèi
深恐,shēnkǒng
说得过去,shuōdeguòqù
荷枪实弹,hèqiāng-shídàn
话锋,huàfēng
班底,bāndǐ
以身殉职,yǐshēn-xùnzhí
鬼混,guǐhùn
内热,nèirè
潇潇,xiāoxiāo
原物,yuánwù
械斗,xièdòu
像章,xiàngzhāng
扣发,kòufā
骄横,jiāohèng
后话,hòuhuà
已往,yǐwǎng
扣减,kòujiǎn
丫环,yāhuan
荒淫,huāngyín
丧胆,sàngdǎn
切口,qièkǒu
切口,qiēkǒu
宾朋,bīnpéng
醉意,zuìyì
同族,tóngzú
母系,mǔxì
查缉,chájī
瓶盖,pínggài
大龄,dàlíng
苟同,gǒutóng
棋类,qílèi
亲疏,qīnshū
航次,hángcì
指法,zhǐfǎ
弃婴,qìyīng
死讯,sǐxùn
喜滋滋,xǐzīzī
核电厂,hédiànchǎng
淡水鱼,dànshuǐyú
兜圈子,dōuquānzi
玉米面,yùmǐmiàn
赤膊,chìbó
兵役法,bīngyìfǎ
信从,xìncóng
猜忌,cāijì
玉带,yùdài
急中生智,jízhōng-shēngzhì
直译,zhíyì
滩头,tāntóu
名产,míngchǎn
校风,xiàofēng
众望所归,zhòngwàng-suǒguī
玄机,xuánjī
渗水,shènshuǐ
画幅,huàfú
耦合,ǒuhé
电镀,diàndù
肾炎,shènyán
雄居,xióngjū
伯仲,bózhòng
紫砂,zǐshā
谨严,jǐnyán
锁国,suǒguó
雪人,xuěrén
铁拳,tiěquán
抱拳,bàoquán
前脚,qiánjiǎo
疲弱,píruò
售卖,shòumài
苦想,kǔxiǎng
被覆,bèifù
感言,gǎnyán
横财,hèngcái
阳历,yánglì
土葬,tǔzàng
固态,gùtài
木版,mùbǎn
盘剥,pánbō
情话,qínghuà
老迈,lǎomài
古琴,gǔqín
智取,zhìqǔ
反哺,fǎnbǔ
如获至宝,rúhuòzhìbǎo
省辖市,shěngxiáshì
大牲畜,dàshēngchù
满面春风,mǎnmiàn-chūnfēng
灭火器,mièhuǒqì
走马观花,zǒumǎ-guānhuā
不期而遇,bùqī'éryù
可怜巴巴,kělián-bābā
沥沥,lìlì
存贮,cúnzhù
水荒,shuǐhuāng
深闺,shēnguī
棋迷,qímí
机种,jīzhǒng
小月,xiǎoyuè
巨富,jùfù
侧目,cèmù
层级,céngjí
织锦,zhījǐn
单间,dānjiān
半价,bànjià
微火,wēihuǒ
家室,jiāshì
安闲,ānxián
挨批,áipī
投诚,tóuchéng
备份,bèifèn
决堤,juédī
杀机,shājī
罢手,bàshǒu
扼制,èzhì
来犯,láifàn
回头客,huítóukè
一见如故,yījiàn-rúgù
百无聊赖,bǎiwúliáolài
柴米油盐,chái-mǐ-yóu-yán
相映成趣,xiāngyìng-chéngqù
行云流水,xíngyún-liúshuǐ
付之一炬,fùzhī-yījù
语无伦次,yǔwúlúncì
七零八落,qīlíng-bāluò
令行禁止,lìngxíng-jìnzhǐ
成名作,chéngmíngzuò
水深火热,shuǐshēn-huǒrè
由不得,yóubude
试管婴儿,shìguǎn yīng'ér
续航,xùháng
吝惜,lìnxī
毅然决然,yìrán-juérán
亦步亦趋,yìbù-yìqū
对簿公堂,duìbù-gōngtáng
独断专行,dúduàn-zhuānxíng
电子信箱,diànzǐ xìnxiāng
全球定位系统,quánqiú dìngwèi xìtǒng
望子成龙,wàngzǐ-chénglóng
越轨,yuèguǐ
全名,quánmíng
纵欲,zòngyù
还田,huántián
推拿,tuīná
入港,rùgǎng
民智,mínzhì
谁人,shéirén
科技城,kējìchéng
寻死,xúnsǐ
雅号,yǎhào
智障,zhìzhàng
水门,shuǐmén
奉陪,fèngpéi
往时,wǎngshí
绒线,róngxiàn
怏怏,yàngyàng
力挽狂澜,lìwǎn-kuánglán
当紧,dāngjǐn
调派,diàopài
归罪,guīzuì
倒立,dàolì
疾书,jíshū
演职员,yǎn-zhíyuán
败家,bàijiā
福分,fúfen
打雷,dǎléi
辣酱,làjiàng
太阴,tàiyīn
山涧,shānjiàn
糖醋,tángcù
杂感,zágǎn
滑水,huáshuǐ
超支,chāozhī
厂规,chǎngguī
竹筒,zhútǒng
地磁,dìcí
左面,zuǒmiàn
水磨,shuǐmó
水磨,shuǐmò
交点,jiāodiǎn
简体,jiǎntǐ
军号,jūnhào
犯难,fànnán
原职,yuánzhí
矢志不渝,shǐzhì-bùyú
宫灯,gōngdēng
钻营,zuānyíng
增色,zēngsè
通顺,tōngshùn
主文,zhǔwén
小品文,xiǎopǐnwén
野心勃勃,yěxīn-bóbó
游山玩水,yóushān-wánshuǐ
西洋参,xīyángshēn
焦头烂额,jiāotóu-làn'é
吨公里,dūngōnglǐ
军烈属,jūn-lièshǔ
上议院,shàngyìyuàn
醉醺醺,zuìxūnxūn
左顾右盼,zuǒgù-yòupàn
祸国殃民,huòguó-yāngmín
小住,xiǎozhù
时刻表,shíkèbiǎo
医理,yīlǐ
白米,báimǐ
主使,zhǔshǐ
竞投,jìngtóu
尿检,niàojiǎn
起兴,qǐxìng
绯闻,fēiwén
仅见,jǐnjiàn
囫囵,húlún
示警,shìjǐng
汇流,huìliú
派性,pàixìng
牢笼,láolóng
餐车,cānchē
真品,zhēnpǐn
洞穿,dòngchuān
肝火,gānhuǒ
藏青,zàngqīng
找死,zhǎosǐ
散见,sǎnjiàn
馨香,xīnxiāng
肩胛,jiānjiǎ
尿道,niàodào
统收,tǒngshōu
预估,yùgū
免试,miǎnshì
唬人,hǔrén
土坡,tǔpō
坐椅,zuòyǐ
榨取,zhàqǔ
瞎话,xiāhuà
督战,dūzhàn
席子,xízi
隔世,géshì
老命,lǎomìng
争奇斗艳,zhēngqí-dòuyàn
既成事实,jìchéng shìshí
星星点点,xīngxīng-diǎndiǎn
仁人志士,rénrén-zhìshì
正襟危坐,zhèngjīn-wēizuò
只字不提,zhīzì-bùtí
老弱病残,lǎo-ruò-bìng-cán
守口如瓶,shǒukǒu-rúpíng
辗转反侧,zhǎnzhuǎn-fǎncè
大手大脚,dàshǒu-dàjiǎo
小型张,xiǎoxíngzhāng
半文盲,bànwénmáng
摩挲,mósuō
常服,chángfú
拉家常,lājiācháng
论证会,lùnzhènghuì
羊绒衫,yángróngshān
命根子,mìnggēnzi
备办,bèibàn
加急,jiājí
外泄,wàixiè
梵文,fànwén
平复,píngfù
收拢,shōulǒng
闪身,shǎnshēn
翻牌,fānpái
乘警,chéngjǐng
弹跳,tántiào
遗赠,yízèng
磨人,mórén
争强,zhēngqiáng
万福,wànfú
钳工,qiángōng
祭品,jìpǐn
红人,hóngrén
全歼,quánjiān
开金,kāijīn
敢保,gǎnbǎo
国宴,guóyàn
玩火,wánhuǒ
姹紫嫣红,chàzǐ-yānhóng
肯干,kěngàn
银钱,yínqián
能歌善舞,nénggē-shànwǔ
劫匪,jiéfěi
水坑,shuǐkēng
社会存在,shèhuì cúnzài
今译,jīnyì
贪得无厌,tāndé-wúyàn
山清水秀,shānqīng-shuǐxiù
互通有无,hùtōng-yǒuwú
细菌战,xìjūnzhàn
胸臆,xiōngyì
着魔,zháomó
晦暗,huì'àn
清谈,qīngtán
客舱,kècāng
施礼,shīlǐ
邮市,yóushì
领办,lǐngbàn
体征,tǐzhēng
战报,zhànbào
旗开得胜,qíkāi-déshèng
重机枪,zhòngjīqiāng
浮尘,fúchén
转阴,zhuǎnyīn
阑尾,lánwěi
烟瘾,yānyǐn
蒸腾,zhēngténg
收编,shōubiān
鸡毛蒜皮,jīmáo-suànpí
统销,tǒngxiāo
猫眼,māoyǎn
沁人心脾,qìnrénxīnpí
逃学,táoxué
草甸,cǎodiàn
开标,kāibiāo
东正教,dōngzhèngjiào
无产者,wúchǎnzhě
法名,fǎmíng
萤火虫,yínghuǒchóng
塞车,sāichē
代用品,dàiyòngpǐn
育秧,yùyāng
赤色,chìsè
商旅,shānglǚ
气囊,qìnáng
记挂,jìguà
有板有眼,yǒubǎn-yǒuyǎn
言过其实,yánguò-qíshí
合成纤维,héchéng xiānwéi
反复无常,fǎnfù-wúcháng
温度计,wēndùjì
逐句,zhújù
围场,wéichǎng
劣等,lièděng
学步,xuébù
自习,zìxí
发菜,fàcài
引致,yǐnzhì
吁请,yùqǐng
神权,shénquán
引见,yǐnjiàn
残渣,cánzhā
交合,jiāohé
撒旦,sādàn
元勋,yuánxūn
面点,miàndiǎn
纷扰,fēnrǎo
舞伴,wǔbàn
桑园,sāngyuán
增容,zēngróng
汗颜,hànyán
金桂,jīnguì
老狐狸,lǎohúli
可塑性,kěsùxìng
汤料,tāngliào
羌族,qiāngzú
幼教,yòujiào
相劝,xiāngquàn
牙签,yáqiān
岔子,chàzi
自生自灭,zìshēng-zìmiè
评书,píngshū
鼻息,bíxī
转学,zhuǎnxué
题跋,tíbá
高论,gāolùn
塑料布,sùliàobù
金箔,jīnbó
萃取,cuìqǔ
反证,fǎnzhèng
沙包,shābāo
纯情,chúnqíng
冒汗,màohàn
风吹草动,fēngchuī-cǎodòng
脚掌,jiǎozhǎng
穿针引线,chuānzhēn-yǐnxiàn
快运,kuàiyùn
安身立命,ānshēn-lìmìng
年饭,niánfàn
师友,shīyǒu
盥洗,guànxǐ
破晓,pòxiǎo
清障,qīngzhàng
面皮,miànpí
兽性,shòuxìng
卧车,wòchē
书证,shūzhèng
公审,gōngshěn
四世同堂,sìshì-tóngtáng
抽水马桶,chōushuǐmǎtǒng
在天之灵,zàitiānzhīlíng
好人好事,hǎorén-hǎoshì
超水平,chāoshuǐpíng
预言家,yùyánjiā
小家电,xiǎojiādiàn
菩提树,pútíshù
架不住,jiàbuzhù
呼吁书,hūyùshū
凯旋门,kǎixuánmén
可见光,kějiànguāng
硬指标,yìngzhǐbiāo
搞笑,gǎoxiào
难友,nànyǒu
丹田,dāntián
换洗,huànxǐ
下咽,xiàyàn
凶悍,xiōnghàn
古板,gǔbǎn
身量,shēnliang
麦苗,màimiáo
西法,xīfǎ
绿林,lùlín
落难,luònàn
进账,jìnzhàng
交心,jiāoxīn
细毛,xìmáo
内伤,nèishāng
气旋,qìxuán
赈济,zhènjì
劳役,láoyì
凄楚,qīchǔ
心浮,xīnfú
夜游,yèyóu
田庄,tiánzhuāng
后效,hòuxiào
检定,jiǎndìng
斜阳,xiéyáng
老爷爷,lǎoyéye
走马灯,zǒumǎdēng
荧光屏,yíngguāngpíng
土丘,tǔqiū
欠身,qiànshēn
平顺,píngshùn
术士,shùshì
密探,mìtàn
儒生,rúshēng
率真,shuàizhēn
遒劲,qiújìng
改日,gǎirì
椰树,yēshù
引退,yǐntuì
球台,qiútái
午觉,wǔjiào
化整为零,huàzhěng-wéilíng
天籁,tiānlài
凉拌,liángbàn
婚育,hūnyù
介乎,jièhū
车检,chējiǎn
刻工,kègōng
闭合,bìhé
马驹,mǎjū
西点,xīdiǎn
乳母,rǔmǔ
水印,shuǐyìn
豆蔻,dòukòu
横七竖八,héngqī-shùbā
嫣然一笑,yānrán-yīxiào
子虚乌有,zǐxū-wūyǒu
显见,xiǎnjiàn
聊天室,liáotiānshì
做礼拜,zuòlǐbài
浮桥,fúqiáo
受穷,shòuqióng
焊工,hàngōng
丰饶,fēngráo
悬案,xuán'àn
文庙,wénmiào
八哥,bāge
见仁见智,jiànrén-jiànzhì
乡土气息,xiāngtǔ qìxī
道听途说,dàotīng-túshuō
大饱眼福,dàbǎoyǎnfú
声泪俱下,shēnglèi-jùxià
次大陆,cìdàlù
离心机,líxīnjī
打主意,dǎzhǔyi
医务室,yīwùshì
信号灯,xìnhàodēng
植物人,zhíwùrén
东瀛,dōngyíng
窗口行业,chuāngkǒuhángyè
刊本,kānběn
开弓,kāigōng
告退,gàotuì
防老,fánglǎo
神游,shényóu
仿生,fǎngshēng
墓道,mùdào
可嘉,kějiā
新交,xīnjiāo
笔端,bǐduān
倦意,juànyì
致哀,zhì'āi
生光,shēngguāng
湖心,húxīn
准定,zhǔndìng
谱系,pǔxì
机耕,jīgēng
定准,dìngzhǔn
先兆,xiānzhào
先哲,xiānzhé
蛐蛐儿,qūqur
例句,lìjù
仕女,shìnǚ
麦草,màicǎo
积木,jīmù
衣架,yījià
医案,yī'àn
教案,jiào'àn
医嘱,yīzhǔ
天麻,tiānmá
吊灯,diàodēng
删改,shāngǎi
毫发,háofà
暑热,shǔrè
横冲直撞,héngchōng-zhízhuàng
固化,gùhuà
飘带,piāodài
一家之言,yījiāzhīyán
丰美,fēngměi
截面,jiémiàn
交好,jiāohǎo
新生力量,xīnshēng lìliàng
要旨,yàozhǐ
隐讳,yǐnhuì
白纸黑字,báizhǐ-hēizì
土坑,tǔkēng
宏愿,hóngyuàn
胶印,jiāoyìn
置放,zhìfàng
茶色,chásè
感情用事,gǎnqíng-yòngshì
合葬,hézàng
诚惶诚恐,chénghuáng-chéngkǒng
碎屑,suìxiè
搭话,dāhuà
折桂,zhéguì
水禽,shuǐqín
兵荒马乱,bīnghuāng-mǎluàn
杉木,shāmù
霉变,méibiàn
爪牙,zhǎoyá
米老鼠,mǐlǎoshǔ
色拉油,sèlāyóu
辅导班,fǔdǎobān
杂货铺,záhuòpù
冲顶,chōngdǐng
烟蒂,yāndì
招式,zhāoshì
致密,zhìmì
音高,yīngāo
夹层,jiācéng
石匠,shíjiang
下铺,xiàpù
省心,shěngxīn
跋扈,báhù
布防,bùfáng
阅卷,yuèjuàn
卫生纸,wèishēngzhǐ
主治医生,zhǔzhì yīshēng
小皇帝,xiǎohuángdì
莫不是,mòbùshì
万花筒,wànhuātǒng
军职,jūnzhí
方音,fāngyīn
忧郁症,yōuyùzhèng
责权利,zé-quán-lì
甜言蜜语,tiányán-mìyǔ
男女关系,nánnǚ guānxi
惟妙惟肖,wéimiào-wéixiào
探测仪,tàncèyí
旱季,hànjì
更动,gēngdòng
安泰,āntài
情事,qíngshì
翩然,piānrán
换气,huànqì
勾搭,gōuda
沾边,zhānbiān
风蚀,fēngshí
快件,kuàijiàn
复课,fùkè
油区,yóuqū
世情,shìqíng
判若两人,pànruòliǎngrén
供词,gòngcí
