rank,hanzi,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
3977,莓,méi,,,名,灌木或多年生草本植物，果实聚生在球形花托上。有的果实可以吃，有的还可以做药材。有山莓、草莓、蛇莓等种类,
3978,娴,xián,,,形,文静,娴 雅
3978,娴,xián,,,形,文静,娴 静
3978,娴,xián,,,形,○ 熟练,娴 熟
3978,娴,xián,,,形,○ 熟练,娴 于辞令
3980,豉,chǐ,,,,见“ 豆豉 ” 用法说明 ㊀统读 chǐ，不读 chí 或 shì。㊁跟“鼓”不同,
3981,炳,bǐng,,,形,〈文〉 明亮；显著 炳 蔚（文采鲜明华美） | 彪 炳 照耀 日月 炳 天，江河行地,
3982,萼,è,,,名,花萼,
3983,茜,qiàn,,,名,茜草,
3983,茜,qiàn,,,形,〈文〉深红,茜 纱帐
3984,黠,xiá,,,形,〈文〉 聪慧机敏 慧 黠 狡猾奸诈 狡 黠 | 黠 吏,
3985,艮,gèn,,,名,八卦之一，卦形为☶，代表山,
3987,刍,chú,,,动,〈文〉 割草 刍 荛（割草打柴） 牲畜吃的草 反 刍 | 刍 秣（草料） 谦词，用于称自己的（言论、见解等） 刍 议 ○ 姓 用法说明 下边是“彐”，不是“ ”,
3988,帧,zhēn,,,名,画幅,装 帧
3988,帧,zhēn,,,量,用于字画和照片等，相当于“幅”,一 帧 山水画
3989,芸,yún,,,名,芸香,
3989,芸,yún,,,名,○ 姓,
3990,毂,gǔ,,,名,〈文〉 车轮中心的部分，有圆孔，可以插入车轴并同辐条相连接,击 毂 摩肩
3990,毂,gū,,,,现在一般写作“轱辘”,
3990,毂,gūlu,,,,现在一般写作“轱辘”,
3991,浠,xī,,,名,浠水，水名，在湖北,
3991,浠,xī,,,名,○ 姓,
3992,邸,dǐ,,,名,〈文〉高级官员的住宅,官 邸
3992,邸,dǐ,,,名,〈文〉高级官员的住宅,私 邸
3992,邸,dǐ,,,名,○ 姓,
3993,茹,rú,,,动,吃；吞咽,含辛 茹 苦
3993,茹,rú,,,动,吃；吞咽,茹 毛饮血
3993,茹,rú,,,名,○ 姓,
3994,悻,xìng,,,形,〈文〉 恼怒；怨恨,悻 然
3994,悻,xìng,,,形,〈文〉 恼怒；怨恨,悻 悻 而去
3995,槿,jǐn,,,,见“ 木槿 ”,
3996,慵,yōng,,,形,〈文〉 疲倦；懒散,慵 困
3996,慵,yōng,,,形,〈文〉 疲倦；懒散,慵 惰
3997,汲,jí,,,动,从井里打水；泛指从下往上打水,汲 水
3997,汲,jí,,,动,从井里打水；泛指从下往上打水,汲 引
3997,汲,jí,,,名,○ 姓,
3998,敕,chì,,,动,告诫；警告,申 敕
3998,敕,chì,,,动,告诫；警告,戒 敕
3998,敕,chì,,,名,皇帝的命令或诏书,手 敕
3998,敕,chì,,,名,皇帝的命令或诏书,奉 敕
3998,敕,chì,,,名,皇帝的命令或诏书,诏 敕
3999,虞,yú,,,名,传说中上古朝代名，舜所建,
3999,虞,yú,,,名,○ 周朝诸侯国名，在今山西,
3999,虞,yú,,,名,○ 姓,
3999,虞,yú,,,动,〈文〉 料想；猜度（duó） 不 虞 之誉 忧虑；担忧 不 虞 匮乏 ○ 欺诈 尔 虞 我诈,
4000,绯,fēi,,,形,大红,绯 红
4001,颔,hàn,,,名,下巴,
4001,颔,hàn,,,动,○ 点（头）,颔 首
4002,圳,zhèn,,,名,田间水沟（多用于地名）,深 圳
4002,圳,zhèn,,,名,田间水沟（多用于地名）,圳 口（均在广东） 。
4003,臾,yú,,,,见“ 须臾 ” 用法说明 由“臼”和“人”构成,
