definition_id,pinyin_id,definition_sn,definition_cn,definition_en,definition_img
7432411,743241,1,见下。see below,,
7432611,743261,1,〈方dial.〉same as箢箕,yuānjī,
7434611,743461,1,见see[笭箵](língxīng)。,,
7435011,743501,1,same as篆书,zhuànshū,
7435111,743511,1,same as篇,piān,
7436611,743661,1,见see[觱篥](bìlì)。,,
7436811,743681,1,见see[籧篨],qúchú,
7437611,743761,1,〈书fml.〉same as篱笆,lí·bɑ,
7437711,743771,1,same as篷,péng,
7437911,743791,1,同same as‘馔’,zhuàn,
7437912,743791,2,同same as‘撰’,zhuàn,
7437921,743792,1,同same as‘纂’,zuǎn,
7439711,743971,1,见下。see below,,
7440511,744051,1,同same as‘排’,pái,
7441711,744171,1,同same as‘馔’,zhuàn,
7441712,744171,2,同same as‘撰’,zhuàn,
7441721,744172,1,同same as‘纂’,zuǎn,
7442911,744291,1,(～儿,mǐlìr,
7443211,744321,1,〈方dial.〉same as米粉,mǐfěn,
7443812,744381,2,(～儿,mǐmiànr,
7443911,744391,1,same as米色,mǐsè,
7444111,744411,1,见see[粔籹](jùnǚ)。,,
7445411,744541,1,同same as‘子实’,zǐshí,
7445511,744551,1,同same as‘子棉’,zǐmián,
7445611,744561,1,同same as‘子粒’,zǐlì,
7446511,744651,1,(～儿,fěntiáor,
7446811,744681,1,(～儿,fěnpír,
7447211,744721,1,(～儿,fěnchángr,
7448211,744821,1,same as粒,lì,
7449811,744981,1,same as粗糙,cūcāo,
7450211,745021,1,(～儿,cūhuór,
7451112,745111,2,same as粗糙,cūcāo,
7451911,745191,1,same as粗鲁,cū·lǔ,
7452311,745231,1,same as粗俗,cūsú,
7454811,745481,1,same as粮草,liángcǎo,
7458712,745871,2,同same as‘精练’,jīngliàn,
7458811,745881,1,见see【筋疲力尽】,jīn pí lì jìn,
7459111,745911,1,见see【无形损耗】,wúxíng sǔnhào,
7461711,746171,1,同same as‘口’,húkǒu,
7461911,746191,1,〈方dial.〉(～儿,hù·nongjúr,
7462711,746271,1,(～儿,tángrénr,
7463411,746341,1,(～儿,tángguār,
7465011,746501,1,同same as‘靡费’,mífèi,
7465711,746571,1,same as‘糟蹋’,zāo·tà,
7466011,746601,1,same as糨糊,jiàng·hu,
7469412,746941,2,〈方dial.〉same as素席,sùxí,
7470511,747051,1,same as索取,suǒqǔ,
7474711,747471,1,〈书fml.〉同same as‘洁’,jié,
7475711,747571,1,见see【肯綮】,kěnqǐng,
7475721,747572,1,同same as‘棨’,qǐ,
7476311,747631,1,同same as‘烦冗’,fánrǒng,
7477311,747731,1,同same as‘烦琐’,fánsuǒ,
7478111,747811,1,同same as‘烦言’,fányán,
7479511,747951,1,〈书fml.〉同same as‘迂回’,yūhuí,
7479811,747981,1,(～儿,hóngrénr,
7480611,748061,1,same as红壤,hóngrǎng,
7480612,748061,2,same as红土子,hóngtǔ·zi,
7481211,748121,1,同same as‘红装’,hóngzhuāng,
7481811,748181,1,(～的,hóngtōngtōng·de,
7482011,748201,1,(～的,hóngpūpū·de,
7482711,748271,1,(～儿,hóng'ànr,
7483211,748321,1,same as赤潮,chìcháo,
7484111,748411,1,见see【白皮书】,báipíshū,
7484211,748421,1,(～儿,hóngpánr,
7485411,748541,1,(～的,hóngyànyàn·de,
7486011,748601,1,same as红细胞,hóngxìbāo,
7486211,748621,1,(～儿,hóngjuér,
7487111,748711,1,(～儿,zhòugùnr,
7488911,748891,1,[纥](gē·dɑ)同same as‘疙瘩’,gē·dɑ,
7488921,748892,1,见see【回纥】,Huíhé,
7489511,748951,1,same as‘约莫’,yuē·mo,
7489611,748961,1,(～儿,yuēshùr,
7491011,749101,1,同same as‘纨袴’,wánkù,
7491911,749191,1,同same as‘记录片’,jìlùpiàn,
7494211,749421,1,同same as‘淳朴’,chúnpǔ,
7494311,749431,1,same as纯粹,chúncuì,
7498311,749831,1,(～儿,nà∥mènr,
7501711,750171,1,〈方dial.〉same as纸牌,zhǐpái,
7502311,750231,1,(～儿,zhǐniǎnr,
7503111,750311,1,(～儿,zhǐqiánr,
7503211,750321,1,(～儿,zhǐmǎr,
7503711,750371,1,～儿,wén·l?r,
7503811,750381,1,～儿,wén·lur,
