hanzi_id,hanzi,frequency_rank,pinyin_id,pinyin,pinyin_sn,hsk_level
12677,深渊,10244,13261,shēn yuān,1,
12678,劣质,10245,13262,liè zhì,1,
12679,后续,10246,13263,hòu xù,1,
12680,名利,10247,13264,míng lì,1,
12681,显而易见,10248,13265,xiǎn ér yì jiàn,1,
12682,不慎,10249,13266,bù shèn,1,
12683,民主政治,10250,13267,mín zhǔ zhèng zhì,1,
12684,想见,10251,13268,xiǎng jiàn,1,
12685,就绪,10252,13269,jiù xù,1,
12686,领头,10253,13270,lǐng tóu,1,
12687,精通,10254,13271,jīng tōng,1,
12688,村镇,10255,13272,cūn zhèn,1,
12689,条文,10256,13273,tiáo wén,1,
12690,滋生,10257,13274,zī shēng,1,
12691,白皮书,10259,13275,bái pí shū,1,
12692,历任,10260,13276,lì rèn,1,
12693,光耀,10261,13277,guāng yào,1,
12694,短信,10262,13278,duǎn xìn,1,
12695,山脚,10263,13279,shān jiǎo,1,
12696,直奔,10265,13280,zhí bèn,1,
12697,紫色,10266,13281,zǐ sè,1,
12698,能人,10268,13282,néng rén,1,
12699,倍增,10269,13283,bèi zēng,1,
12700,无期,10270,13284,wú qī,1,
12701,军医,10271,13285,jūn yī,1,
12702,丫头,10272,13286,yā tou,1,
12703,抱歉,10273,13287,bào qiàn,1,
12704,抗灾,10275,13288,kàng zāi,1,
12705,哲理,10277,13289,zhé lǐ,1,
12706,试用,10278,13290,shì yòng,1,
12707,出走,10279,13291,chū zǒu,1,
12708,报到,10280,13292,bào dào,1,
12709,固执,10281,13293,gù zhi,1,
12710,蒙受,10282,13294,méng shòu,1,
12711,饭菜,10283,13295,fàn cài,1,
12712,空虚,10284,13296,kōng xū,1,
12713,近似,10285,13297,jìn sì,1,
12714,用具,10287,13298,yòng jù,1,
12715,划定,10288,13299,huà dìng,1,
12716,辗转,10289,13300,zhǎn zhuǎn,1,
12717,滞留,10290,13301,zhì liú,1,
12718,图形,10292,13302,tú xíng,1,
12719,留意,10293,13303,liú yì,1,
12720,里拉,10294,13304,lǐ lā,1,
12721,言说,10295,13305,yán shuō,1,
12722,门路,10296,13306,mén lù,1,
12723,周岁,10297,13307,zhōu suì,1,
12724,随同,10298,13308,suí tóng,1,
12725,卷烟,10299,13309,juǎn yān,1,
12726,华裔,10300,13310,huá yì,1,
12727,养活,10302,13311,yǎng huo,1,
12728,网民,10303,13312,wǎng mín,1,
12729,球门,10304,13313,qiú mén,1,
12730,生发,10305,13314,shēng fā,1,
12731,小队,10306,13315,xiǎo duì,1,
12732,别致,10307,13316,bié zhì,1,
12733,商城,10308,13317,shāng chéng,1,
12734,逆差,10309,13318,nì chā,1,
12735,小生,10310,13319,xiǎo shēng,1,
12736,走动,10311,13320,zǒu dòng,1,
12737,拍照,10312,13321,pāi zhào,1,
12738,闻人,10313,13322,wén rén,1,
12739,轮廓,10314,13323,lún kuò,1,
12740,会心,10315,13324,huì xīn,1,
12741,嫂子,10316,13325,sǎo zi,1,
12742,预案,10317,13326,yù àn,1,
12743,广义,10319,13327,guǎng yì,1,
12744,驾驭,10321,13328,jià yù,1,
12745,序列,10322,13329,xù liè,1,
12746,异国,10323,13330,yì guó,1,
12747,同级,10324,13331,tóng jí,1,
12748,团聚,10325,13332,tuán jù,1,
12749,功臣,10326,13333,gōng chén,1,
12750,途经,10327,13334,tú jīng,1,
12751,估算,10328,13335,gū suàn,1,
12752,下文,10329,13336,xià wén,1,
12753,疲软,10330,13337,pí ruǎn,1,
12754,恶意,10331,13338,è yì,1,
12755,主干,10332,13339,zhǔ gàn,1,
12756,重镇,10333,13340,zhòng zhèn,1,
12757,挺进,10335,13341,tǐng jìn,1,
12758,独到,10336,13342,dú dào,1,
12759,交通工具,10337,13343,jiāo tōng gōng jù,1,
12760,水管,10338,13344,shuǐ guǎn,1,
12761,畏惧,10339,13345,wèi jù,1,
12762,摊位,10340,13346,tān wèi,1,
12763,汇聚,10341,13347,huì jù,1,
12764,泄漏,10343,13348,xiè lòu,1,
12765,觉醒,10344,13349,jué xǐng,1,
12766,跋涉,10345,13350,bá shè,1,
12767,化验,10346,13351,huà yàn,1,
12768,蛋糕,10347,13352,dàn gāo,1,
12769,动产,10348,13353,dòng chǎn,1,
12770,莲花,10349,13354,lián huā,1,
12771,政体,10350,13355,zhèng tǐ,1,
12772,订立,10352,13356,dìng lì,1,
12773,各处,10354,13357,gè chù,1,
12774,真切,10355,13358,zhēn qiè,1,
12775,哺乳,10356,13359,bǔ rǔ,1,
12776,退化,10358,13360,tuì huà,1,
12777,炎热,10359,13361,yán rè,1,
12778,有线电,10360,13362,yǒu xiàn diàn,1,
12779,疏散,10361,13363,shū sàn,1,
12779,疏散,10361,13364,shū sǎn,2,
12780,半晌,10362,13365,bàn shǎng,1,
12781,山头,10363,13366,shān tóu,1,
12782,先知,10364,13367,xiān zhī,1,
12783,带队,10365,13368,dài duì,1,
12784,护林,10366,13369,hù lín,1,
12785,骚乱,10367,13370,sāo luàn,1,
12786,旅游市场,10368,13371,lǚ yóu shì chǎng,1,
12787,复习,10370,13372,fù xí,1,
12788,质地,10371,13373,zhì dì,1,
12789,相符,10373,13374,xiāng fú,1,
12790,交际,10374,13375,jiāo jì,1,
12791,洪峰,10376,13376,hóng fēng,1,
12792,分厂,10378,13377,fēn chǎng,1,
12793,五角大楼,10379,13378,wǔ jiǎo dà lóu,1,
12794,征税,10380,13379,zhēng shuì,1,
12795,纵深,10381,13380,zòng shēn,1,
12796,避难,10382,13381,bì nàn,1,
12797,地雷,10383,13382,dì léi,1,
12798,矿泉,10384,13383,kuàng quán,1,
12799,支票,10385,13384,zhī piào,1,
12800,太阳能,10387,13385,tài yáng néng,1,
12801,矿务,10389,13386,kuàng wù,1,
12802,航天飞机,10390,13387,háng tiān fēi jī,1,
