pinyin_id,hanzi,pinyin,hsk_level,frequency_rank,pinyin_sn
86841,和睦,hé mù,6,5755,1
103241,棕色,zōng sè,6,5758,1
80681,辨认,biàn rèn,6,5761,1
87531,混浊,hùn zhuó,6,5762,1
92521,皮革,pí gé,6,5763,1
95961,私自,sī zì,6,5764,1
102791,驻扎,zhù zhā,6,5767,1
82401,丑恶,chǒu è,6,5771,1
101721,镇静,zhèn jìng,6,5775,1
100941,蕴藏,yùn cáng,6,5776,1
95711,舒畅,shū chàng,6,5782,1
88511,僵硬,jiāng yìng,6,5783,1
100721,预赛,yù sài,6,5784,1
101631,真挚,zhēn zhì,6,5785,1
88141,夹杂,jiā zá,6,5786,1
85001,风度,fēng dù,6,5789,1
88211,坚硬,jiān yìng,6,5790,1
92451,烹饪,pēng rèn,6,5791,1
93771,请示,qǐng shì,6,5792,1
204551,瞳孔,tóng kǒng,,5796,1
83621,颠倒,diān dǎo,6,5797,1
101081,再接再厉,zài jiē zài lì,6,5798,1
95241,时事,shí shì,6,5799,1
103481,作弊,zuò bì,6,5801,1
95131,施加,shī jiā,6,5804,1
95951,思绪,sī xù,6,5806,1
92511,疲倦,pí juàn,6,5807,1
82241,赤字,chì zì,6,5808,1
100151,意料,yì liào,6,5809,1
96571,天文,tiān wén,6,5810,1
93971,缺席,quē xí,6,5813,1
204101,圈子,quān zi,,5816,1
102931,装卸,zhuāng xiè,6,5818,1
88451,见义勇为,jiàn yì yǒng wéi,6,5819,1
97241,玩弄,wán nòng,6,5820,1
87111,呼啸,hū xiào,6,5822,1
84831,废墟,fèi xū,6,5823,1
93521,亲身,qīn shēn,6,5824,1
202931,黄芪,huáng qí,,5825,1
96331,探望,tàn wàng,6,5828,1
94301,日新月异,rì xīn yuè yì,6,5829,1
90451,里程碑,lǐ chéng bēi,6,5836,1
93841,驱逐,qū zhú,6,5837,1
91731,名次,míng cì,6,5838,1
82221,池塘,chí táng,6,5839,1
97541,畏惧,wèi jù,6,5840,1
99441,严寒,yán hán,6,5841,1
200234,玩意儿,wán yì r,6,5842,1
200245,薪水,xīn shuǐ,6,5843,1
98751,薪水,xīn shui,6,5843,2
94321,融洽,róng qià,6,5845,1
90211,捆绑,kǔn bǎng,6,5850,1
80791,别致,bié zhì,6,5851,1
94851,神态,shén tài,6,5852,1
95071,盛开,shèng kāi,6,5853,1
95851,双胞胎,shuāng bāo tāi,6,5856,1
88841,解体,jiě tǐ,6,5857,1
91101,落成,luò chéng,6,5858,1
101892,正经,zhèng jīng,6,5862,1
101891,正经,zhèng jing,6,5862,2
83082,大意,dà yi,6,5863,1
83081,大意,dà yì,6,5863,2
88251,尖端,jiān duān,6,5864,1
92141,凝视,níng shì,6,5865,1
82201,迟疑,chí yí,6,5866,1
90001,空隙,kòng xì,6,5869,1
82191,迟缓,chí huǎn,6,5870,1
90961,流露,liú lù,6,5871,1
98261,现成,xiàn chéng,6,5873,1
200205,络绎不绝,luò yì bù jué,6,5874,1
100391,迎面,yíng miàn,6,5876,1
89821,可口,kě kǒu,6,5877,1
89011,劲头,jìn tóu,6,5878,1
200160,灯笼,dēng lóng,6,5879,1
83471,灯笼,dēng long,6,5879,2
86321,关照,guān zhào,6,5881,1
96731,停滞,tíng zhì,6,5882,1
90931,留念,liú niàn,6,5883,1
81031,不得已,bù dé yǐ,6,5884,1
83441,得天独厚,dé tiān dú hòu,6,5887,1
101541,照料,zhào liào,6,5888,1
97311,往常,wǎng cháng,6,5889,1
87341,荒唐,huāng táng,6,5892,1
82851,摧残,cuī cán,6,5893,1
90271,来历,lái lì,6,5899,1
84591,反问,fǎn wèn,6,5901,1
90311,狼狈,láng bèi,6,5904,1
99121,宣誓,xuān shì,6,5905,1
87871,急切,jí qiè,6,5907,1
94491,嫂子,sǎo zi,6,5908,1
200231,挑剔,tiāo ti,6,5909,1
96591,挑剔,tiāo tī,6,5909,2
90401,冷淡,lěng dàn,6,5912,1
90921,留恋,liú liàn,6,5913,1
98111,夏令营,xià lìng yíng,6,5914,1
90061,枯燥,kū zào,6,5915,1
80181,卑鄙,bēi bǐ,6,5916,1
97141,瓦解,wǎ jiě,6,5917,1
98101,峡谷,xiá gǔ,6,5918,1
82181,吃力,chī lì,6,5921,1
93171,气概,qì gài,6,5922,1
101481,长辈,zhǎng bèi,6,5923,1
88471,践踏,jiàn tà,6,5924,1
81121,不言而喻,bù yán ér yù,6,5929,1
100791,冤枉,yuān wang,6,5930,1
203511,赢利,yíng lì,,5931,1
