rank,hanzi
3931,骁
3932,砷
3933,翎
3934,牟
3935,仄
3936,旌
3937,蹴
3938,镊
3939,桀
3940,噼
3941,颧
3942,涓
3943,蜉
3944,鹫
3945,蒡
3946,裴
3947,汀
3948,琦
3949,狙
3950,穹
3951,圭
3952,饕
3953,曦
3954,皈
3955,镣
3956,饪
3957,攫
3958,慑
3959,珀
3960,奕
3961,呦
3962,黍
3963,璟
3964,杵
3965,眈
3966,朔
3967,舜
3968,埔
3969,滢
3970,翟
3971,蓿
3972,睽
3973,杞
3974,淇
3975,烷
3976,醛
3977,莓
3978,娴
3979,孑
3980,豉
3981,炳
3982,萼
3983,茜
3984,黠
3985,艮
3986,佝
3987,刍
3988,帧
3989,芸
3990,毂
3991,浠
3992,邸
3993,茹
3994,悻
3995,槿
3996,慵
3997,汲
3998,敕
3999,虞
4000,绯
4001,颔
4002,圳
4003,臾
4004,芎
4005,阮
4006,镳
4007,撸
4008,碣
4009,轱
4010,犄
4011,腌
4012,阑
4013,鳅
4014,纶
4015,蹑
4016,氤
4017,矶
4018,梵
4019,镉
4020,滓
4021,垭
4022,枳
4023,獗
4024,冕
4025,渍
4026,盥
4027,炽
4028,啶
4029,雍
4030,猢
4031,盂
4032,宥
4033,弈
4034,鲱
4035,酚
4036,酋
4037,嶂
4038,麒
4039,骼
4040,痈
4041,诧
4042,妊
4043,牍
4044,糜
4045,龛
4046,蜇
4047,晟
4048,淬
4049,阈
4050,霾
4051,孺
4052,嬉
4053,璐
4054,噤
4055,祁
4056,嫖
4057,枰
4058,靛
4059,寰
4060,垠
4061,厩
4062,滕
4063,铤
4064,焙
4065,殡
4066,腭
4067,樾
4068,胄
4069,凋
4070,酊
4071,泠
4072,鹜
4073,鲢
4074,泓
4075,颦
4076,锉
4077,瘢
4078,癖
4079,迸
4080,桓
4081,糨
4082,匮
4083,疡
4084,挝
4085,谥
4086,恪
4087,狩
4088,篌
4089,腈
4090,雉
4091,翮
4092,朕
4093,宸
4094,荟
4095,靳
4096,暧
4097,昕
4098,铧
4099,骛
4100,燹
4101,睨
4102,孬
4103,迦
4104,鳃
4105,祺
4106,羧
4107,钗
4108,浜
4109,哔
4110,徕
4111,娼
4112,瞑
4113,殍
4114,霓
4115,敖
4116,俚
4117,娠
4118,仉
4119,蹉
4120,痤
4121,笃
4122,璀
4123,菁
4124,毗
4125,谀
4126,骊
4127,怂
4128,姗
4129,跄
4130,骸
4131,绌
4132,咦
4133,傥
4134,踝
4135,牒
4136,虔
4137,旮
4138,蹁
4139,厥
4140,倜
4141,觞
4142,糗
4143,釉
4144,媸
4145,绮
4146,鞘
4147,坍
4148,魑
4149,谛
4150,瑚
4151,箍
4152,扦
4153,浣
4154,嚅
4155,蜿
4156,洙
4157,籁
4158,曳
4159,啷
4160,泱
4161,猁
4162,妤
4163,谟
4164,苣
4165,逅
4166,汾
4167,韶
4168,獠
4169,煊
4170,悸
4171,淄
4172,溟
4173,晁
4174,叵
4175,彷
4176,璨
4177,嵇
4178,肱
4179,晏
4180,薰
4181,绺
4182,铬
4183,绦
4184,痍
4185,厮
4186,苋
4187,睾
4188,恺
4189,峒
4190,邕
4191,杈
4192,俨
4193,骶
4194,鲑
4195,蓦
4196,骈
4197,廿
4198,筱
4199,粑
4200,缪
4201,寐
4202,妩
4203,忒
4204,钎
4205,玺
4206,佰
4207,蔷
4208,萱
4209,壕
4210,茏
4211,痣
4212,鳌
4213,痧
4214,痞
4215,珉
4216,榈
4217,彝
4218,滟
4219,嫡
4220,玳
4221,岬
4222,藿
4223,茗
4224,鱿
4225,荏
4226,柩
4227,烊
4228,匡
4229,蝈
4230,闵
4231,莅
4232,拮
4233,辍
4234,诏
4235,笆
4236,疵
4237,啧
4238,瑀
4239,龅
4240,茱
4241,檄
4242,磬
4243,咀
4244,甭
4245,烨
4246,诙
4247,芮
4248,魉
4249,怵
4250,藩
4251,砺
4252,纂
4253,熵
4254,蓑
4255,沂
4256,礴
4257,烩
4258,瓴
4259,菅
4260,唑
4261,弩
4262,磙
4263,擘
4264,滦
4265,缃
4266,脘
4267,涟
4268,磺
4269,蝼
4270,蹊
4271,谧
4272,昀
4273,裘
4274,垣
4275,掴
4276,楂
4277,壅
4278,娣
4279,胱
4280,炜
4281,抿
4282,粽
4283,铄
4284,滂
4285,蓓
4286,佻
4287,榉
4288,醐
4289,疖
4290,铵
4291,羌
4292,佟
4293,觐
4294,枭
4295,缢
4296,鹂
4297,儆
4298,娌
4299,裟
4300,箔
4301,玮
4302,葆
4303,烽
4304,铮
4305,蠹
4306,锑
4307,珂
4308,杼
4309,鹈
4310,猥
4311,硌
4312,熨
4313,橹
4314,揠
4315,泾
4316,啉
4317,嗝
4318,钵
4319,谪
4320,骥
4321,灏
4322,惘
4323,笠
4324,荼
4325,壑
4326,铨
4327,疥
4328,瑄
4329,诰
4330,呤
4331,粕
4332,佞
4333,蜊
4334,棣
4335,砣
4336,疱
4337,阙
4338,诿
4339,垩
4340,桁
4341,怆
4342,汐
4343,郴
4344,睥
4345,赭
4346,墒
4347,湎
4348,谕
4349,囔
4350,猷
4351,钨
4352,绥
4353,婧
4354,骷
4355,驷
4356,铳
4357,笺
4358,螵
4359,枷
4360,鳇
4361,庾
4362,荚
4363,烃
4364,锵
4365,糍
4366,蜷
4367,湄
4368,玙
4369,冢
4370,栾
4371,妪
4372,诣
4373,菟
4374,侬
4375,剜
4376,璞
4377,戟
4378,呸
4379,锗
4380,螂
4381,姣
4382,恙
4383,佚
4384,嗑
4385,肟
4386,绛
4387,缁
4388,俎
4389,抻
4390,芍
4391,漉
4392,嚓
4393,玥
4394,葺
4395,砥
4396,瞿
4397,蟒
4398,涸
4399,浚
4400,榫
4401,锢
4402,殇
4403,蹿
4404,殚
4405,鸾
4406,滠
4407,柞
4408,憧
4409,芡
4410,汶
4411,幺
4412,榭
4413,犷
4414,樵
4415,爰
4416,幂
4417,徉
4418,铠
4419,鸠
4420,坨
4421,卞
4422,铎
4423,裆
4424,氪
4425,霰
4426,颍
4427,僖
4428,羁
4429,饴
4430,咫
4431,邡
4432,貂
4433,呱
4434,瘊
4435,岌
4436,痨
4437,遒
4438,噎
4439,晞
4440,嵩
4441,绡
4442,钊
4443,鼾
4444,龊
4445,圩
4446,咆
4447,铿
4448,谙
4449,崮
4450,翱
4451,聒
4452,桡
4453,碜
4454,瞟
4455,劾
4456,倏
4457,葳
4458,鸪
4459,掳
4460,椽
4461,髂
4462,孳
4463,莴
4464,仨
4465,偌
4466,莘
4467,衿
4468,嬷
4469,拈
4470,忤
4471,婕
4472,鹧
4473,毽
4474,跹
4475,苷
4476,郧
4477,圄
4478,湍
4479,裨
4480,谯
4481,豨
4482,蜚
4483,敝
4484,袅
4485,阪
4486,嘚
4487,圊
4488,锒
4489,灞
4490,泗
4491,傀
4492,畈
4493,髻
4494,扉
4495,伉
4496,掖
4497,棂
4498,娆
4499,岿
4500,啭
4501,锨
4502,蕃
4503,蹙
4504,珞
4505,塾
4506,遴
4507,疸
4508,蒿
4509,帛
4510,轶
4511,茭
4512,雎
4513,蟑
4514,鸬
4515,胥
4516,桤
4517,昱
4518,濮
4519,钿
4520,姝
4521,泯
4522,躞
4523,讷
4524,琵
4525,钼
4526,侗
4527,翕
4528,忖
4529,饬
4530,氰
4531,袂
4532,矍
4533,炷
4534,飒
4535,惇
4536,赟
4537,讣
4538,瓮
4539,笞
4540,绫
4541,胯
4542,佯
4543,缜
4544,潺
4545,矽
4546,浔
4547,嘞
4548,蚝
4549,镓
4550,嗲
4551,嗔
4552,蔻
4553,裱
4554,骧
4555,漪
4556,腚
4557,娲
4558,猹
4559,瘁
4560,簖
4561,琶
4562,琏
4563,摞
4564,篙
4565,迩
4566,恣
4567,霏
4568,蟾
4569,馄
4570,虱
4571,戍
4572,煅
4573,躐
4574,魇
4575,芪
4576,湮
4577,嗳
4578,硼
4579,冼
4580,醺
4581,蟮
4582,邯
4583,橇
4584,薹
4585,渚
4586,阱
4587,铋
4588,锏
4589,螨
4590,聩
4591,摁
4592,恫
4593,笈
4594,疃
4595,沱
4596,咛
4597,熹
4598,蛎
4599,缈
4600,阉
4601,鳗
4602,椁
4603,耦
4604,俪
4605,鲲
4606,岣
4607,鳟
4608,箸
4609,夙
4610,舂
4611,骰
4612,焱
4613,钴
4614,皎
4615,儇
4616,潼
4617,淞
4618,郢
4619,苒
4620,诟
4621,苕
4622,轾
4623,蒗
4624,酾
4625,铆
4626,攸
4627,悌
4628,醪
4629,楫
4630,罡
4631,杷
4632,胫
4633,逦
4634,幔
4635,窨
4636,衢
4637,嫔
4638,匝
4639,弋
4640,腩
4641,翊
4642,倭
4643,邬
4644,佘
4645,罂
4646,锛
4647,邋
4648,腱
4649,忻
4650,鬣
4651,皋
4652,疝
4653,叟
4654,黜
4655,楣
4656,鸷
4657,铰
4658,犰
4659,龃
4660,燮
4661,鼢
4662,胴
4663,蓼
4664,晗
4665,噱
4666,酞
4667,啜
4668,绾
4669,硪
4670,蟠
4671,缛
4672,亍
4673,脍
4674,阖
4675,淅
4676,俾
4677,窕
4678,垤
4679,奂
4680,蔌
4681,欤
4682,砼
4683,垡
4684,婵
4685,噻
4686,捋
4687,踽
4688,谲
4689,汊
4690,椴
4691,寮
4692,氩
4693,狳
4694,滁
4695,蹩
4696,纨
4697,掇
4698,荃
4699,崂
4700,竽
4701,觊
4702,氦
4703,稷
4704,椠
4705,蛹
4706,筠
4707,瓯
4708,炔
4709,荞
4710,筮
4711,聍
4712,蛏
4713,咂
4714,澍
4715,擤
4716,篦
4717,痂
4718,颚
4719,逡
4720,媾
4721,皑
4722,衩
4723,姘
4724,榛
4725,厝
4726,彧
4727,垅
4728,簪
4729,宕
4730,钺
4731,螳
4732,皲
4733,爻
4734,蹶
4735,莪
4736,赈
4737,溥
4738,啵
4739,偃
4740,讴
4741,掸
4742,荀
4743,寤
4744,萋
4745,蕤
4746,轫
4747,闩
4748,赧
4749,喏
4750,襁
4751,戾
4752,菖
4753,颢
4754,蜢
4755,凇
4756,侑
4757,岢
4758,斛
4759,惴
4760,楝
4761,锴
4762,窈
4763,鲷
4764,髋
4765,倌
4766,诘
4767,籼
4768,藓
4769,麝
4770,虻
4771,谄
4772,唳
4773,骞
4774,濠
4775,杳
4776,桅
4777,鳝
4778,刈
4779,搡
4780,鲛
4781,踮
4782,潍
4783,歆
4784,搽
4785,缲
4786,裾
4787,枸
4788,鄞
4789,坳
4790,圜
4791,峋
4792,扪
4793,邰
4794,泸
4795,耵
4796,戕
4797,旖
4798,夥
4799,鬃
4800,漕
4801,怄
4802,粼
4803,岷
4804,蔫
4805,嘭
4806,耄
4807,腴
4808,犒
4809,簌
4810,悱
4811,钽
4812,霭
4813,弑
4814,蠡
4815,侩
4816,遨
4817,螟
4818,纾
4819,瓞
4820,暹
4821,盎
4822,乜
4823,擀
4824,阄
4825,俟
4826,陲
4827,蛆
4828,嘣
4829,馥
4830,踯
4831,谵
4832,螯
4833,膈
4834,鏖
4835,膘
4836,纰
4837,煨
4838,莆
4839,愫
4840,罔
4841,衮
4842,旎
4843,舸
4844,赝
4845,甑
4846,讧
4847,蕨
4848,蹰
4849,嬗
4850,沏
4851,仟
4852,噙
4853,礞
4854,胤
4855,囡
4856,樽
4857,訇
4858,澥
4859,礌
4860,囟
4861,辎
4862,碴
4863,挲
4864,郗
4865,崟
4866,桷
4867,鳏
4868,蚧
4869,莼
4870,阆
4871,娉
4872,噔
4873,纣
4874,砻
4875,捃
4876,旯
4877,胛
4878,荠
4879,绋
4880,剐
4881,蝣
4882,鹄
4883,镛
4884,蒌
4885,狻
4886,啮
4887,棹
4888,庑
4889,弼
4890,恻
4891,沣
4892,澹
4893,趸
4894,姹
4895,腧
4896,阡
4897,剽
4898,锬
4899,滘
4900,麋
4901,扈
4902,鎏
4903,熜
4904,忪
4905,澶
4906,莒
4907,綦
4908,珏
4909,诃
4910,髁
4911,鲈
4912,碓
4913,郦
4914,璁
4915,琮
4916,勐
4917,龇
4918,夬
4919,嗪
4920,飨
4921,膑
4922,辘
4923,涔
4924,叻
4925,齁
4926,莠
4927,昶
4928,芫
4929,哳
4930,甙
4931,蓁
4932,崃
4933,谌
4934,珈
4935,邝
4936,傣
4937,暝
4938,岫
4939,氽
4940,舫
4941,俸
4942,璜
4943,靥
4944,瑁
4945,洌
4946,懋
4947,蝾
4948,腠
4949,訾
4950,贲
4951,麸
4952,驸
4953,茴
4954,桉
4955,稞
4956,瘘
4957,楮
4958,圪
4959,钒
4960,谫
4961,鸢
4962,苡
4963,桧
4964,豕
4965,氙
4966,揶
4967,镞
4968,麂
4969,晔
4970,呲
4971,镧
4972,浒
4973,鹚
4974,汴
4975,桢
4976,濯
4977,鬻
4978,檗
4979,殓
4980,蹇
4981,璎
4982,窸
4983,镥
4984,膦
4985,莳
4986,畿
4987,腓
4988,禚
4989,牯
4990,锃
4991,迤
4992,荽
4993,渌
4994,舐
4995,啻
4996,餮
4997,泫
4998,旻
4999,爨
5000,绉
5001,咣
5002,昝
5003,哞
5004,揎
5005,汩
5006,郸
5007,陟
5008,仫
5009,嘁
5010,恽
5011,枥
5012,痦
5013,缬
5014,羯
5015,鞑
5016,圻
5017,萘
5018,墉
5019,酐
5020,濂
5021,颞
5022,缮
5023,鍪
5024,胗
5025,蒽
5026,佗
5027,薅
5028,钣
5029,茼
5030,痼
5031,祎
5032,摽
5033,耋
5034,涿
5035,猃
5036,窣
5037,舢
5038,苄
5039,鼬
5040,妁
5041,镝
5042,藜
5043,杲
5044,骐
5045,哐
5046,苁
5047,闾
5048,钯
5049,浼
5050,癜
5051,芩
5052,荪
5053,馊
5054,乩
5055,轳
5056,牖
5057,獒
5058,忝
5059,炀
5060,骅
5061,玑
5062,铌
5063,卅
5064,葭
5065,犟
5066,澧
5067,砒
5068,摈
5069,髅
5070,蒯
5071,傈
5072,琨
5073,亓
5074,罅
5075,茆
5076,殄
5077,竦
5078,豢
5079,畦
5080,浃
5081,鞣
5082,赓
5083,巯
5084,殒
5085,偈
5086,犸
5087,醑
5088,聿
5089,阚
5090,琰
5091,呷
5092,潴
5093,鲳
5094,卟
5095,揿
5096,嶷
5097,泷
5098,顼
5099,鄢
5100,羰
5101,挹
5102,锷
5103,赅
5104,祚
5105,旃
5106,糁
5107,瓘
5108,勰
5109,辔
5110,橐
5111,蚩
5112,铟
5113,脲
5114,箜
5115,珩
5116,毵
5117,崆
5118,轲
5119,钇
5120,蘅
5121,蚜
5122,瀹
5123,鲰
5124,饧
5125,偻
5126,貅
5127,淝
5128,曷
5129,氖
5130,妣
5131,砭
5132,镏
5133,伢
5134,愠
5135,槲
5136,祗
5137,茔
5138,嘌
5139,犴
5140,缱
5141,孱
5142,隗
5143,魍
5144,礓
5145,瞵
5146,堇
5147,毖
5148,菀
5149,帱
5150,獾
5151,孓
5152,垓
5153,荻
5154,搴
5155,舻
5156,貉
5157,揄
5158,骝
5159,遽
5160,镗
5161,貔
5162,恧
5163,鳕
5164,锆
5165,爿
5166,琚
5167,硎
5168,銮
5169,涪
5170,蒇
5171,夔
5172,嗬
5173,螅
5174,伧
5175,恁
5176,陂
5177,熘
5178,哌
5179,狃
5180,趔
5181,柘
5182,倥
5183,褡
5184,鲟
5185,嗫
5186,羑
5187,滹
5188,膻
5189,萏
5190,尕
5191,帙
5192,舛
5193,淙
5194,宓
5195,婺
5196,刽
5197,阗
5198,矸
5199,棬
5200,衄
5201,炝
5202,趄
5203,傧
5204,镒
5205,飧
5206,庥
5207,劂
5208,哝
5209,苎
5210,髯
5211,锱
5212,桕
5213,谖
5214,硖
5215,魆
5216,谗
5217,庖
5218,羿
5219,啐
5220,谝
5221,弭
5222,绀
5223,稔
5224,痱
5225,艄
5226,赆
5227,郜
5228,闱
5229,饩
5230,鹗
5231,笥
5232,谰
5233,奘
5234,苌
5235,窠
5236,肓
5237,潢
5238,蚴
5239,蛄
5240,羸
5241,耆
5242,碶
5243,驵
5244,铯
5245,唼
5246,鸸
5247,螋
5248,椤
5249,楦
5250,峁
5251,磴
5252,稂
5253,啖
5254,嫚
5255,邽
5256,翳
5257,芏
5258,苜
5259,谔
5260,丕
5261,栎
5262,勍
5263,屺
5264,忾
5265,瘙
5266,箧
5267,觥
5268,巽
5269,颉
5270,砗
5271,甾
5272,囹
5273,篑
5274,筢
5275,恸
5276,氐
5277,畲
5278,鹋
5279,拊
5280,螗
5281,嗵
5282,猕
5283,仞
5284,鲦
5285,郫
5286,绗
5287,馐
5288,谩
5289,蘖
5290,糈
5291,塬
5292,讫
5293,埚
5294,蝥
5295,蓊
5296,绔
5297,橦
5298,嬴
5299,菏
5300,匦
5301,铱
5302,瘛
5303,兖
5304,躜
5305,狍
5306,蕈
5307,牮
5308,嘧
5309,裰
5310,诅
5311,妗
5312,秫
5313,蓖
5314,庳
5315,醍
5316,隍
5317,舳
5318,蜾
5319,鳔
5320,琬
5321,犏
5322,嘡
5323,焐
5324,礤
5325,黢
5326,刎
5327,獬
5328,袈
5329,蝰
5330,琥
5331,蟥
5332,鼍
5333,诮
5334,褛
5335,骢
5336,幞
5337,诔
5338,纡
5339,葶
5340,恝
5341,莜
5342,诖
5343,箅
5344,芗
5345,绂
5346,盍
5347,绨
5348,箓
5349,鸨
5350,诤
5351,掭
5352,薷
5353,盦
5354,矬
5355,柢
5356,潽
5357,饔
5358,伋
5359,冱
5360,桴
5361,臁
5362,潋
5363,璆
5364,椋
5365,龉
5366,僮
5367,馔
5368,沤
5369,葚
5370,崤
5371,哂
5372,庹
5373,汆
5374,嚯
5375,鹩
5376,噫
5377,鞫
5378,钹
5379,擞
5380,繇
5381,颀
5382,擢
5383,酩
5384,獐
5385,愆
5386,椐
5387,悭
5388,檎
5389,煳
5390,衾
5391,蝮
5392,绶
5393,瓒
5394,瓠
5395,锝
5396,噌
5397,胍
5398,錾
5399,菰
5400,謇
5401,柈
5402,栌
5403,巉
5404,酴
5405,裢
5406,鸩
5407,醴
5408,怊
5409,聃
5410,螫
5411,燔
5412,颥
5413,阋
5414,轸
5415,睢
5416,鹪
5417,遑
5418,嵊
5419,瘰
5420,憝
5421,沭
5422,鸱
5423,筚
5424,泮
5425,怿
5426,鲵
5427,粲
5428,怙
5429,祜
5430,璠
5431,淦
5432,弇
5433,喾
5434,氕
5435,镄
5436,鄣
5437,舾
5438,笊
5439,魈
5440,溻
5441,逶
5442,恂
5443,溲
5444,缦
5445,僭
5446,邈
5447,锟
5448,囝
5449,倨
5450,趺
5451,硐
5452,翦
5453,孛
5454,馓
5455,玎
5456,硷
5457,芼
5458,洵
5459,阽
5460,畚
5461,阂
5462,苫
5463,黧
5464,槎
5465,碲
5466,蹼
5467,莰
5468,岵
5469,踅
5470,狒
5471,苈
5472,犋
5473,醮
5474,逑
5475,鬲
5476,矧
5477,觯
5478,萜
5479,肄
5480,橛
5481,瑗
5482,愎
5483,哏
5484,箢
5485,崞
5486,钤
5487,岙
5488,泔
5489,铘
5490,筻
5491,畋
5492,诓
5493,鲂
5494,夤
5495,诂
5496,钐
5497,钏
5498,鲭
5499,燧
5500,鄯
