rank,hanzi,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
4288,醐,hú,,,,见“ 醍（tí）醐 ”,
4296,鹂,lí,,,,见“ 黄鹂 ”,
4299,裟,shā,,,,见“ 袈（jiā）裟 ”,
4334,棣,dì,,,名,见“ 棠棣 ” 〈文〉借指弟（相传《诗经·小雅·常棣》是周公欢宴兄弟的乐歌，后用“棣华” “棣萼” “常棣”比喻兄弟或兄弟情谊，并借“棣”为“弟”） 贤 棣 | 仁 棣 棣 2 dì 棣棠 dìtáng 落叶灌木，叶子长椭圆状卵形，开黄色花，果实黑褐色。花可供观赏，也可以做药材,
4417,徉,yáng,,,,见“ 徜（cháng）徉 ”,
4419,鸠,jiū,,,,见“ 斑鸠 ”,
4444,龊,chuò,,,,见“ 龌（wò）龊 ”,
4458,鸪,gū,,,,见“鹁（bó）鸪”,
4474,跹,xiān,,,,见“ 翩（piān）跹 ” ○ 见“ 蹁（pián）跹 ” 用法说明 不读 qiān,
4475,苷,gān,,,,见“ 糖苷 ”,
4477,圄,yǔ,,,,见“ 囹（líng）圄 ”,
4504,珞,luò,,,名,见“ 璎（yīng）珞 ” ○ 姓,
4512,雎,jū,睢鸠,jūjiū,,见“ 鹗 ” 用法说明 跟“睢（suī）”不同。“雎”左边是“ ”，不是“目”,
4552,蔻,kòu,,,,见“ 豆蔻 ”,
4557,娲,wā,,,,见“ 女娲 ” 用法说明 统读 wā，不读 wō,
4561,琶,pá,,,,见“ 琵（pí）琶 ” 用法说明 统读 pá，不读 bā,
4581,蟮,shàn,,,,见“ 曲（qū）蟮 ”,
4599,缈,miǎo,,,,见“ 缥（piāo）缈 ” 用法说明 统读 miǎo，不读 miào,
4607,鳟,zūn,,,,见“赤眼鳟”,
4619,苒,rǎn,,,,见“ 荏（rěn）苒 ”,
4633,逦,lǐ,,,,见“ 迤（yǐ）逦 ”,
4640,腩,nǎn,,,,见“ 牛腩 ”,
4672,亍,chù,,,,见“ 彳（chì）亍 ”,
4677,窕,tiǎo,,,,见“ 窈（yǎo）窕 ”,
4693,狳,yú,,,,见“ 犰（qiú）狳 ”,
4697,掇,duō,,,,见“拾掇（duo）”,
4711,聍,níng,,,,见“ 耵（dīng）聍 ”,
4745,蕤,ruí,,,,见“ 葳（wēi）蕤 ”,
4754,蜢,měng,,,,见“ 蚱（zhà）蜢 ”,
4780,鲛,jiāo,,,,见“ 鲨 ”,
4865,崟,yín,,,,见“ 嵚（qīn）崟 ”,
4868,蚧,jiè,,,,见“ 蛤（gé）蚧 ”,
4881,蝣,yóu,,,,见“ 蜉（fú）蝣 ”,
4932,崃,lái,,,,见“ 邛（qióng）崃 ”,
4944,瑁,mào,,,,见“ 玳（dài）瑁 ” 用法说明 ㊀统读 mào，不读 mò 或 mài。㊁见“冒（mào）”,
4973,鹚,cí,,,,见“ 鸬（lú）鹚 ”,
4978,檗,bò,,,,见“ 黄檗 ”,
4992,荽,suī,,,,见“ 芫荽（yánsui） ”,
5019,酐,gān,,,名,见“ 酸酐 ”,
5035,猃,xiǎn,猃狁,xiǎnyǔn,,见“ 獯鬻 ”,
5054,乩,jī,,,,见“ 扶乩 ”,
5055,轳,lú,,,,见“ 辘轳（lùlu） ”,
5069,髅,lóu,,,,见“髑（dú）髅”,
5098,顼,xū,,,,见“ 颛（zhuān）顼 ”,
5120,蘅,héng,,,,见“ 杜蘅 ”,
5126,貅,xiū,,,,见“ 貔（pí）貅 ”,
5151,孓,jué,,,,见“ 孑（jié）孓 ”,
5207,劂,jué,,,,见“ 剞（jī）劂 ”,
5215,魆,xū,,,,见“ 黑魆魆 ” 用法说明 右上是“戉（yuè）”，不是“戊” “戌”或“戍”,
5247,螋,sōu,,,,见“ 蠼（qú）螋 ”,
5257,芏,dù,,,,见“ 茳（jiāng）芏 ”,
5278,鹋,miáo,,,名,见“ 鸸（ér）鹋 ” ○ 姓,
5293,埚,guō,,,,见“ 坩（gān）埚 ”,
5294,蝥,máo,,,,见“ 斑蝥 ”,
5331,蟥,huáng,,,,见“ 蚂蟥 ”,
5334,褛,lǚ,,,,见“ 褴（lán）褛 ”,
5352,薷,rú,,,,见“ 香薷 ”,
5365,龉,yǔ,,,,见“ 龃（jǔ）龉 ”,
5375,鹩,liáo,,,,见“ 鹪（jiāo）鹩 ”,
5405,裢,lián,,,,见“ 褡裢（dālian） ”,
5412,颥,rú,,,,见“ 颞（niè）颥 ”,
5422,鸱,chī,,,,见“ 鹞鹰 ”,
5439,魈,xiāo,,,,见“ 山魈 ”,
5471,苈,lì,,,,见“ 葶（tíng）苈 ”,
5489,铘,yé,,,,见“ 镆（mò）铘 ”,
