rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
35176,人力车,rénlìchē,,,名,特指一种人拉的车，有两个直径较大的橡胶车轮，车身前有两根长柄。主要用于载人。某些地区,
35177,俗文学,súwénxué,,,名,我国古代的通俗文学。如歌谣、曲子、民间传说、话本、笑话等,
35179,水平线,shuǐpíngxiàn,,,名,与铅垂线垂直的直线或与水平面平行的直线,
35179,水平线,shuǐpíngxiàn,,,名,向水平方向望去，天和水面交界的线,
35179,水平线,shuǐpíngxiàn,,,名,水平②,
35180,矫情,jiǎoqíng,,,动,故意违反常情，以示与众不同,矫情 自饰
35183,定亲,dìngqīn,,,动,确定婚姻关系（旧时多由父母作主）,
35184,绵长,miáncháng,,,形,延续久远；漫长,岁月 绵长
35185,微缩,wēisuō,,,动,根据原物形状按一定比例缩小,圆明园 微缩 景观
35186,铜奖,tóngjiǎng,,,名,铜质奖品。通常颁发给体育或其他比赛中的季军（第三名）,
35188,各半,gèbàn,,,动,平分；各得一半,投资相等，利润 各半 。
35188,各半,gèbàn,,,动,各占一半,优劣 各半
35189,扇形,shànxíng,,,名,圆的两个半径所夹的部分,
35190,摔打,shuāida,,,动,抓在手里往地上或其他硬物上用力磕,拔下一墩花生，在地上 摔打 摔打 。
35190,摔打,shuāida,,,动,比喻在实践中磨炼,青年人要到艰苦环境中去 摔打 才能成才 。
35192,廉耻,liánchǐ,,,名,廉洁的作风和知羞耻的心理,贪赃枉法，毫无 廉耻 。
35193,度汛,dùxùn,,,动,度过汛期,安全 度汛
35194,普惠,pǔhuì,,,动,普遍给予好处,普惠 于民
35195,巧立名目,qiǎolì-míngmù,,,,为达到某种不正当的目的而想方设法编造理由，定出新的名义,
35198,瞬时,shùnshí,,,名,一瞬间；霎时,台风来时，海浪 瞬时 可达八九米高 。
35199,蛮干,mángàn,,,动,鲁莽地干；不管实际情况而硬干,做事要动脑筋，不能 蛮干 。
35200,怅惘,chàngwǎng,,,形,因失意或伤感而愁闷迷惘,神色 怅惘
35201,铁桶,tiětǒng,,,名,用铁制成的桶；比喻坚不可摧的东西,铁桶 江山
35202,自成体系,zìchéng-tǐxì,,,名,本身就可以形成体系,
35204,触雷,chùléi,,,动,碰上地雷或水雷；比喻接触到可能招致灾祸的危险事物,对这件大案要一查到底，不要怕 触雷 。
35205,摩肩接踵,mójiān-jiēzhǒng,,,,肩挨着肩，后面人的脚尖紧接着前面人的脚跟。形容行人众多，非常拥挤,
35207,惨无人道,cǎnwúréndào,,,,形容极其凶残，毫无人性,
35208,半透明,bàntòumíng,,,形,介于透明与不透明之间的,
35210,马利亚,mǎlìyà,,,,现在一般写作“玛利亚”,
35212,丰衣足食,fēngyī-zúshí,,,,吃的、穿的丰富充足。形容生活富裕,
35213,自相残杀,zìxiāng-cánshā,,,,自己人之间相互杀害,
35214,如此而已,rúcǐ-éryǐ,,,,就是这样罢了,室内陈设简朴，一张写字台，两把木椅，一盏台灯， 如此而已 。
35217,飞地,fēidì,,,名,位于甲行政区境内而隶属于乙行政区的土地，如在北京和天津两市包围中的大厂回族自治县和香河县是河北省的飞地,
35217,飞地,fēidì,,,名,被包围在甲国境内而隶属于乙国的领土，如休达是摩洛哥境内的西班牙飞地,
35218,野鸡,yějī,,,名,雉1的通称 指自行拉客的暗娼 区别指非正规的 野鸡 学校,
35219,呈交,chéngjiāo,,,动,恭敬地交上,当面 呈交
35220,太史,tàishǐ,,,名,复姓,
35221,泳衣,yǒngyī,,,名,泳装,
35223,初识,chūshí,,,动,刚认识,我和他只是 初识 ，彼此还不了解 。
35224,心火,xīnhuǒ,,,名,中医指人体内热，症状为烦躁、口干、脉搏快、口舌生疮等,
35224,心火,xīnhuǒ,,,名,心里的怒气,强压 心火
35225,走漏,zǒulòu,,,动,泄露,走漏 风声
35225,走漏,zǒulòu,,,动,走私漏税,严防 走漏 行为
35227,轧机,zhájī,,,名,轧制金属材料的机械设备,
35228,虐囚,nüèqiú,,,动,虐待囚犯,
35229,禀告,bǐnggào,,,动,把事情告诉上级或长辈,禀告 二老双亲
35230,亭台,tíngtái,,,名,亭子和楼台一类供休息和玩赏的建筑,亭台 楼阁
35231,黄羊,huángyáng,,,名,哺乳动物，体长可达1.3米，角短，颈细长，尾短，肢细，体毛棕黄，有光泽。野生在草原和沙漠地带。分布于我国北方地区,
35233,超车,chāochē,,,动,同方向行驶的后面的车辆快速越过前面的车辆,拐弯时，不得 超车 。
35234,顺乎,shùnhū,,,动,顺应,顺乎 民意
35235,老朽,lǎoxiǔ,,,形,（人）衰老陈腐,老朽 愚钝
35235,老朽,lǎoxiǔ,,,名,〈文〉谦词，用于老年人自称,先生过誉了， 老朽 实不敢当 。
35236,成虫,chéngchóng,,,名,发育成熟，能繁殖后代的昆虫。如蚕蛾是蚕的成虫,
35237,起运,qǐyùn,,,,现在一般写作“启运”,
35238,夜航,yèháng,,,动,（飞机或船只）夜间航行,
35239,流散,liúsàn,,,动,流失散落；流离分散,流散 的古籍善本已陆续搜集起来
35239,流散,liúsàn,,,动,流失散落；流离分散,亲朋 流散 各地
35242,毒犯,dúfàn,,,名,犯有制造、运输、贩卖毒品等罪行的人,缉拿 毒犯
35243,无依无靠,wúyī-wúkào,,,,没有可依靠的人,
35244,徐步,xúbù,,,动,慢慢地从容地走,徐步 庭前
35245,光能,guāngnéng,,,名,光所具有的能量,把电能转变成 光能 。
35246,平装,píngzhuāng,,,区别,书籍装订用单层纸做封面、书脊不成弧形的（跟“精装”相对）,平装 书
35246,平装,píngzhuāng,,,区别,书籍装订用单层纸做封面、书脊不成弧形的（跟“精装”相对）,平装 本
35247,唱盘,chàngpán,,,名,原指唱机上承托唱片的圆盘；今也指唱片,
35248,主理,zhǔlǐ,,,动,主持料理,主理 家务
35248,主理,zhǔlǐ,,,动,主持料理,由名厨 主理
35249,环山,huánshān,,,动,被山环抱着,环山 抱水，风景秀丽 。
35249,环山,huánshān,,,动,围绕着山,汽车 环山 盘行
35251,积怨,jīyuàn,,,动,积聚怨恨,两人 积怨 已久
35251,积怨,jīyuàn,,,名,积压很久的怨恨,心中 积怨 难消
35252,静候,jìnghòu,,,动,耐心安静地等候,静候 佳音
35253,飞禽,fēiqín,,,名,会飞的鸟类；泛指鸟类,
35254,顺流,shùnliú,,,副,顺着水流的方向,顺流 而下
35256,惹事,rěshì,,,动,引起事端或麻烦,这孩子在外面从不 惹事 。
35258,前赴后继,qiánfù-hòujì,,,,前面的人冲上去了，后面的人也紧跟上去。形容奋勇向前，连续不断,
35259,坑坑洼洼,kēngkeng-wāwā,,,形,形容地面或物体表面高低不平,这条路 坑坑洼洼 ，很难走 。
35262,速战速决,sùzhàn-sùjué,,,,快速发起战斗，并快速取得胜利；比喻做事迅速动手，迅速完成,
35263,见死不救,jiànsǐ-bùjiù,,,,看见别人陷入困境甚至面临死亡而不去救援,
35267,绸子,chóuzi,,,名,丝织品，质地薄而软,
35269,拱形,gǒngxíng,,,名,隆起呈一定弧度的形状,
35273,鹿角,lùjiǎo,,,名,鹿的角；特指雄性梅花鹿、马鹿等已骨化的角，可以做药材,
35273,鹿角,lùjiǎo,,,名,鹿寨,
35276,铜镜,tóngjìng,,,名,古代用铜制成的镜子。一般为圆形，正面磨光发亮，背面常铸花纹,
35278,金灿灿,jīncàncàn,,,形,形容金光闪闪、十分耀眼的样子,胸前挂着 金灿灿 的奖章 。
35280,推进器,tuījìnqì,,,名,使飞机、船舶前进的机械装置。如螺旋桨、喷气装置等,
35281,会元,huìyuán,,,名,会试的第一名,
35283,白开水,báikāishuǐ,,,名,不加茶叶、糖等的开水,服药得用 白开水
35283,白开水,báikāishuǐ,,,名,不加茶叶、糖等的开水,这个剧本像 白开水 一样平淡 。
35284,轻武器,qīngwǔqì,,,名,射程较近、容易携带和使用的轻便武器。如步枪、冲锋枪、轻机枪和手榴弹、火箭筒等,
35285,黑板报,hēibǎnbào,,,名,工厂、机关、学校等用的一种宣传工具。通常写在黑板上，故称,
35287,避风港,bìfēnggǎng,,,名,专供船舶躲避风暴的港湾,
35287,避风港,bìfēnggǎng,,,名,比喻可以躲避激烈斗争或麻烦的场所,他把医院当 避风港 。
35288,萧瑟,xiāosè,,,拟声,模拟风吹树木的声音,秋风 萧瑟
35288,萧瑟,xiāosè,,,形,冷落凄凉,一片 萧瑟 的景象
35289,陵寝,língqǐn,,,名,帝王的坟墓、寝庙及相关建筑物的统称,
35290,咕咚,gūdōng,,,拟声,模拟重物落地或大口喝水的声音,咕咚 咕咚 几口就把一杯水喝光了 。
35291,神似,shénsì,,,动,精神实质相似,漫画重 神似
35293,量度,liángdù,,,动,对长度、质量、容量以及功、能等各种量进行测量,
35294,跟风,gēnfēng,,,动,盲目追随当时的风气,做事要从实际出发，不要 跟风 。
35296,夜宵,yèxiāo,,,名,夜间吃的酒食、点心等,
35297,空翻,kōngfān,,,名,一种体操动作。身体向前或向后腾空翻转一周或一周以上,
35298,卷宗,juànzōng,,,名,案卷,
35298,卷宗,juànzōng,,,名,保存文件的特制纸夹子,
35299,横卧,héngwò,,,动,横躺着,
35300,历朝,lìcháo,,,名,以往各个朝代,历朝 文物典章
35300,历朝,lìcháo,,,名,指同一朝代各个君主的在位时期,
35301,铃铛,língdang,,,名,可摇晃发声的铃。钟形、球形或扁圆形，下部或中部开口 儿 ，内有悬锤、金属丸或小石子，有供儿童玩的、骡马身上带的或作饰品用的等,
35302,遭灾,zāozāi,,,动,遭受灾祸（多指自然灾害）,今年家乡 遭灾 ，颗粒无收 。
35303,分毫,fēnháo,,,名,市制计量单位的分和毫。指很小的数量,分毫 不少
