hanzi_id,hanzi,frequency_rank,pinyin_id,pinyin,pinyin_sn
55483,工夫,5483,9124,gōng fu,1
55484,播放,5484,9125,bō fàng,1
55485,什么的,5485,9126,shén me de,1
55486,男篮,5486,9127,nán lán,1
55487,人造,5487,9128,rén zào,1
55488,步行,5488,9129,bù xíng,1
55490,凝聚力,5490,9130,níng jù lì,1
55491,影子,5491,9131,yǐng zi,1
55492,后悔,5492,9132,hòu huǐ,1
55493,震动,5493,9133,zhèn dòng,1
55495,编写,5495,9134,biān xiě,1
55496,进度,5496,9135,jìn dù,1
55497,排列,5497,9136,pái liè,1
55499,补助,5499,9137,bǔ zhù,1
55500,何不,5500,9138,hé bù,1
55501,处以,5501,9139,chǔ yǐ,1
55502,录音,5502,9140,lù yīn,1
55503,用心,5503,9141,yòng xīn,1
55504,至关重要,5504,9142,zhì guān zhòng yào,1
55505,往事,5505,9143,wǎng shì,1
55506,一发,5506,9144,yī fā,1
55507,下乡,5507,9145,xià xiāng,1
55508,高等教育,5508,9146,gāo děng jiào yù,1
55509,下一步,5509,9147,xià yī bù,1
55510,法学,5510,9148,fǎ xué,1
55511,通车,5511,9149,tōng chē,1
55512,定向,5512,9150,dìng xiàng,1
55513,音像,5513,9151,yīn xiàng,1
55515,惊奇,5515,9152,jīng qí,1
55516,关联,5516,9153,guān lián,1
55517,猛烈,5517,9154,měng liè,1
55519,连日,5519,9155,lián rì,1
55520,争端,5520,9156,zhēng duān,1
55521,检疫,5521,9157,jiǎn yì,1
55522,实话,5522,9158,shí huà,1
55523,侦查,5523,9159,zhēn chá,1
55524,四方,5524,9160,sì fāng,1
55525,屏幕,5525,9161,píng mù,1
55526,层面,5526,9162,céng miàn,1
55529,气体,5529,9163,qì tǐ,1
55530,公共汽车,5530,9164,gōng gòng qì chē,1
55532,明亮,5532,9165,míng liàng,1
55533,对照,5533,9166,duì zhào,1
55534,投身,5534,9167,tóu shēn,1
55535,大片,5535,9168,dà piàn,1
55536,全线,5536,9169,quán xiàn,1
55537,看成,5537,9170,kàn chéng,1
55538,后卫,5538,9171,hòu wèi,1
55539,增大,5539,9172,zēng dà,1
55540,身影,5540,9173,shēn yǐng,1
55541,自称,5541,9174,zì chēng,1
55542,妨碍,5542,9175,fáng ài,1
55543,余年,5543,9176,yú nián,1
55544,违规,5544,9177,wéi guī,1
55545,仓库,5545,9178,cāng kù,1
55546,反抗,5546,9179,fǎn kàng,1
55547,尖锐,5547,9180,jiān ruì,1
55548,兴旺,5548,9181,xīng wàng,1
55549,英勇,5549,9182,yīng yǒng,1
55550,道歉,5550,9183,dào qiàn,1
55551,光芒,5551,9184,guāng máng,1
55553,破获,5553,9185,pò huò,1
55555,电讯,5555,9186,diàn xùn,1
55556,着急,5556,9187,zháo jí,1
55557,热潮,5557,9188,rè cháo,1
55558,兵团,5558,9189,bīng tuán,1
55559,深切,5559,9190,shēn qiè,1
55560,歌唱,5560,9191,gē chàng,1
55562,爵士,5562,9192,jué shì,1
55563,一齐,5563,9193,yī qí,1
55566,全心全意,5566,9194,quán xīn quán yì,1
55568,世界银行,5568,9195,shì jiè yín háng,1
