hanzi_id,hanzi,frequency_rank,pinyin_id,pinyin,pinyin_sn
1,的,1,1,de,1
1,的,1,2,dí,2
1,的,1,3,dì,3
1,的,1,4,dī,4
2,了,2,5,le,1
2,了,2,6,liǎo,2
3,是,3,7,shì,1
4,一,4,8,yī,1
5,在,5,9,zài,1
6,不,6,10,bù,1
7,我,7,11,wǒ,1
8,有,8,12,yǒu,1
9,人,9,13,rén,1
10,这,10,14,zhè,1
11,个,11,15,gè,1
12,他,12,16,tā,1
13,和,13,17,hé,1
13,和,13,18,huò,2
13,和,13,19,huó,3
13,和,13,20,hè,4
13,和,13,21,hú,5
14,中,14,22,zhōng,1
14,中,14,23,zhòng,2
15,来,15,24,lái,1
16,国,16,25,guó,1
17,上,17,26,shàng,1
17,上,17,27,shang,2
17,上,17,28,shǎng,3
18,大,18,29,dà,1
19,们,19,30,men,1
19,们,19,31,mén,2
20,要,20,32,yào,1
20,要,20,33,yāo,2
21,会,21,34,huì,1
21,会,21,35,kuài,2
22,为,22,36,wéi,1
22,为,22,37,wèi,2
23,就,23,38,jiù,1
24,到,24,39,dào,1
25,说,25,40,shuō,1
25,说,25,41,shuì,2
26,年,26,42,nián,1
27,你,27,43,nǐ,1
28,也,28,44,yě,1
29,以,29,45,yǐ,1
30,地,30,46,de,1
30,地,30,47,dì,2
31,生,31,48,shēng,1
32,时,32,49,shí,1
33,对,33,50,duì,1
34,出,34,51,chū,1
35,好,35,52,hǎo,1
35,好,35,53,hào,2
36,能,36,54,néng,1
37,发,37,55,fā,1
37,发,37,56,fà,2
38,可,38,57,kě,1
38,可,38,58,kè,2
39,都,39,59,dōu,1
39,都,39,60,dū,2
40,子,40,61,zǐ,1
40,子,40,62,zi,2
41,着,41,63,zhe,1
41,着,41,64,zháo,2
41,着,41,65,zhuó,3
41,着,41,66,zhāo,4
42,过,42,67,guò,1
42,过,42,68,guo,2
43,得,43,69,de,1
43,得,43,70,dé,2
43,得,43,71,děi,3
44,去,44,72,qù,1
45,家,45,73,jiā,1
45,家,45,74,jia,2
46,下,46,75,xià,1
46,下,46,76,xia,2
47,还,47,77,hái,1
47,还,47,78,huán,2
47,还,47,79,xuán,3
48,多,48,80,duō,1
49,那,49,81,nà,1
50,里,50,82,lǐ,1
50,里,50,83,li,2
51,学,51,84,xué,1
52,作,52,85,zuò,1
52,作,52,86,zuō,2
53,日,53,87,rì,1
54,看,54,88,kàn,1
54,看,54,89,kān,2
55,经,55,90,jīng,1
55,经,55,91,jìng,2
56,后,56,92,hòu,1
57,道,57,93,dào,1
58,行,58,94,xíng,1
58,行,58,95,háng,2
59,成,59,96,chéng,1
60,现,60,97,xiàn,1
61,没,61,98,méi,1
61,没,61,99,mò,2
62,自,62,100,zì,1
63,事,63,101,shì,1
64,天,64,102,tiān,1
65,开,65,103,kāi,1
66,么,66,104,me,1
67,用,67,105,yòng,1
68,小,68,106,xiǎo,1
69,工,69,107,gōng,1
70,而,70,108,ér,1
71,她,71,109,tā,1
72,于,72,110,yú,1
73,想,73,111,xiǎng,1
74,很,74,112,hěn,1
75,起,75,113,qǐ,1
76,第,76,114,dì,1
77,点,77,115,diǎn,1
78,业,78,116,yè,1
79,方,79,117,fāng,1
80,进,80,118,jìn,1
81,主,81,119,zhǔ,1
82,动,82,120,dòng,1
83,与,83,121,yǔ,1
83,与,83,122,yù,2
