rank,sn,hanzi,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
3638,1,瞌,kē,,,动,由于困倦而想睡,瞌睡
3639,1,靓,liàng,,,形,某些地区指漂亮,靓女｜靓仔（zǎi）
3640,1,娩,miǎn,,,动,妇女生孩子,分娩｜娩出
3641,1,痔,zhì,,,名,痔疮,内痔｜外痔
3642,1,踹,chuài,,,动,踩；踏,不小心一脚踹在泥里。
3642,2,踹,chuài,,,动,用脚掌向外猛然用力,踹了他一脚
3645,1,猝,cù,,,副,突然,猝不及防｜猝死
3646,1,怅,chàng,,,形,失望；失意,怅怅不乐｜惆怅｜怅惘
3648,1,邂,xiè,邂逅,xièhòu,,事先没有相约而遇见,途中邂逅故友
3649,1,韦,wéi,,,名,〈文〉 去毛后经过熟制的兽皮 韦 索 皮带；皮绳 佩 韦 姓 ,
3650,1,亨,hēng,,,形,通达；顺利,亨通
3650,2,亨,hēng,,,名,姓,
3650,3,亨,hēng,,,量,亨利的简称,
3651,1,姬,jī,,,名,〈文〉古代对妇女的美称,秦姬越女
3651,2,姬,jī,,,名,〈文〉妾,姬妾
3651,3,姬,jī,,,名,〈文〉歌女；舞女,名姬
3651,4,姬,jī,,,名,姓,
3652,1,芊,qiān,,,,见下。 芊绵 芊芊,
3653,1,兀,wū,,,,现在一般写作“乌涂”,
3653,2,兀,wūtu,,,,现在一般写作“乌涂”,
3654,1,攘,rǎng,,,动,〈文〉 排斥；抵御 攘 除 | 攘 外 抢夺 攘 夺 捋起（袖子） 攘 臂 ,
3655,1,殆,dài,,,形,〈文〉 危险 知己知彼，百战不 殆 | 危 殆 几乎；差不多 敌人被歼 殆 尽,
3656,1,鹭,lù,,,名,鸟，体型多高大瘦削，嘴直而尖，颈和腿较长。常活动于水边，捕食鱼、蛙及水生昆虫。种类很多，常见的有白鹭、苍鹭等,
3657,1,毓,yù,,,动,〈文〉 生养；养育,钟灵毓秀
3658,1,褶,zhě,,,名,衣服等经折叠挤压而形成的痕迹,衣服压得尽是褶儿｜一道褶儿｜百褶裙
3658,2,褶,zhě,,,名,脸上的皱纹,脸上一点褶儿都没有。
3660,1,磋,cuō,,,动,〈文〉把象牙磨制成器物；磨光,
3660,2,磋,cuō,,,动,反复研究讨论,切磋｜磋商
3661,1,钰,yù,,,名,〈文〉 珍宝,
3662,1,遁,dùn,,,动,逃跑；躲避,逃遁｜遁词
3662,2,遁,dùn,,,动,指隐居，逃避社会而居住在偏僻的地方,遁迹｜隐遁
3663,1,袒,tǎn,,,动,脱掉或敞开上衣，露出（身体的上部）,袒胸露怀｜袒露
3663,2,袒,tǎn,,,动,袒护,偏袒
3664,1,拚,pàn,,,动,舍弃；不顾一切地争斗,拚死｜拚命
3665,1,踌,chóu,,,,见下。 踌躇 踌躇不前 踌躇满志,
3666,1,煜,yù,,,动,〈文〉 照耀,
3668,1,飓,jù,飓风,jùfēng,名,古代指海上强烈的风暴,
3668,2,飓,jù,飓风,jùfēng,名,气象学上旧指12级风,
3668,3,飓,jù,飓风,jùfēng,名,发生在北大西洋、墨西哥湾、加勒比海和北太平洋东部的热带气旋,
3669,1,岱,dài,,,名,泰山的别称,
3669,2,岱,dài,,,名,姓,
3670,1,侃,kǎn,,,形,〈文〉理直气壮，从容不迫,侃然｜侃侃而谈
3670,2,侃,kǎn,,,动,用言语戏弄；调笑,调（tiáo）侃。
3670,3,侃,kǎn,,,动,〈口〉闲扯；聊天,两人神侃一通
3672,1,瞰,kàn,,,动,俯视，从高处向下看,俯瞰｜鸟瞰
3672,2,瞰,kàn,,,动,〈文〉 窥视,瞰暇伺隙
3673,1,麟,lín,,,名,〈文〉指麒麟,
3673,2,麟,lín,,,名,姓,
3674,1,咎,jiù,,,名,罪责；过失,引咎辞职｜归咎
3674,2,咎,jiù,,,动,追究罪过；责备,既往不咎｜自咎
3674,3,咎,jiù,,,名,〈文〉灾祸；凶,休咎（吉凶）
3675,1,漩,xuán,,,名,水流旋转形成的圆窝,溪水在岩石间打漩｜漩涡
3676,1,炯,jiǒng,,,形,〈文〉 明亮,
3677,1,飙,biāo,,,名,疾风,狂飙｜飙风
3678,1,烬,jìn,,,名,物体燃烧后剩下的东西,余烬｜灰烬｜烛烬
3680,1,昊,hào,,,名,〈文〉 广阔的天,昊空｜苍昊｜昊天
3684,1,苯,běn,,,名,碳氢化合物，无色液体，气味芳香，容易挥发和燃烧，蒸气有毒。可以做燃料、溶剂和香料，也是制造合成树脂和农药的重要原料,
3685,1,璋,zhāng,,,名,古代一种长条形板状玉器，像半个圭，用作礼器,
3686,1,褚,chǔ,,,名,姓,
3687,1,哽,gěng,,,动,食物堵塞咽喉；噎,慢点儿吃，别哽着。
3687,2,哽,gěng,,,动,因感情激动而声气阻塞,哽咽｜哽塞
3688,1,佼,jiǎo,,,形,佼佼,
3688,2,佼,jiǎo,,,形,美好,佼好
3689,1,孰,shú,,,代,〈文〉 指人或事物，作句子或分句的主语，表示询问或反问，相当于“谁” “什么”等 人非圣贤， 孰 能无过 | 是可忍， 孰 不可忍? 前面有主语时，表示选择，相当于“谁” “哪个”等 吾与徐公 孰 美? 姓,
3690,1,溴,xiù,,,名,非金属元素，符号 Br。红褐色液体，有刺激性气味，化学性质较活泼，有强烈的腐蚀性。在染料、医药、摄影、制冷等行业中有重要用途,
3692,1,渭,wèi,,,名,渭河，水名，发源于甘肃，流经陕西入黄河,
3693,1,唢,suǒ,唢呐,suǒnà,名,管乐器，形状像喇叭，管身正面有7个孔，背面1个孔，发音响亮,
3694,1,龈,yín,,,名,牙龈。通称牙床,
3696,1,黝,yǒu,,,形,淡黑；黑,黝黑｜黝黯
3697,1,炖,dùn,,,动,烹调方法，把食物（多指肉类）用小火煮得烂熟,把肉炖一下｜炖排骨｜清炖
3697,2,炖,dùn,,,动,把盛在容器里的东西连容器一起放在热水里，使变热,炖酒｜炖药
3698,1,喵,miāo,,,拟声,模拟猫叫的声音,小猫喵喵叫
3699,1,潦,lǎo,,,形,雨水大,潦雨
3699,2,潦,lǎo,,,名,雨后的积水,积潦
3700,1,惺,xīng,,,形,〈文〉 清醒；聪明,惺悟（醒悟）
3702,1,隽,juàn,,,形,〈文〉（言论、诗文）意味深长,隽永
3702,2,隽,juàn,,,名,姓,
3703,1,辄,zhé,,,副,〈文〉 表示后一行为紧接着前一行为发生，相当于“就” 浅尝 辄 止 表示同一行为多次重复，相当于“往往” “总是” 动 辄 得咎 ,
3705,1,觑,qù,,,动,〈文〉 看,面面相觑｜冷眼相觑｜小觑｜觑探
3706,1,俑,yǒng,,,名,古代殉葬用的人形或兽形物，多为木制或陶制,秦俑｜兵马俑｜木俑｜陶俑｜始作俑者
3707,1,惮,dàn,,,动,畏惧；害怕,肆无忌惮
3708,1,兮,xī,,,助,〈文〉用在句尾或句中，表示感叹或起舒缓语气的作用，类似现代汉语中的语气助词“啊”,彼君子兮，不素餐兮｜魂兮归来
3708,2,兮,xī,,,名,姓,
3710,1,遛,liù,,,动,慢步走；随便走走,遛大街｜出去遛了一趟
3710,2,遛,liù,,,动,牵着牲畜或提着鸟笼慢步走,遛马｜遛鸟
3711,1,谏,jiàn,,,动,直言劝告（一般用于下对上）,进谏｜兵谏｜谏官（古代专门规劝皇帝的官）。
3713,1,潸,shān,,,形,〈文〉 形容流泪的样子,潸然
3714,1,蕙,huì,,,名,香草名，香味浓郁。古人常用它来避疫,
3714,2,蕙,huì,,,名,指蕙兰,
3714,3,蕙,huì,,,名,姓,
3715,1,伎,jì,,,名,技巧；本领,伎俩
3715,2,伎,jì,,,名,古代称表演技艺的女子,歌伎｜舞伎
3716,1,腆,tiǎn,,,形,〈文〉丰厚；丰盛,不腆之田｜肴馔甚腆
3716,2,腆,tiǎn,,,动,〈口〉凸起或挺出,腆着肚子｜腆着胸脯
3719,1,踞,jù,,,动,〈文〉蹲或坐,虎踞龙盘｜踞坐
3719,2,踞,jù,,,动,占据,久踞山寨｜盘踞
3720,1,臧,zāng,,,形,〈文〉 好；善 谋国不 臧 褒扬；称赞 臧 否人物 姓 ,
3721,1,瘠,jí,,,形,瘦,枯瘠｜瘠瘦
3721,2,瘠,jí,,,形,不肥沃,瘠薄｜贫瘠
3722,1,嗤,chī,,,动,讥笑,嗤之以鼻｜嗤笑
3723,1,嘈,cáo,,,形,（声音）杂乱,嘈杂
3724,1,悚,sǒng,,,动,恐惧；害怕,令人震悚｜悚惧
3725,1,踵,zhǒng,,,名,脚跟,摩肩接踵｜接踵而至｜旋踵
3725,2,踵,zhǒng,,,动,〈文〉追随；继承,踵步｜踵武（武：足迹，泛指脚步）｜踵事增华
3725,3,踵,zhǒng,,,动,〈文〉到；亲自到,踵门｜踵谢
3726,1,曜,yào,,,名,〈文〉 阳光 日出有 曜 照耀 明月 曜 夜 指太阳、月亮和星辰 七 曜 （日、月和金、木、水、火、土五星的合称） ,
3728,1,燎,liǎo,,,动,靠近火而被烧焦,头发让火燎了一大片｜烟熏火燎
3728,2,燎,liáo,,,动,蔓延燃烧,放火燎荒｜星火燎原
3728,3,燎,liáo,,,动,烫,燎泡
3729,1,沓,dá,,,量,用于叠在一起的纸张等较薄的东西,一沓报纸｜一沓一沓码整齐
3729,2,沓,tà,,,形,重复；繁多,纷至沓来｜杂沓
3731,1,纭,yún,,,形,形容多而杂乱,纷纭｜纭纭
3732,1,诛,zhū,,,动,指责；惩罚,口诛笔伐
3732,2,诛,zhū,,,动,杀死,天诛地灭
3733,1,氟,fú,,,名,非金属元素，符号F。浅黄绿色气体，味臭，有毒，腐蚀性极强，是非金属中最活泼的元素。是制造特种塑料、橡胶和冷冻剂的原料,
3735,1,葩,pā,,,名,〈文〉 花,奇葩｜阆（làng）苑仙葩。
3737,1,怦,pēng,,,拟声,模拟心跳的声音,紧张得心怦怦直跳。
3739,1,膺,yīng,,,名,胸,拊膺痛哭｜义愤填膺
3739,2,膺,yīng,,,动,承当,身膺重任｜荣膺英雄称号
3740,1,奄,yǎn,,,动,〈文〉 覆盖 奄 有四方 忽然 奄 忽 | 奄 然 ,
3742,1,撂,liào,,,动,不经心地放；搁下,把行李撂在地上｜撂下饭碗就走了｜这件事先撂一撂再说。
3742,2,撂,liào,,,动,扔掉；抛弃,没用的材料都撂了｜不能撂下一家老小不管。
3742,3,撂,liào,,,动,摔倒；弄倒,一个绊子就把他撂倒了｜一梭子子弹，撂倒一大片敌人。
3743,1,萦,yíng,,,动,缠绕；盘绕,萦绕｜萦怀
3744,1,仕,shì,,,动,〈文〉做官,出仕｜仕途
3744,2,仕,shì,,,名,姓,
3745,1,娓,wěi,娓娓,wěiwěi,形,形容说话不知疲倦或婉转动听的样子,娓娓道来｜娓娓动听
3746,1,漳,zhāng,,,名,漳河，水名，发源于山西，流入河北,
3746,2,漳,zhāng,,,,用于地名。如漳州，在福建,
3746,3,漳,zhāng,,,名,姓,
3747,1,硒,xī,,,名,非金属元素，符号 Se。导电能力随光照强度的增减而变化。可用于太阳能电池、整流器、摄像设备、光电管等,
3749,1,彗,huì,,,名,〈文〉 扫帚,
3751,1,碉,diāo,,,名,碉堡,明碉暗堡｜碉楼
3752,1,踉,liàng,踉跄,liàngqiàng,形,形容走路不稳，摇摇晃晃的样子,多喝了几杯，走路踉踉跄跄的。
3753,1,涎,xián,,,名,口水；唾液,垂涎三尺｜馋涎欲滴｜口涎
3754,1,邱,qiū,,,名,姓,
3755,1,矜,jīn,,,动,〈文〉怜悯；同情,矜恤｜矜惜
3755,2,矜,jīn,,,动,〈文〉认为自己了不起,骄矜｜自矜｜矜夸
3755,3,矜,jīn,,,形,拘谨；慎重,矜持
3756,1,蛊,gǔ,,,名,古代传说中一种由人工培育的毒虫。把许多毒虫放在器皿里互相吞食，最后剩下不死的毒虫叫蛊，可以用来害人,
3756,2,蛊,gǔ,,,动,迷惑；毒害,蛊惑
3757,1,诋,dǐ,,,动,〈文〉 责骂；诽谤,诋斥｜诋毁
3758,1,詹,zhān,,,名,姓,
3760,1,篝,gōu,,,名,〈文〉 竹笼,衣物满篝
3761,1,搪,táng,,,动,抵挡,他用手一搪，把歹徒的凶器打落在地｜搪风｜搪饥
3761,2,搪,táng,,,动,应付；敷衍,搪塞（sè）｜搪脱｜搪账
3761,3,搪,táng,,,动,用泥或涂料涂抹（炉膛或金属坯胎）,搪炉子｜搪瓷
3762,1,婢,bì,,,名,婢女,奴婢｜奴颜婢膝
3763,1,瑕,xiá,,,名,玉的斑点（跟“瑜”相区别）；比喻缺点,瑕疵｜瑕瑜互见｜瑕不掩瑜
3764,1,熠,yì,,,形,〈文〉 光亮；鲜明,
3765,1,槌,chuí,,,名,类似棒子的敲打用具。一般一头较粗或为球形,棒槌｜鼓槌儿
3766,1,斡,wò,,,动,旋转,斡旋
3767,1,煦,xù,,,形,〈文〉 温暖,煦日｜煦暖｜和煦｜温煦
3768,1,哧,chī,,,拟声,模拟笑声或撕裂声等,她哧哧地笑个不停｜哧的一声，轮胎跑气了。
