hsk_sn,cihui,pinyin,hsk_level
519,同意,tóng yì,3
520,头发,tóu fa,3
521,突然,tū rán,3
522,图书馆,tú shū guǎn,3
523,腿,tuǐ,3
524,完成,wán chéng,3
525,碗,wǎn,3
526,万,wàn,3
527,忘记,wàng jì,3
528,为了,wèi le,3
529,为什么,wèi shén me,3
530,位,wèi,3
531,文化,wén huà,3
532,西,xī,3
533,习惯,xí guàn,3
534,洗手间,xǐ shǒu jiān,3
535,洗澡,xǐ zǎo,3
536,夏,xià,3
537,先,xiān,3
538,香蕉,xiāng jiāo,3
539,相同,xiāng tóng,3
540,相信,xiāng xìn,3
541,像,xiàng,3
542,小心,xiǎo xīn,3
543,校长,xiào zhǎng,3
544,鞋,xié,3
545,新闻,xīn wén,3
546,新鲜,xīn xiān,3
547,信,xìn,3
548,行李箱,xíng li xiāng,3
549,兴趣,xìng qù,3
550,熊猫,xióng māo,3
551,需要,xū yào,3
552,选择,xuǎn zé,3
553,眼镜,yǎn jìng,3
554,要求,yāo qiú,3
555,爷爷,yé ye,3
556,一定,yī dìng,3
557,一共,yī gòng,3
558,一会儿,yī huì r,3
559,一样,yī yàng,3
560,以后,yǐ hòu,3
561,以前,yǐ qián,3
562,以为,yǐ wéi,3
563,一般,yī bān,3
564,一边,yī biān,3
565,一直,yī zhí,3
566,音乐,yīn yuè,3
567,银行,yín háng,3
568,应该,yīng gāi,3
569,影响,yǐng xiǎng,3
570,用,yòng,3
571,游戏,yóu xì,3
572,有名,yǒu míng,3
573,又,yòu,3
574,遇到,yù dào,3
575,愿意,yuàn yì,3
576,越,yuè,3
577,月亮,yuè liang,3
578,云,yún,3
579,站,zhàn,3
580,着急,zháo jí,3
581,照顾,zhào gu,3
582,照片,zhào piàn,3
583,照相机,zhào xiàng jī,3
584,只,zhī,3
585,只,zhǐ,3
586,终于,zhōng yú,3
587,中间,zhōng jiān,3
588,种,zhǒng,3
589,重要,zhòng yào,3
590,周末,zhōu mò,3
591,主要,zhǔ yào,3
592,祝,zhù,3
593,注意,zhù yì,3
594,字典,zì diǎn,3
595,自己,zì jǐ,3
596,总是,zǒng shì,3
597,最近,zuì jìn,3
598,作业,zuò yè,3
599,作用,zuò yòng,3
600,爱情,ài qíng,4
601,安排,ān pái,4
602,安全,ān quán,4
603,暗,àn,4
604,按时,àn shí,4
605,按照,àn zhào,4
606,包括,bāo kuò,4
607,保护,bǎo hù,4
608,保证,bǎo zhèng,4
609,抱,bào,4
610,抱歉,bào qiàn,4
611,报道,bào dào,4
612,报名,bào míng,4
613,倍,bèi,4
614,本来,běn lái,4
615,笨,bèn,4
616,笔记本,bǐ jì běn,4
617,毕业,bì yè,4
618,遍,biàn,4
619,标准,biāo zhǔn,4
620,表达,biǎo dá,4
621,表格,biǎo gé,4
622,表扬,biǎo yáng,4
623,饼干,bǐng gān,4
624,并且,bìng qiě,4
625,博士,bó shì,4
626,不但,bù dàn,4
627,不过,bù guò,4
628,不得不,bù dé bù,4
629,不管,bù guǎn,4
630,不仅,bù jǐn,4
631,部分,bù fèn,4
632,擦,cā,4
633,猜,cāi,4
634,材料,cái liào,4
635,参观,cān guān,4
636,差不多,chà bu duō,4
637,长城,Cháng chéng,4
638,长江,Cháng Jiāng,4
639,尝,cháng,4
640,场,chǎng,4
641,超过,chāo guò,4
642,吵,chǎo,4
643,乘坐,chéng zuò,4
644,成功,chéng gōng,4
645,成熟,chéng shú,4
646,成为,chéng wéi,4
647,诚实,chéng shí,4
648,吃惊,chī jīng,4
649,重新,chóng xīn,4
650,抽烟,chōu yān,4
651,出差,chū chāi,4
652,出发,chū fā,4
653,出生,chū shēng,4
654,传真,chuán zhēn,4
655,窗户,chuāng hu,4
656,词典,cí diǎn,4
657,从来,cóng lái,4
658,粗心,cū xīn,4
659,答案,dá àn,4
660,打扮,dǎ ban,4
661,打扰,dǎ rǎo,4
662,打印,dǎ yìn,4
663,打折,dǎ zhé,4
664,打针,dǎ zhēn,4
665,大概,dà gài,4
666,大使馆,dà shǐ guǎn,4
667,大约,dà yuē,4
668,戴,dài,4
669,代表,dài biǎo,4
670,代替,dài tì,4
671,大夫,dài fu,4
672,当,dāng,4
673,当地,dāng dì,4
674,当时,dāng shí,4
675,刀,dāo,4
676,导游,dǎo yóu,4
677,到处,dào chù,4
678,到底,dào dǐ,4
679,道歉,dào qiàn,4
680,得意,dé yì,4
681,等,děng,4
682,等,děng,4
683,底,dǐ,4
684,地球,dì qiú,4
685,地址,dì zhǐ,4
686,掉,diào,4
687,调查,diào chá,4
688,丢,diū,4
689,动作,dòng zuò,4
690,堵车,dǔ chē,4
