parent_category,item,item_rank
HSK3,清楚,777
HSK3,总是,784
HSK3,愿意,790
HSK3,关心,797
HSK3,短,811
HSK3,坏,827
HSK3,明白,829
HSK3,草,830
HSK3,脚,847
HSK3,故事,850
HSK3,敢,908
HSK3,附近,915
HSK3,办公室,960
HSK3,简单,976
HSK3,旧,983
HSK3,辆,992
HSK3,音乐,995
HSK3,动物,1001
HSK3,绿,1017
HSK3,夏,1022
HSK3,哭,1031
HSK3,借,1037
HSK3,祝,1048
HSK3,热情,1051
HSK3,灯,1063
HSK3,秋,1072
HSK3,满意,1107
HSK3,马上,1147
HSK3,兴趣,1149
HSK3,冬,1158
HSK3,腿,1180
HSK3,鞋,1181
HSK3,蓝,1195
HSK3,表演,1239
HSK3,一会儿,1264
HSK3,中间,1268
HSK3,太阳,1275
HSK3,习惯,1278
HSK3,担心,1280
HSK3,一边,1291
HSK3,鸟,1292
HSK3,方便,1300
HSK3,搬,1402
HSK3,糖,1404
HSK3,疼,1459
HSK3,甜,1460
HSK3,客人,1464
HSK3,骑,1486
HSK3,相同,1535
HSK3,饿,1548
HSK3,胖,1627
HSK3,照片,1643
HSK3,瘦,1659
HSK3,刷,1662
HSK3,碗,1671
HSK3,北方,1691
HSK3,节目,1716
HSK3,饱,1745
HSK3,打算,1770
HSK3,记得,1775
HSK3,葡萄,1787
HSK3,多么,1807
HSK3,结婚,1835
HSK3,渴,1853
HSK3,刚才,1921
HSK3,头发,1964
HSK3,公园,1988
HSK3,忘记,2092
HSK3,奇怪,2154
HSK3,矮,2224
HSK3,刮,2232
HSK3,聪明,2269
HSK3,街道,2336
HSK3,见面,2338
HSK3,司机,2341
HSK3,伞,2389
HSK3,放心,2406
HSK3,节日,2470
HSK3,小心,2479
HSK3,照顾,2520
HSK3,害怕,2521
HSK3,有名,2587
HSK3,游戏,2619
HSK3,宾馆,2664
HSK3,数学,2686
HSK3,作业,2746
HSK3,爱好,2802
HSK3,锻炼,2838
HSK3,生气,2859
HSK3,新鲜,2918
HSK3,同事,3038
HSK3,干净,3088
HSK3,图书馆,3183
HSK3,奶奶,3193
HSK3,季节,3211
HSK3,可爱,3282
HSK3,花园,3334
HSK3,鼻子,3707
HSK3,帽子,3730
HSK3,耳朵,3792
HSK3,周末,4092
HSK3,舒服,4177
HSK3,年级,4335
HSK3,礼物,4382
HSK3,面包,4413
HSK3,空调,4428
HSK3,厨房,4430
HSK3,地图,4477
HSK3,啤酒,4529
HSK3,安静,4702
HSK3,邻居,4765
HSK3,练习,4810
HSK3,上网,4860
HSK3,地铁,4926
HSK3,难过,4942
HSK3,帮忙,5092
HSK3,眼镜,5110
HSK3,爷爷,5347
HSK3,一共,5411
HSK3,冰箱,5447
HSK3,着急,5556
HSK3,月亮,5597
HSK3,叔叔,5991
HSK3,熊猫,6140
HSK3,句子,6930
HSK3,护照,7511
