pinyin_id,hanzi,pinyin,definition_id,definition_sn,definition_cn,example_sn,example_cn
33362,纶,lún,333621,1,青丝带子。,1,垂纶。
22862,晕,yùn,228622,2,日光或月光通过云层中的冰晶时经折射而形成的光圈。,1,墨晕
5021,士,shì,50211,1,指未婚的男子。,1,士农工商。
5021,士,shì,50212,2,介于大夫和庶民之间的阶层。,1,士农工商。
641,面,miàn,6416,6,"几何学上指一条线移动所构成的图形,有长有宽,没有厚。",5,多面手
2911,白,bái,29111,1,"像霜或雪的颜色,是物体被日光或与日光相似的光线照射,各种波长的光都被反射时呈现的颜色(跟‘黑’相对as opposed to‘black’})。",2,大天白日。
5911,妈,mā,59111,1,母亲。,3,大妈。
9801,摆,bǎi,98014,4,"悬挂在细线上的能做往复运动的重锤的装置。摆的长度不变且振幅不太大时,运动的周期恒等。",2,大家都把意见摆出来。
9801,摆,bǎi,98015,5,钟表或精密仪器上用来控制摆动频率的机械装置。,2,大家都把意见摆出来。
23431,龟,jūn,234311,1,,1,"天久不雨,田地龟。"
5925,差,chā,59251,1,,1,天气差暖
5925,差,chā,59252,2,"减法运算中,一个数减去另一个数所得的数。如6-4=2中,2是差。",1,天气差暖
17811,剪,jiǎn,178111,1,剪刀。,1,夹剪
10171,套,tào,101721,11,用绳子等结成的环状物。,1,套公式
11381,奴,nú,113812,2,青年女子自称(多见于早期白话,1,奴役。
31261,梆,bāng,312611,1,打更等用的梆子。,1,奶奶手握擀面杖要梆他
14591,糖,táng,145911,1,"有机化合物的一类,可分为单糖、双糖和多糖三种,是人体内产生热能的主要物质,如葡萄糖、蔗糖、乳糖、淀粉等。",1,奶糖
14591,糖,táng,145912,2,"食糖的统称,包括白糖、红糖、冰糖等。",1,奶糖
6641,喜,xǐ,66413,3,称怀孕为‘有喜’。,1,好大喜功
43861,荼,tú,438611,1,古书上说的一种苦菜。,1,如火如荼。
5911,妈,mā,59111,1,母亲。,1,姑妈
5911,妈,mā,59111,1,母亲。,2,姨妈
31031,姬,jī,310311,1,对妇女的美称。,2,姬妾。
23501,滥,làn,235011,1,泛滥。,1,宁缺毋滥
38231,赡,shàn,382311,1,赡养。,1,宏赡
24741,鼎,dǐng,247411,1,"煮东西用的器物,三足两耳。",1,定鼎
9721,宝,bǎo,97213,3,"旧时的一种赌具,方形,多用牛角制成,上有指示方向的记号。",2,宝号。
9721,宝,bǎo,97213,3,"旧时的一种赌具,方形,多用牛角制成,上有指示方向的记号。",1,宝眷
34671,栈,zhàn,346712,2,栈道。,2,客栈。
8121,宣,xuān,81212,2,宣召。,1,宣泄。
52801,宸,chén,528011,1,屋宇;深邃的房屋。,1,宸章(帝王写的文章)
52801,宸,chén,528011,1,屋宇;深邃的房屋。,2,宸衷(帝王的心意)。
26701,甸,diàn,267011,1,指郊外的地方。,2,宽甸(在辽宁)。
2651,则,zé,26513,3,效法。,3,寓言四则。
19561,寸,cùn,195611,1,"长度单位。10分等于1寸,10寸等于1尺。",1,寸功
19561,寸,cùn,195611,1,"长度单位。10分等于1寸,10寸等于1尺。",3,寸土必争
19561,寸,cùn,195611,1,"长度单位。10分等于1寸,10寸等于1尺。",4,寸步不离
19561,寸,cùn,195611,1,"长度单位。10分等于1寸,10寸等于1尺。",2,寸进
48311,弈,yì,483111,1,围棋。,1,对弈
16311,寿,shòu,163114,4,祝人寿辰。,1,寿材
16311,寿,shòu,163114,4,祝人寿辰。,2,寿衣。
2031,给,gěi,20313,3,,1,小朋友给老师行礼。
43781,牍,dú,437811,1,古代写字用的木简。,3,尺牍。
18602,尿,niào,186021,1,"人或动物体内,由肾脏产生,从尿道排泄出来的液体。",1,尿尿。
19091,炭,tàn,190911,1,木炭的通称。,1,山查炭。
35511,芋,yù,355111,1,"多年生草本植物,块茎椭圆形或卵形,叶子略呈卵形,有长柄,花穗轴在苞内,雄花黄色,雌花绿色。块茎含淀粉很多,供食用。",2,山芋。
35511,芋,yù,355112,2,这种植物的块茎。,2,山芋。
6711,晚,wǎn,67115,5,后辈对前辈自称(用于书信,1,岁晚
22931,贼,zéi,229311,1,偷东西的人。,1,工贼
5925,差,chā,59251,1,,2,差可告慰。
5925,差,chā,59252,2,"减法运算中,一个数减去另一个数所得的数。如6-4=2中,2是差。",2,差可告慰。
2961,市,shì,29612,2,买卖货物,3,市区
2961,市,shì,29614,4,"行政区划单位,分直辖市和市。设市的地方都是工商业集中处或政治、文化的中心。",2,市升
2961,市,shì,29612,2,买卖货物,1,市容
2961,市,shì,29614,4,"行政区划单位,分直辖市和市。设市的地方都是工商业集中处或政治、文化的中心。",1,市尺
2961,市,shì,29614,4,"行政区划单位,分直辖市和市。设市的地方都是工商业集中处或政治、文化的中心。",3,市斤。
2961,市,shì,29612,2,买卖货物,2,市民
15691,傅,fù,156911,1,辅助;教导。,1,师傅。
16661,舌,shé,166611,1,舌头。,1,帽舌
1432,头,tóu,14321,1,人身最上部或动物最前部长着口、鼻、眼等器官的部分。,4,平头
12991,卡,kǎ,129911,1,卡路里的简称。,2,年历卡
29951,庚,gēng,299511,1,天干的第七位。,1,年庚
42411,幺,yāo,424111,1,"数目中的‘1’叫‘幺’(只能单用,不能组成合成数词,也不能带量词,旧时指色子和骨牌中的一点,现在说数字时也用来代表‘1’)。",1,幺叔
42411,幺,yāo,424111,1,"数目中的‘1’叫‘幺’(只能单用,不能组成合成数词,也不能带量词,旧时指色子和骨牌中的一点,现在说数字时也用来代表‘1’)。",2,幺妹。
1242,度,dù,12427,7,"哲学上指一定事物保持自己质的数量界限。在这个界限内,量的增减不改变事物的质,超过这个界限,就要引起质变。",1,度量
9031,钟,zhōng,90311,1,"响器,中空,用铜或铁制成。",2,座钟
1831,建,jiàn,18314,4,"建江,就是闽江,在福建。",1,建兰
1831,建,jiàn,18314,4,"建江,就是闽江,在福建。",2,建漆。
16261,莲,lián,162611,1,"多年生草本植物,生在浅水中,地下茎肥大而长,有节,叶子圆形,高出水面,花大,淡红色或白色,有香味。地下茎叫藕,种子叫莲子,都可以吃。",1,建莲(福建产的莲子)
48311,弈,yì,483111,1,围棋。,2,弈棋。
23081,弓,gōng,230813,3,"丈量地亩的器具,用木头制成,形状略像弓,两端的距离是5尺。",2,弓着腰
23081,弓,gōng,230814,4,"〈旧时old〉丈量地亩的计算单位,1弓等于5尺。",2,弓着腰
23081,弓,gōng,230813,3,"丈量地亩的器具,用木头制成,形状略像弓,两端的距离是5尺。",3,弓着腿坐着。
23081,弓,gōng,230814,4,"〈旧时old〉丈量地亩的计算单位,1弓等于5尺。",3,弓着腿坐着。
23081,弓,gōng,230813,3,"丈量地亩的器具,用木头制成,形状略像弓,两端的距离是5尺。",1,弓背
23081,弓,gōng,230814,4,"〈旧时old〉丈量地亩的计算单位,1弓等于5尺。",1,弓背
18721,姆,mǔ,187212,2,母亲。,1,张家姆。
25261,弧,hú,252611,1,圆周上任意两点间的部分。,1,弦木为弧(用弦绷在树枝上做成弓)。
9691,弹,tán,96911,1,由于一物的弹性作用使另一物射出去。,1,弹棉花
27121,簧,huáng,271211,1,乐器里用铜或其他质料制成的发声薄片。,1,弹簧
