pinyin_id,hanzi,pinyin,hsk_level,frequency_rank,pinyin_sn
46201,掮,qián,,9409,1
46421,孳,zī,,9410,1
46401,矽,xī,,9411,1
46541,忻,xīn,,9412,1
46251,颀,qí,,9413,1
46551,醺,xūn,,9414,1
46501,檄,xí,,9415,1
46511,暹,xiān,,9416,1
46281,诩,xǔ,,9417,1
46491,妍,yán,,9418,1
46361,箸,zhù,,9419,1
46391,挲,suō,,9420,1
46392,挲,shā,,9420,2
46393,挲,sā,,9420,3
46211,榛,zhēn,,9421,1
46411,瓒,zàn,,9422,1
46301,黢,qū,,9423,1
46521,纣,zhòu,,9424,1
46231,钼,mù,,9425,1
46331,姘,pīn,,9426,1
46221,硷,jiǎn,,9427,1
46341,艄,shāo,,9428,1
46481,谵,zhān,,9429,1
46381,佘,shé,,9430,1
46451,杵,chǔ,,9431,1
46311,俪,lì,,9432,1
46191,啾,jiū,,9433,1
46271,鹑,chún,,9434,1
46461,桀,jié,,9435,1
46441,翦,jiǎn,,9436,1
46371,攸,yōu,,9437,1
46561,婺,wù,,9438,1
46471,茏,lóng,,9439,1
46661,汴,biàn,,9449,1
46911,驸,fù,,9450,1
46831,馊,sōu,,9451,1
46751,褓,bǎo,,9452,1
46621,骰,tóu,,9453,1
46701,怩,ní,,9454,1
46731,咝,sī,,9455,1
46871,柽,chēng,,9456,1
46631,鳊,biān,,9457,1
46851,鳔,biào,,9458,1
46931,羿,yì,,9459,1
46711,鹞,yào,,9460,1
46811,耆,qí,,9461,1
46681,珲,hún,,9462,1
46682,珲,huī,,9462,2
46841,咻,xiū,,9463,1
46821,谄,chǎn,,9464,1
46601,碣,jié,,9465,1
46891,爿,pán,,9466,1
46741,濯,zhuó,,9467,1
46651,笸,pǒ,,9468,1
46581,潞,lù,,9469,1
46761,襁,qiǎng,,9470,1
46571,潍,wéi,,9471,1
46791,腓,féi,,9472,1
46721,墒,shāng,,9473,1
46611,郗,xī,,9474,1
46612,郗,chī,,9474,2
46861,凫,fú,,9475,1
46801,脒,mǐ,,9476,1
46671,忸,niǔ,,9477,1
46641,岫,xiù,,9478,1
46691,蕙,huì,,9479,1
46591,吡,bǐ,,9480,1
46592,吡,pǐ,,9480,2
46881,犸,mǎ,,9481,1
46771,峒,dòng,,9482,1
46772,峒,tóng,,9482,2
46901,巳,sì,,9483,1
46781,濠,háo,,9484,1
46921,邈,miǎo,,9485,1
46971,铤,tǐng,,9494,1
46972,铤,dìng,,9494,2
47141,蛴,qí,,9495,1
46941,恫,dòng,,9496,1
46942,恫,tōng,,9496,2
47251,畿,jī,,9497,1
47051,汶,wèn,,9498,1
46951,椴,duàn,,9499,1
47221,棣,dì,,9500,1
47001,嫖,piáo,,9501,1
47131,赅,gāi,,9502,1
47291,爰,yuán,,9503,1
47201,炷,zhù,,9504,1
47211,煨,wēi,,9505,1
47281,笞,chī,,9506,1
47021,啐,cuì,,9507,1
200016,捱,ái,,9508,1
46991,唿,hū,,9509,1
47241,籼,xiān,,9510,1
47231,湟,huáng,,9511,1
47171,帼,guó,,9512,1
47061,嚯,huò,,9513,1
46981,澹,tán,,9514,2
46982,澹,dàn,,9514,1
47121,遛,liú,,9515,2
47122,遛,liù,,9515,1
47151,螬,cáo,,9516,1
47111,渚,zhǔ,,9517,1
47261,稗,bài,,9518,1
47071,偃,yǎn,,9519,1
47031,莞,guǎn,,9520,3
47032,莞,wǎn,,9520,1
47033,莞,guān,,9520,2
47191,剜,wān,,9521,1
47041,钒,fán,,9522,1
47091,煊,xuān,,9523,1
47181,仞,rèn,,9524,1
47161,茯,fú,,9525,1
47301,碲,dì,,9526,1
46961,蠖,huò,,9527,1
47101,蔻,kòu,,9528,1
47271,鲲,kūn,,9529,1
47011,龊,chuò,,9530,1
47081,娲,wā,,9531,1
47331,龌,wò,,9541,1
47341,茗,míng,,9542,1
47571,玷,diàn,,9543,1
47791,骊,lí,,9544,1
47311,舫,fǎng,,9545,1
200017,飚,biāo,,9546,1
47701,砭,biān,,9547,1
